LineNo,TimeUS,ThI,ABst,ThO,ThH,DAIt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,labels
3713,17863685,-0.00000048,0,0,0.3450014,0.02899436,0.02899436,0,0,0,-583.0948,1,1,0
3793,17963645,-0.00000048,0,0,0.3450014,0.02858158,0.02858158,0,0,0,-583.0948,1,1,0
3873,18063605,-0.00000048,0,0,0.3450014,0.02818025,0.02818025,0,0,0,-583.0948,1,1,0
3952,18163565,-0.00000048,0,0,0.3450014,0.02778746,0.02778746,0,0,0,-583.0948,1,1,0
4031,18263525,-0.00000048,0,0,0.3450014,0.02740003,0.02740003,0,0,0,-583.0948,1,1,0
4115,18363485,-0.00000048,0,0,0.3450014,0.02702392,0.02702392,0,0,0,-583.0948,1,1,0
4195,18463445,-0.00000048,0,0,0.3450014,0.02666617,0.02666617,0,0,0,-583.0948,1,1,0
4274,18563405,-0.00000048,0,0,0.3450014,0.02631411,0.02631411,0,0,0,-583.0948,1,1,0
4359,18663365,-0.00000048,0,0,0.3450014,0.02596638,0.02596638,0,0,0,-0.00403362,1,1,0
4438,18763325,-0.00000048,0,0,0.3450014,0.02562147,0.02562147,0,0,0,-0.00437853,1,1,0
4519,18863285,-0.00000048,0,0,0.3450014,0.02528277,0.02528277,0,0,0,-0.00471723,1,1,0
4599,18964078,-0.00000048,0,0,0.3450014,0.02494644,0.02494644,0,0,0,-0.00505356,1,1,0
4679,19064038,-0.00000048,0,0,0.3450014,0.02461762,0.02461762,0,0,0,-0.00538238,1,1,0
4758,19163998,-0.00000048,0,0,0.3450014,0.02429733,0.02429733,0,0,0,-0.00570266,1,1,0
4837,19263958,-0.00000048,0,0,0.3450014,0.02399549,0.02399549,0,0,0,-0.00600451,1,1,0
4921,19363918,-0.00000048,0,0,0.3450014,0.02369216,0.02369216,0,0,0,-0.00630784,1,1,0
5001,19463878,-0.00000048,0,0,0.3450014,0.02339608,0.02339608,0,0,0,-0.00660392,1,1,0
5080,19563838,-0.00000048,0,0,0.3450014,0.02310418,0.02310418,0,0,0,-0.00689582,1,1,0
5159,19663798,-0.00000048,0,0,0.3450014,0.02281938,0.02281938,0,0,0,-0.00718061,1,1,0
5238,19763758,-0.00000048,0,0,0.3450014,0.02253977,0.02253977,0,0,0,-0.00746023,1,1,0
5319,19863718,-0.00000048,0,0,0.3450014,0.02226573,0.02226573,0,0,0,-0.00773426,1,1,0
5400,19963678,-0.00000048,0,0,0.3450014,0.02199237,0.02199237,0,0,0,-0.00800763,0,0,0
5480,20063638,-0.00000048,0,0,0.3450014,0.0217175,0.0217175,0,0,0,-0.0082825,0,0,0
5559,20163598,-0.00000048,0,0,0.3450014,0.02144099,0.02144099,0,0,0,-0.00855901,0,0,0
5638,20263558,-0.00000048,0,0,0.3450014,0.02116803,0.02116803,0,0,0,-0.00883197,0,0,0
5722,20363518,-0.00000048,0,0,0.3450014,0.02089754,0.02089754,0,0,0,-0.00910246,0,0,0
5802,20463478,-0.00000048,0,0,0.3450014,0.02063078,0.02063078,0,0,0,-0.00936922,0,0,0
5881,20563438,-0.00000048,0,0,0.3450014,0.02036777,0.02036777,0,0,0,-0.00963223,0,0,0
5960,20663398,-0.00000048,0,0,0.3450014,0.02011272,0.02011272,0,0,0,-0.00988727,0,0,0
6039,20763358,-0.00000048,0,0,0.3450014,0.01986233,0.01986233,0,0,0,-0.01013767,0,0,0
6120,20863318,-0.00000048,0,0,0.3450014,0.01962161,0.01962161,0,0,0,-0.01037839,0,0,0
6200,20963278,-0.00000048,0,0,0.3450014,0.01938725,0.01938725,0,0,0,-0.01061275,0,0,0
6279,21064071,-0.00000048,0,0,0.3450014,0.01915547,0.01915547,0,0,0,-0.01084453,0,0,0
6359,21164031,-0.00000048,0,0,0.3450014,0.01893141,0.01893141,0,0,0,-0.01106859,0,0,0
6438,21263991,-0.00000048,0,0,0.3450014,0.01871012,0.01871012,0,0,0,-0.01128988,0,0,0
6522,21363951,-0.00000048,0,0,0.3450014,0.01849629,0.01849629,0,0,0,-0.01150371,0,0,0
6602,21463911,-0.00000048,0,0,0.3450014,0.01828201,0.01828201,0,0,0,-0.01171799,0,0,0
6681,21563871,-0.00000048,0,0,0.3450014,0.01807014,0.01807014,0,0,0,-0.01192986,0,0,0
6760,21663831,-0.00000048,0,0,0.3450014,0.01786079,0.01786079,0,0,0,-0.01213921,0,0,0
6839,21763791,-0.00000048,0,0,0.3450014,0.01765634,0.01765634,0,0,0,-0.01234366,0,0,0
6920,21863751,-0.00000048,0,0,0.3450014,0.01745656,0.01745656,0,0,0,-0.01254344,0,0,0
7000,21963711,-0.00000048,0,0,0.3450014,0.01726629,0.01726629,0,0,0,-0.01273371,0,0,0
7079,22063671,-0.00000048,0,0,0.3450014,0.01708205,0.01708205,0,0,0,-0.01291795,0,0,0
7159,22163631,-0.00000048,0,0,0.3450014,0.01690294,0.01690294,0,0,0,-0.01309706,0,0,0
7238,22263591,-0.00000048,0,0,0.3450014,0.01672705,0.01672705,0,0,0,-0.01327295,0,0,0
7323,22363551,-0.00000048,0,0,0.3450014,0.01655252,0.01655252,0,0,0,-0.01344748,0,0,0
7403,22463511,-0.00000048,0,0,0.3450014,0.01638143,0.01638143,0,0,0,-0.01361857,0,0,0
7482,22563471,-0.00000048,0,0,0.3450014,0.01620822,0.01620822,0,0,0,-0.01379178,0,0,0
7561,22663431,-0.00000048,0,0,0.3450014,0.01604257,0.01604257,0,0,0,-0.01395743,0,0,0
7640,22763391,-0.00000048,0,0,0.3450014,0.01587254,0.01587254,0,0,0,-0.01412746,0,0,0
7721,22863351,-0.00000048,0,0,0.3450014,0.01573444,0.01573444,0,0,0,-0.01426556,0,0,0
7800,22963311,-0.00000048,0,0,0.3450014,0.01558573,0.01558573,0,0,0,-0.01441427,0,0,0
7880,23063271,-0.00000048,0,0,0.3450014,0.01543131,0.01543131,0,0,0,-0.01456869,0,0,0
7960,23164064,-0.00000048,0,0,0.3450014,0.01527303,0.01527303,0,0,0,-0.01472697,0,0,0
8039,23264024,-0.00000048,0,0,0.3450014,0.01511132,0.01511132,0,0,0,-0.01488868,0,0,0
8123,23363984,-0.00000048,0,0,0.3450014,0.01494822,0.01494822,0,0,0,-0.01505178,0,0,0
8202,23463944,-0.00000048,0,0,0.3450014,0.01478595,0.01478595,0,0,0,-0.01521405,0,0,0
8282,23563904,-0.00000048,0,0,0.3450014,0.0146204,0.0146204,0,0,0,-0.0153796,0,0,0
8361,23663864,-0.00000048,0,0,0.3450014,0.01445771,0.01445771,0,0,0,-0.01554229,0,0,0
8440,23763824,-0.00000048,0,0,0.3450014,0.01429893,0.01429893,0,0,0,-0.01570107,0,0,0
8521,23863784,-0.00000048,0,0,0.3450014,0.01414034,0.01414034,0,0,0,-0.01585966,0,0,0
8600,23963744,-0.00000048,0,0,0.3450014,0.01398336,0.01398336,0,0,0,-0.01601664,0,0,0
8680,24063704,-0.00000048,0,0,0.3450014,0.01383046,0.01383046,0,0,0,-0.01616953,0,0,0
8760,24163664,-0.00000048,0,0,0.3450014,0.01368039,0.01368039,0,0,0,-0.01631961,0,0,0
8839,24263624,-0.00000048,0,0,0.3450014,0.0135301,0.0135301,0,0,0,-0.0164699,0,0,0
8923,24363584,-0.00000048,0,0,0.3450014,0.01338042,0.01338042,0,0,0,-0.01661958,0,0,0
9002,24463544,-0.00000048,0,0,0.3450014,0.01323169,0.01323169,0,0,0,-0.0167683,0,0,0
9082,24563504,-0.00000048,0,0,0.3450014,0.01308448,0.01308448,0,0,0,-0.01691552,0,0,0
9161,24663464,-0.00000048,0,0,0.3450014,0.01293865,0.01293865,0,0,0,-0.01706135,0,0,0
9240,24763424,-0.00000048,0,0,0.3450014,0.01279948,0.01279948,0,0,0,-0.01720051,0,0,0
9321,24863384,-0.00000048,0,0,0.3450014,0.01266349,0.01266349,0,0,0,-0.01733651,0,0,0
9400,24963344,-0.00000048,0,0,0.3450014,0.01252943,0.01252943,0,0,0,-0.01747057,0,0,0
9481,25063304,-0.00000048,0,0,0.3450014,0.01239667,0.01239667,0,0,0,-0.01760333,0,0,0
9561,25163264,-0.00000048,0,0,0.3450014,0.01226206,0.01226206,0,0,0,-0.01773794,0,0,0
9640,25264057,-0.00000048,0,0,0.3450014,0.0121275,0.0121275,0,0,0,-0.0178725,0,0,0
9724,25364017,-0.00000048,0,0,0.3450014,0.01199628,0.01199628,0,0,0,-0.01800372,0,0,0
9803,25463977,-0.00000048,0,0,0.3450014,0.01186302,0.01186302,0,0,0,-0.01813698,0,0,0
9883,25563937,-0.00000048,0,0,0.3450014,0.0117333,0.0117333,0,0,0,-0.01826669,0,0,0
9962,25663897,-0.00000048,0,0,0.3450014,0.01159807,0.01159807,0,0,0,-0.01840193,0,0,0
10041,25763857,-0.00000048,0,0,0.3450014,0.01146335,0.01146335,0,0,0,-0.01853665,0,0,0
10122,25863817,-0.00000048,0,0,0.3450014,0.01132804,0.01132804,0,0,0,-0.01867196,0,0,0
10201,25963777,-0.00000048,0,0,0.3450014,0.01119112,0.01119112,0,0,0,-0.01880888,0,0,0
10281,26063737,-0.00000048,0,0,0.3450014,0.01105256,0.01105256,0,0,0,-0.01894744,0,0,0
10361,26163697,-0.00000048,0,0,0.3450014,0.01091383,0.01091383,0,0,0,-0.01908617,0,0,0
10440,26263657,-0.00000048,0,0,0.3450014,0.01077522,0.01077522,0,0,0,-0.01922478,0,0,0
10524,26363617,-0.00000048,0,0,0.3450014,0.01063768,0.01063768,0,0,0,-0.01936232,0,0,0
10603,26463577,-0.00000048,0,0,0.3450014,0.01050017,0.01050017,0,0,0,-0.01949983,0,0,0
10683,26563537,-0.00000048,0,0,0.3450014,0.01036763,0.01036763,0,0,0,-0.01963237,0,0,0
10762,26663497,-0.00000048,0,0,0.3450014,0.01023619,0.01023619,0,0,0,-0.01976381,0,0,0
10841,26763457,-0.00000048,0,0,0.3450014,0.01010583,0.01010583,0,0,0,-0.01989417,0,0,0
10922,26863417,-0.00000048,0,0,0.3450014,0.00997846,0.00997846,0,0,0,-0.02002154,0,0,0
11001,26963377,-0.00000048,0,0,0.3450014,0.00985042,0.00985042,0,0,0,-0.02014958,0,0,0
11081,27063337,-0.00000048,0,0,0.3450014,0.00971904,0.00971904,0,0,0,-0.02028096,0,0,0
11161,27163297,-0.00000048,0,0,0.3450014,0.00958448,0.00958448,0,0,0,-0.02041552,0,0,0
11240,27264090,-0.00000048,0,0,0.3450014,0.00944839,0.00944839,0,0,0,-0.02055161,0,0,0
11324,27364050,-0.00000048,0,0,0.3450014,0.00931015,0.00931015,0,0,0,-0.02068985,0,0,0
11403,27464010,-0.00000048,0,0,0.3450014,0.00916981,0.00916981,0,0,0,-0.02083019,0,0,0
11483,27563970,-0.00000048,0,0,0.3450014,0.00902762,0.00902762,0,0,0,-0.02097238,0,0,0
11562,27663930,-0.00000048,0,0,0.3450014,0.00888452,0.00888452,0,0,0,-0.02111548,0,0,0
11641,27763890,-0.00000048,0,0,0.3450014,0.00873861,0.00873861,0,0,0,-0.02126139,0,0,0
11722,27863850,-0.00000048,0,0,0.3450014,0.00859101,0.00859101,0,0,0,-0.02140899,0,0,0
11801,27963810,-0.00000048,0,0,0.3450014,0.00844396,0.00844396,0,0,0,-0.02155604,0,0,0
11881,28063770,-0.00000048,0,0,0.3450014,0.00830028,0.00830028,0,0,0,-0.02169972,0,0,0
11961,28163730,-0.00000048,0,0,0.3450014,0.00815867,0.00815867,0,0,0,-0.02184133,0,0,0
12040,28263690,-0.00000048,0,0,0.3450014,0.00801827,0.00801827,0,0,0,-0.02198173,0,0,0
12124,28363650,-0.00000048,0,0,0.3450014,0.00787912,0.00787912,0,0,0,-0.02212089,0,0,0
12203,28463610,-0.00000048,0,0,0.3450014,0.00774285,0.00774285,0,0,0,-0.02225715,0,0,0
12283,28563570,-0.00000048,0,0,0.3450014,0.00760888,0.00760888,0,0,0,-0.02239112,0,0,0
12362,28663530,-0.00000048,0,0,0.3450014,0.00747501,0.00747501,0,0,0,-0.02252499,0,0,0
12441,28763490,-0.00000048,0,0,0.3450014,0.00734173,0.00734173,0,0,0,-0.02265827,0,0,0
12522,28863450,-0.00000048,0,0,0.3450014,0.00720927,0.00720927,0,0,0,-0.02279073,0,0,0
12601,28963410,-0.00000048,0,0,0.3450014,0.00707748,0.00707748,0,0,0,-0.02292252,0,0,0
12681,29063370,-0.00000048,0,0,0.3450014,0.00694909,0.00694909,0,0,0,-0.0230509,0,0,0
12761,29163330,-0.00000048,0,0,0.3450014,0.00682194,0.00682194,0,0,0,-0.02317806,0,0,0
12840,29263290,-0.00000048,0,0,0.3450014,0.0066935,0.0066935,0,0,0,-0.0233065,0,0,0
12924,29364083,-0.00000048,0,0,0.3450014,0.00656576,0.00656576,0,0,0,-0.02343423,0,0,0
13003,29464043,-0.00000048,0,0,0.3450014,0.00644268,0.00644268,0,0,0,-0.02355732,0,0,0
13083,29564003,-0.00000048,0,0,0.3450014,0.00632426,0.00632426,0,0,0,-0.02367574,0,0,0
13162,29663963,-0.00000048,0,0,0.3450014,0.00620763,0.00620763,0,0,0,-0.02379237,0,0,0
13284,45963274,-0.00000048,0,0,0.3450014,0.00015068,0.00015068,0,0,0,0.00015068,0,0,0
13366,46064067,-0.00000048,0,0,0.3450014,0.00016033,0.00016033,0,0,0,0.00016033,0,0,0
13446,46164027,-0.00000048,0,0,0.3450014,0.00017153,0.00017153,0,0,0,0.00017153,0,0,0
13530,46263987,-0.00000048,0,0,0.3450014,0.00018403,0.00018403,0,0,0,0.00018403,0,0,0
13615,46363947,-0.00000048,0,0,0.3450014,0.00019415,0.00019415,0,0,0,0.00019415,0,0,0
13699,46463907,-0.00000048,0,0,0.3450014,0.00021107,0.00021107,0,0,0,0.00021107,0,0,0
13786,46563867,-0.00000048,0,0,0.3450014,0.00022794,0.00022794,0,0,0,0.00022794,0,0,0
13871,46663827,-0.00000048,0,0,0.3450014,0.00025235,0.00025235,0,0,0,0.00025235,0,0,0
13957,46763787,-0.00000048,0,0,0.3450014,0.0002726,0.0002726,0,0,0,0.0002726,0,0,0
14042,46863747,-0.00000048,0,0,0.3450014,0.00029793,0.00029793,0,0,0,0.00029793,0,0,0
14127,46963707,-0.00000048,0,0,0.3450014,0.00031604,0.00031604,0,0,0,0.00031604,0,0,0
14214,47063667,-0.00000048,0,0,0.3450014,0.00034256,0.00034256,0,0,0,0.00034256,0,0,0
14300,47163627,-0.00000048,0,0,0.3450014,0.00036013,0.00036013,0,0,0,0.00036013,0,0,0
14386,47263587,-0.00000048,0,0,0.3450014,0.00038306,0.00038306,0,0,0,0.00038306,0,0,0
14473,47363547,-0.00000048,0,0,0.3450014,0.00039782,0.00039782,0,0,0,0.00039782,0,0,0
14559,47463507,-0.00000048,0,0,0.3450014,0.0004152,0.0004152,0,0,0,0.0004152,0,0,0
14646,47563467,-0.00000048,0,0,0.3450014,0.00041976,0.00041976,0,0,0,0.00041976,0,0,0
14731,47663427,-0.00000048,0,0,0.3450014,0.00043374,0.00043374,0,0,0,0.00043374,0,0,0
14817,47763387,-0.00000048,0,0,0.3450014,0.00043773,0.00043773,0,0,0,0.00043773,0,0,0
14902,47863347,-0.00000048,0,0,0.3450014,0.00044434,0.00044434,0,0,0,0.00044434,0,0,0
14988,47963307,-0.00000048,0,0,0.3450014,0.00044047,0.00044047,0,0,0,0.00044047,0,0,0
15079,48063267,-0.00000048,0,0,0.3450014,0.00044558,0.00044558,0,0,0,0.00044558,0,0,0
15169,48164060,-0.00000048,0,0,0.3450014,0.00044188,0.00044188,0,0,0,0.00044188,0,0,0
15259,48264020,-0.00000048,0,0,0.3450014,0.00044707,0.00044707,0,0,0,0.00044707,0,0,0
15350,48363980,-0.00000048,0,0,0.3450014,0.00045331,0.00045331,0,0,0,0.00045331,0,0,0
15441,48463940,0.00010967,0,0.00000682,0.3450014,0.00053373,0.00047105,0,0,0,0.00059312,0,0,0
15532,48563900,0.00213534,0.00000001,0.00070707,0.3450014,0.00060144,0.0004799,0,0,0,0.00060197,0,0,0
15621,48663860,0.00826722,0.00000002,0.00400587,0.3450014,0.00109435,0.00049658,0,0,0,0.00061865,1,0,0
15711,48763820,0.01858291,0.00000005,0.01111456,0.3450014,0.00266376,0.00050029,0,0,0,0.00062236,2,0,0
15800,48863780,0.03296441,0.00000009,0.02216027,0.3450014,0.00596605,0.00051412,0,0,0,0.00063619,5,0,0
15889,48963740,0.05180478,0.00000015,0.03743936,0.3450014,0.0115207,0.00051875,0,0,0,0.00064082,9,0,0
15980,49063700,0.07552573,0.00000022,0.05725285,0.3450014,0.01971976,0.00052959,0,0,0,0.00065166,13,0,0
16070,49163660,0.1042794,0.00000032,0.08192669,0.3450014,0.03084783,0.00052532,0,0,0,0.00064739,18,0,0
16160,49263620,0.1384408,0.00000045,0.1117331,0.3450014,0.0450994,0.00053385,0,0,0,0.00065592,24,0,0
16251,49363580,0.1783277,0.00000058,0.1470126,0.3450014,0.06259362,0.00053561,0,0,0,0.00065768,31,0,0
16341,49463540,0.2240645,0.00000075,0.1879625,0.3450014,0.08338737,0.00054973,0,0,0,0.0006718,39,0,0
16432,49563500,0.2758693,0.00000095,0.2348568,0.3450014,0.1074864,0.00055356,0,0,0,0.00067563,47,0,0
16521,49663460,0.3338804,0.00000119,0.2878429,0.3450014,0.1348536,0.00056765,0,0,0,0.00068972,56,0,0
16611,49763420,0.3973218,0.00000146,0.3467088,0.3450014,0.1653976,0.00056783,0,0,0,0.0006899,65,0,0
16700,49863380,0.435904,0.00000167,0.4049085,0.3450014,0.1989423,0.00104547,0,0,0,0.00110651,75,2,0
16789,49963340,0.4571032,0.00000179,0.4325387,0.3450014,0.2352286,0.00795518,0,0,0,0.00795518,84,11,0
16880,50063300,0.4905115,0.000002,0.4632016,0.3450014,0.2739532,0.02461259,0.01,0,0,0.02461259,92,21,0
16970,50163260,0.5271087,0.00000221,0.497627,0.3450014,0.3148131,0.04995512,0.03,0,0,0.04995512,100,30,0
17060,50264053,0.5605474,0.00000238,0.5327137,0.3450014,0.3575972,0.08400273,0.08,0,0,0.08400273,106,39,0
17151,50364013,0.5012127,0.00000089,0.5581846,0.3450014,0.4023243,0.1244588,0.12,0,0,0.1244588,112,53,0
17241,50463973,0.2799975,0.00000024,0.3956084,0.3450014,0.4495873,0.2007912,0.2,0,0,0.2007912,114,103,0
17332,50563933,0.3040878,0.00001177,0.3180688,0.3450014,0.5010459,0.3195809,0.33,0,0,0.3195809,113,133,0
17421,50663893,0.3446907,0.00016034,0.3318433,0.3450014,0.5573471,0.4546585,0.47,0,0,0.4546585,111,139,0
17511,50763853,0.3835608,0.00019455,0.3592182,0.3450014,0.6187187,0.5784557,0.62,0,0,0.5784557,111,135,0
17600,50863813,0.3987302,0.00015333,0.3843572,0.3450014,0.685382,0.7015135,0.75,0,0,0.7016355,111,129,0
17689,50963773,0.4025122,0.00020617,0.3968082,0.3450014,0.7575539,0.824872,0.89,0,0,0.824994,112,126,0
17780,51063733,0.396982,0.00021717,0.3984953,0.3450014,0.8354474,0.9502872,1.02,0,0,0.9504092,114,126,0
17871,51163693,0.3952222,0.00018224,0.3957818,0.3450014,0.9192685,1.081029,1.15,0,0,1.081151,116,128,0
17961,51263653,0.3952743,0.00012869,0.3953688,0.3450014,1.009218,1.215316,1.29,0,0,1.215499,118,130,0
18052,51363613,0.3965912,0.00023255,0.3968188,0.3450014,1.105491,1.352849,1.42,0,0,1.353093,120,132,0
18142,51463573,0.3994702,0.00015566,0.3988533,0.3450014,1.208276,1.493096,1.57,0,0,1.49334,124,135,0
18233,51563533,0.4035883,0.00021496,0.4014043,0.3450014,1.317757,1.635888,1.7,0,0,1.636132,127,137,0
18322,51663493,0.4040795,0.00020275,0.4043792,0.3450014,1.43411,1.781599,1.85,0,0,1.781843,131,140,0
18412,51763453,0.409323,0.00022075,0.4070814,0.3450014,1.557505,1.930403,2.01,0,0,1.930586,136,144,0
18501,51863413,0.4126742,0.00015905,0.4092949,0.3450014,1.688108,2.083034,2.15,0,0,2.083217,141,148,0
18590,51963373,0.413735,0.00025943,0.4116175,0.3450014,1.826077,2.239591,2.31,0,0,2.239836,147,152,0
18681,52063333,0.4143959,0.00016263,0.4137265,0.3450014,1.971554,2.40114,2.47,0,0,2.401384,153,158,0
18772,52163293,0.4168629,0.00022691,0.4160101,0.3450014,2.124611,2.567337,2.64,0,0,2.567581,159,163,0
18862,52264086,0.4158369,0.00019222,0.4174209,0.3450014,2.285151,2.739007,2.81,0,0,2.739251,165,168,0
18955,52364046,0.4177863,0.0003081,0.4176496,0.3450014,2.452901,2.915492,2.99,0,0,2.915736,171,173,0
19047,52464006,0.4145773,0.00017861,0.4175761,0.3450014,2.627486,3.097391,3.18,0,0,3.097635,176,179,0
19138,52563966,0.4177454,0.00024283,0.4174083,0.3450014,2.808489,3.284846,3.36,0,0,3.28509,181,183,0
19227,52663926,0.4146371,0.00022849,0.4169396,0.3450014,2.995455,3.475369,3.56,0,0,3.475614,185,187,0
19317,52763886,0.4134604,0.00021332,0.4154475,0.3450014,3.187902,3.66965,3.76,0,0,3.669894,189,191,0
19406,52863846,0.4139067,0.00022179,0.414891,0.3450014,3.385309,3.867952,3.96,0,0,3.868196,193,195,0
19495,52963806,0.4110483,0.00022689,0.4128056,0.3450014,3.587133,4.069144,4.16,0,0,4.069388,196,198,0
19586,53063766,0.4072981,0.00017944,0.4109688,0.3450014,3.792794,4.27345,4.36,0,0,4.273695,198,200,0
19676,53163726,0.4080514,0.00019661,0.4091111,0.3450014,4.001689,4.479916,4.58,0,0,4.48016,200,202,0
19766,53263686,0.4042887,0.00015876,0.4062375,0.3450014,4.213193,4.688408,4.78,0,0,4.688652,202,203,0
19857,53363646,0.4033747,0.00022438,0.4054899,0.3450014,4.426702,4.897722,5,0,0,4.897966,202,204,0
19947,53463606,0.4056144,0.0001803,0.4046943,0.3450014,4.641791,5.107789,5.21,0,0,5.108033,203,204,0
20039,53563566,0.4050609,0.00020513,0.4046008,0.3450014,4.858266,5.318096,5.42,0,0,5.318401,204,204,0
20128,53663526,0.4049683,0.00023645,0.4046742,0.3450014,5.076056,5.528949,5.62,0,0,5.529254,204,205,0
20218,53763486,0.405262,0.00022963,0.4050539,0.3450014,5.295111,5.740064,5.84,0,0,5.740369,205,205,0
20307,53863446,0.4057889,0.00015253,0.4052217,0.3450014,5.515378,5.951677,6.05,0,0,5.951982,206,205,0
20396,53963406,0.4041652,0.0002633,0.4055859,0.3450014,5.736813,6.163621,6.26,0,0,6.163927,207,206,0
20487,54063366,0.4068207,0.00017804,0.406311,0.3450014,5.959366,6.376225,6.48,0,0,6.37653,208,207,0
20577,54163326,0.4064326,0.00021106,0.4067144,0.3450014,6.182999,6.589272,6.69,0,0,6.589577,209,207,0
20667,54263286,0.4074113,0.00023496,0.406885,0.3450014,6.407664,6.803157,6.91,0,0,6.803463,210,208,0
20758,54364079,0.4062749,0.00024027,0.4069006,0.3450014,6.633324,7.017705,7.12,0,0,7.01801,211,209,0
20848,54464039,0.4084066,0.00018901,0.4078852,0.3450014,6.85994,7.233284,7.34,0,0,7.233589,212,210,0
20940,54563999,0.4090065,0.00019914,0.4079295,0.3450014,7.087471,7.449501,7.55,0,0,7.449806,213,211,0
21029,54663959,0.4079955,0.0002405,0.4086327,0.3450014,7.315886,7.668597,7.77,0,0,7.668902,214,212,0
21118,54763919,0.4079883,0.00015014,0.4090558,0.3450014,7.545145,7.886553,7.99,0,0,7.886858,215,213,0
21208,54863879,0.4081693,0.00020102,0.4087845,0.3450014,7.775218,8.105731,8.21,0,0,8.106036,216,214,0
21297,54963839,0.4073422,0.00019166,0.4090808,0.3450014,8.006073,8.325644,8.44,0,0,8.32595,218,215,0
21388,55063799,0.4103851,0.00017279,0.4096692,0.3450014,8.23768,8.546904,8.65,0,0,8.547209,219,216,0
21478,55163759,0.4107195,0.0001885,0.4098967,0.3450014,8.470009,8.768852,8.87,0,0,8.769096,220,217,0
21567,55263719,0.4101176,0.00018772,0.4104989,0.3450014,8.703031,8.992192,9.1,0,0,8.992436,221,218,0
21659,55363679,0.4075345,0.00025296,0.4098929,0.3450014,8.936717,9.216306,9.33,0,0,9.21655,222,219,0
21749,55463639,0.4092992,0.00012749,0.4101204,0.3450014,9.171043,9.441797,9.55,0,0,9.442041,222,220,0
21841,55563599,0.410977,0.00024918,0.4101464,0.3450014,9.405984,9.667925,9.77,0,0,9.668169,223,221,0
21930,55663559,0.4110698,0.00018412,0.4107101,0.3450014,9.641517,9.895155,10,0,0,9.895399,224,222,0
22019,55763519,0.4123087,0.00020197,0.4107954,0.3450014,9.877617,10.1228,10.23,0,0,10.12305,225,223,0
22109,55863479,0.410372,0.00019979,0.4107423,0.3450014,10.11426,10.35171,10.46,0,0,10.35196,226,224,0
22198,55963439,0.4107069,0.00023022,0.4105579,0.3450014,10.35143,10.58101,10.69,0,0,10.58125,227,225,0
