LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S,labels
5475,20063638,0,232,52,-528,5,13,-18,0,0,0,1,20063638,0
5554,20163598,0,232,52,-528,5,13,-18,0,0,0,1,20163598,0
5633,20263558,0,232,52,-528,5,13,-18,0,0,0,1,20263558,0
5717,20363518,0,232,52,-528,5,13,-18,0,0,0,1,20363518,0
5797,20463478,0,232,52,-528,5,13,-18,0,0,0,1,20463478,0
5876,20563438,0,232,52,-528,5,13,-18,0,0,0,1,20563438,0
5955,20663398,0,232,52,-528,5,13,-18,0,0,0,1,20663398,0
6034,20763358,0,232,52,-528,5,13,-18,0,0,0,1,20763358,0
6115,20863318,0,232,52,-528,5,13,-18,0,0,0,1,20863318,0
6195,20963278,0,232,52,-528,5,13,-18,0,0,0,1,20963278,0
6274,21064071,0,232,52,-528,5,13,-18,0,0,0,1,21064071,0
6354,21164031,0,232,52,-528,5,13,-18,0,0,0,1,21164031,0
6433,21263991,0,232,52,-528,5,13,-18,0,0,0,1,21263991,0
6517,21363951,0,232,52,-528,5,13,-18,0,0,0,1,21363951,0
6597,21463911,0,232,52,-528,5,13,-18,0,0,0,1,21463911,0
6676,21563871,0,232,52,-528,5,13,-18,0,0,0,1,21563871,0
6755,21663831,0,232,52,-528,5,13,-18,0,0,0,1,21663831,0
6834,21763791,0,232,52,-528,5,13,-18,0,0,0,1,21763791,0
6915,21863751,0,232,52,-528,5,13,-18,0,0,0,1,21863751,0
6995,21963711,0,232,52,-528,5,13,-18,0,0,0,1,21963711,0
7074,22063671,0,232,52,-528,5,13,-18,0,0,0,1,22063671,0
7154,22163631,0,232,52,-528,5,13,-18,0,0,0,1,22163631,0
7233,22263591,0,232,52,-528,5,13,-18,0,0,0,1,22263591,0
7318,22363551,0,232,52,-528,5,13,-18,0,0,0,1,22363551,0
7398,22463511,0,232,52,-528,5,13,-18,0,0,0,1,22463511,0
7477,22563471,0,232,52,-528,5,13,-18,0,0,0,1,22563471,0
7556,22663431,0,232,52,-528,5,13,-18,0,0,0,1,22663431,0
7635,22763391,0,232,52,-528,5,13,-18,0,0,0,1,22763391,0
7716,22863351,0,232,52,-528,5,13,-18,0,0,0,1,22863351,0
7795,22963311,0,232,52,-528,5,13,-18,0,0,0,1,22963311,0
7875,23063271,0,232,52,-528,5,13,-18,0,0,0,1,23063271,0
7955,23164064,0,232,52,-528,5,13,-18,0,0,0,1,23164064,0
8034,23264024,0,232,52,-528,5,13,-18,0,0,0,1,23264024,0
8118,23363984,0,232,52,-528,5,13,-18,0,0,0,1,23363984,0
8197,23463944,0,232,52,-528,5,13,-18,0,0,0,1,23463944,0
8277,23563904,0,232,52,-528,5,13,-18,0,0,0,1,23563904,0
8356,23663864,0,232,52,-528,5,13,-18,0,0,0,1,23663864,0
8435,23763824,0,232,52,-528,5,13,-18,0,0,0,1,23763824,0
8516,23863784,0,232,52,-528,5,13,-18,0,0,0,1,23863784,0
8595,23963744,0,232,52,-528,5,13,-18,0,0,0,1,23963744,0
8675,24063704,0,232,52,-528,5,13,-18,0,0,0,1,24063704,0
8755,24163664,0,232,52,-528,5,13,-18,0,0,0,1,24163664,0
8834,24263624,0,232,52,-528,5,13,-18,0,0,0,1,24263624,0
8918,24363584,0,232,52,-528,5,13,-18,0,0,0,1,24363584,0
8997,24463544,0,232,52,-528,5,13,-18,0,0,0,1,24463544,0
9077,24563504,0,232,52,-528,5,13,-18,0,0,0,1,24563504,0
9156,24663464,0,232,52,-528,5,13,-18,0,0,0,1,24663464,0
9235,24763424,0,232,52,-528,5,13,-18,0,0,0,1,24763424,0
9316,24863384,0,232,52,-528,5,13,-18,0,0,0,1,24863384,0
9395,24963344,0,232,52,-528,5,13,-18,0,0,0,1,24963344,0
9476,25063304,0,232,52,-528,5,13,-18,0,0,0,1,25063304,0
9556,25163264,0,232,52,-528,5,13,-18,0,0,0,1,25163264,0
9635,25264057,0,232,52,-528,5,13,-18,0,0,0,1,25264057,0
9719,25364017,0,232,52,-528,5,13,-18,0,0,0,1,25364017,0
9798,25463977,0,232,52,-528,5,13,-18,0,0,0,1,25463977,0
9878,25563937,0,232,52,-528,5,13,-18,0,0,0,1,25563937,0
9957,25663897,0,232,52,-528,5,13,-18,0,0,0,1,25663897,0
10036,25763857,0,232,52,-528,5,13,-18,0,0,0,1,25763857,0
10117,25863817,0,232,52,-528,5,13,-18,0,0,0,1,25863817,0
10196,25963777,0,232,52,-528,5,13,-18,0,0,0,1,25963777,0
10276,26063737,0,232,52,-528,5,13,-18,0,0,0,1,26063737,0
10356,26163697,0,232,52,-528,5,13,-18,0,0,0,1,26163697,0
10435,26263657,0,232,52,-528,5,13,-18,0,0,0,1,26263657,0
10519,26363617,0,232,52,-528,5,13,-18,0,0,0,1,26363617,0
10598,26463577,0,232,52,-528,5,13,-18,0,0,0,1,26463577,0
10678,26563537,0,232,52,-528,5,13,-18,0,0,0,1,26563537,0
10757,26663497,0,232,52,-528,5,13,-18,0,0,0,1,26663497,0
10836,26763457,0,232,52,-528,5,13,-18,0,0,0,1,26763457,0
10917,26863417,0,232,52,-528,5,13,-18,0,0,0,1,26863417,0
10996,26963377,0,232,52,-528,5,13,-18,0,0,0,1,26963377,0
11076,27063337,0,232,52,-528,5,13,-18,0,0,0,1,27063337,0
11156,27163297,0,232,52,-528,5,13,-18,0,0,0,1,27163297,0
11235,27264090,0,232,52,-528,5,13,-18,0,0,0,1,27264090,0
11319,27364050,0,232,52,-528,5,13,-18,0,0,0,1,27364050,0
11398,27464010,0,232,52,-528,5,13,-18,0,0,0,1,27464010,0
11478,27563970,0,232,52,-528,5,13,-18,0,0,0,1,27563970,0
11557,27663930,0,232,52,-528,5,13,-18,0,0,0,1,27663930,0
11636,27763890,0,232,52,-528,5,13,-18,0,0,0,1,27763890,0
11717,27863850,0,232,52,-528,5,13,-18,0,0,0,1,27863850,0
11796,27963810,0,232,52,-528,5,13,-18,0,0,0,1,27963810,0
11876,28063770,0,232,52,-528,5,13,-18,0,0,0,1,28063770,0
11956,28163730,0,232,52,-528,5,13,-18,0,0,0,1,28163730,0
12035,28263690,0,232,52,-528,5,13,-18,0,0,0,1,28263690,0
12119,28363650,0,232,52,-528,5,13,-18,0,0,0,1,28363650,0
12198,28463610,0,232,52,-528,5,13,-18,0,0,0,1,28463610,0
12278,28563570,0,232,52,-528,5,13,-18,0,0,0,1,28563570,0
12357,28663530,0,232,52,-528,5,13,-18,0,0,0,1,28663530,0
12436,28763490,0,232,52,-528,5,13,-18,0,0,0,1,28763490,0
12517,28863450,0,232,52,-528,5,13,-18,0,0,0,1,28863450,0
12596,28963410,0,232,52,-528,5,13,-18,0,0,0,1,28963410,0
12676,29063370,0,232,52,-528,5,13,-18,0,0,0,1,29063370,0
12756,29163330,0,232,52,-528,5,13,-18,0,0,0,1,29163330,0
12835,29263290,0,232,52,-528,5,13,-18,0,0,0,1,29263290,0
12919,29364083,0,232,52,-528,5,13,-18,0,0,0,1,29364083,0
12998,29464043,0,232,52,-528,5,13,-18,0,0,0,1,29464043,0
13078,29564003,0,232,52,-528,5,13,-18,0,0,0,1,29564003,0
13157,29663963,0,232,52,-528,5,13,-18,0,0,0,1,29663963,0
13279,45963274,0,232,52,-528,5,13,-18,0,0,0,1,45963274,0
13361,46064067,0,232,52,-528,5,13,-18,0,0,0,1,46064067,0
13441,46164027,0,232,52,-528,5,13,-18,0,0,0,1,46164027,0
13525,46263987,0,232,52,-528,5,13,-18,0,0,0,1,46263987,0
13610,46363947,0,232,52,-528,5,13,-18,0,0,0,1,46363947,0
13694,46463907,0,232,52,-528,5,13,-18,0,0,0,1,46463907,0
13781,46563867,0,232,52,-528,5,13,-18,0,0,0,1,46563867,0
13866,46663827,0,232,52,-528,5,13,-18,0,0,0,1,46663827,0
13952,46763787,0,232,52,-528,5,13,-18,0,0,0,1,46763787,0
14037,46863747,0,232,52,-528,5,13,-18,0,0,0,1,46863747,0
14122,46963707,0,232,52,-528,5,13,-18,0,0,0,1,46963707,0
14209,47063667,0,232,52,-528,5,13,-18,0,0,0,1,47063667,0
14295,47163627,0,232,52,-528,5,13,-18,0,0,0,1,47163627,0
14381,47263587,0,232,52,-528,5,13,-18,0,0,0,1,47263587,0
14468,47363547,0,232,52,-528,5,13,-18,0,0,0,1,47363547,0
14554,47463507,0,232,52,-528,5,13,-18,0,0,0,1,47463507,0
14641,47563467,0,232,52,-528,5,13,-18,0,0,0,1,47563467,0
14726,47663427,0,232,52,-528,5,13,-18,0,0,0,1,47663427,0
14812,47763387,0,232,52,-528,5,13,-18,0,0,0,1,47763387,0
14897,47863347,0,232,52,-528,5,13,-18,0,0,0,1,47863347,0
14983,47963307,0,232,52,-528,5,13,-18,0,0,0,1,47963307,0
15074,48063267,0,232,52,-528,5,13,-18,0,0,0,1,48063267,0
15164,48164060,0,232,52,-528,5,13,-18,0,0,0,1,48164060,0
15254,48264020,0,232,52,-528,5,13,-18,0,0,0,1,48264020,0
15345,48363980,0,232,52,-528,5,13,-18,0,0,0,1,48363980,0
15436,48463940,0,232,52,-528,5,13,-18,0,0,0,1,48463940,0
15527,48563900,0,232,52,-528,5,13,-18,0,0,0,1,48563900,0
15616,48663860,0,232,52,-528,5,13,-18,0,0,0,1,48663860,0
15706,48763820,0,232,52,-528,5,13,-18,0,0,0,1,48763820,0
15795,48863780,0,232,52,-528,5,13,-18,0,0,0,1,48863780,0
15884,48963740,0,232,52,-528,5,13,-18,0,0,0,1,48963740,0
15975,49063700,0,232,52,-528,5,13,-18,0,0,0,1,49063700,0
16065,49163660,0,232,52,-528,5,13,-18,0,0,0,1,49163660,0
16155,49263620,0,232,52,-528,5,13,-18,0,0,0,1,49263620,0
16246,49363580,0,232,52,-528,5,13,-18,0,0,0,1,49363580,0
16336,49463540,0,232,52,-528,5,13,-18,0,0,0,1,49463540,0
16427,49563500,0,232,52,-528,5,13,-18,0,0,0,1,49563500,0
16516,49663460,0,232,52,-528,5,13,-18,0,0,0,1,49663460,0
16606,49763420,0,232,52,-528,5,13,-18,0,0,0,1,49763420,0
16695,49863380,0,232,52,-528,5,13,-18,0,0,0,1,49863380,0
16784,49963340,0,232,52,-528,5,13,-18,0,0,0,1,49963340,0
16875,50063300,0,232,52,-528,5,13,-18,0,0,0,1,50063300,0
16965,50163260,0,232,52,-528,5,13,-18,0,0,0,1,50163260,0
17055,50264053,0,232,52,-528,5,13,-18,0,0,0,1,50264053,0
17146,50364013,0,232,52,-528,5,13,-18,0,0,0,1,50364013,0
17236,50463973,0,231,53,-528,5,13,-18,0,0,0,1,50463973,0
17327,50563933,0,230,54,-529,5,13,-18,0,0,0,1,50563933,0
17416,50663893,0,230,52,-529,5,13,-18,0,0,0,1,50663893,0
17506,50763853,0,225,61,-530,5,13,-18,0,0,0,1,50763853,0
17595,50863813,0,230,55,-528,5,13,-18,0,0,0,1,50863813,0
17684,50963773,0,231,60,-527,5,13,-18,0,0,0,1,50963773,0
17775,51063733,0,232,50,-528,5,13,-18,0,0,0,1,51063733,0
17866,51163693,0,231,55,-528,5,13,-18,0,0,0,1,51163693,0
17956,51263653,0,232,50,-528,5,13,-18,0,0,0,1,51263653,0
18047,51363613,0,233,60,-527,5,13,-18,0,0,0,1,51363613,0
18137,51463573,0,231,55,-528,5,13,-18,0,0,0,1,51463573,0
18228,51563533,0,232,59,-527,5,13,-18,0,0,0,1,51563533,0
18317,51663493,0,232,50,-528,5,13,-18,0,0,0,1,51663493,0
18407,51763453,0,232,57,-527,5,13,-18,0,0,0,1,51763453,0
18496,51863413,0,233,50,-527,5,13,-18,0,0,0,1,51863413,0
18585,51963373,0,233,58,-527,5,13,-18,0,0,0,1,51963373,0
18676,52063333,0,234,49,-527,5,13,-18,0,0,0,1,52063333,0
18767,52163293,0,233,57,-527,5,13,-18,0,0,0,1,52163293,0
18857,52264086,0,231,49,-528,5,13,-18,0,0,0,1,52264086,0
18950,52364046,0,233,57,-527,5,13,-18,0,0,0,1,52364046,0
19042,52464006,0,235,50,-527,5,13,-18,0,0,0,1,52464006,0
19133,52563966,0,233,58,-527,5,13,-18,0,0,0,1,52563966,0
19222,52663926,0,231,52,-528,5,13,-18,0,0,0,1,52663926,0
19312,52763886,0,231,58,-528,5,13,-18,0,0,0,1,52763886,0
19401,52863846,0,231,51,-528,5,13,-18,0,0,0,1,52863846,0
19490,52963806,0,232,57,-527,5,13,-18,0,0,0,1,52963806,0
19581,53063766,0,233,48,-528,5,13,-18,0,0,0,1,53063766,0
19671,53163726,0,233,52,-527,5,13,-18,0,0,0,1,53163726,0
19761,53263686,0,233,41,-528,5,13,-18,0,0,0,1,53263686,0
19852,53363646,0,236,47,-526,5,13,-18,0,0,0,1,53363646,0
19942,53463606,0,233,39,-528,5,13,-18,0,0,0,1,53463606,0
20034,53563566,0,236,42,-527,5,13,-18,0,0,0,1,53563566,0
20123,53663526,0,234,32,-529,5,13,-18,0,0,0,1,53663526,0
20213,53763486,0,236,39,-527,5,13,-18,0,0,0,1,53763486,0
20302,53863446,0,236,33,-528,5,13,-18,0,0,0,1,53863446,0
20391,53963406,0,238,40,-526,5,13,-18,0,0,0,1,53963406,0
20482,54063366,0,236,33,-528,5,13,-18,0,0,0,1,54063366,0
20572,54163326,0,237,39,-527,5,13,-18,0,0,0,1,54163326,0
20662,54263286,0,233,34,-529,5,13,-18,0,0,0,1,54263286,0
20753,54364079,0,235,41,-528,5,13,-18,0,0,0,1,54364079,0
20843,54464039,0,235,35,-528,5,13,-18,0,0,0,1,54464039,0
20935,54563999,0,235,45,-527,5,13,-18,0,0,0,1,54563999,0
21024,54663959,0,232,40,-529,5,13,-18,0,0,0,1,54663959,0
21113,54763919,0,231,49,-528,5,13,-18,0,0,0,1,54763919,0
21203,54863879,0,231,43,-529,5,13,-18,0,0,0,1,54863879,0
21292,54963839,0,233,51,-528,5,13,-18,0,0,0,1,54963839,0
21383,55063799,0,233,42,-528,5,13,-18,0,0,0,1,55063799,0
21473,55163759,0,234,49,-527,5,13,-18,0,0,0,1,55163759,0
21562,55263719,0,231,42,-529,5,13,-18,0,0,0,1,55263719,0
21654,55363679,0,236,47,-527,5,13,-18,0,0,0,1,55363679,0
21744,55463639,0,234,41,-528,5,13,-18,0,0,0,1,55463639,0
21836,55563599,0,238,46,-526,5,13,-18,0,0,0,1,55563599,0
21925,55663559,0,232,40,-529,5,13,-18,0,0,0,1,55663559,0
22014,55763519,0,235,47,-527,5,13,-18,0,0,0,1,55763519,0
22104,55863479,0,232,40,-529,5,13,-18,0,0,0,1,55863479,0
22193,55963439,0,235,46,-527,5,13,-18,0,0,0,1,55963439,0
22284,56063399,0,234,38,-528,5,13,-18,0,0,0,1,56063399,0
22374,56163359,0,235,45,-527,5,13,-18,0,0,0,1,56163359,0
22464,56263319,0,233,39,-529,5,13,-18,0,0,0,1,56263319,0
22556,56363279,0,235,46,-527,5,13,-18,0,0,0,1,56363279,0
22647,56464072,0,232,38,-529,5,13,-18,0,0,0,1,56464072,0
22738,56564032,0,234,44,-528,5,13,-18,0,0,0,1,56564032,0
22827,56663992,0,230,40,-530,5,13,-18,0,0,0,1,56663992,0
22916,56763952,0,234,49,-527,5,13,-18,0,0,0,1,56763952,0
23006,56863912,0,233,43,-528,5,13,-18,0,0,0,1,56863912,0
23095,56963872,0,236,49,-526,5,13,-18,0,0,0,1,56963872,0
23186,57063832,0,232,43,-528,5,13,-18,0,0,0,1,57063832,0
23276,57163792,0,235,49,-527,5,13,-18,0,0,0,1,57163792,0
23365,57263752,0,232,43,-528,5,13,-18,0,0,0,1,57263752,0
23457,57363712,0,235,47,-527,5,13,-18,0,0,0,1,57363712,0
23548,57463672,0,232,41,-529,5,13,-18,0,0,0,1,57463672,0
23639,57563632,0,237,47,-526,5,13,-18,0,0,0,1,57563632,0
23728,57663592,0,229,44,-530,5,13,-18,0,0,0,1,57663592,0
23817,57763552,0,234,49,-527,5,13,-18,0,0,0,1,57763552,0
23907,57863512,0,230,42,-529,5,13,-18,0,0,0,1,57863512,0
23996,57963472,0,235,46,-527,5,13,-18,0,0,0,1,57963472,0
24087,58063432,0,232,39,-529,5,13,-18,0,0,0,1,58063432,0
24177,58163392,0,236,46,-526,5,13,-18,0,0,0,1,58163392,0
24266,58263352,0,232,40,-529,5,13,-18,0,0,0,1,58263352,0
24358,58363312,0,237,46,-526,5,13,-18,0,0,0,1,58363312,0
24449,58463272,0,232,40,-529,5,13,-18,0,0,0,1,58463272,0
24540,58564065,0,236,46,-527,5,13,-18,0,0,0,1,58564065,0
24629,58664025,0,231,41,-529,5,13,-18,0,0,0,1,58664025,0
24718,58763985,0,236,46,-526,5,13,-18,0,0,0,1,58763985,0
24808,58863945,0,234,39,-528,5,13,-18,0,0,0,1,58863945,0
24897,58963905,0,237,45,-526,5,13,-18,0,0,0,1,58963905,0
24988,59063865,0,234,39,-528,5,13,-18,0,0,0,1,59063865,0
25078,59163825,0,236,45,-527,5,13,-18,0,0,0,1,59163825,0
25167,59263785,0,233,39,-529,5,13,-18,0,0,0,1,59263785,0
25259,59363745,0,236,44,-527,5,13,-18,0,0,0,1,59363745,0
25350,59463705,0,231,39,-529,5,13,-18,0,0,0,1,59463705,0
25441,59563665,0,237,43,-527,5,13,-18,0,0,0,1,59563665,0
25530,59663625,0,232,42,-529,5,13,-18,0,0,0,1,59663625,0
25619,59763585,0,236,47,-527,5,13,-18,0,0,0,1,59763585,0
25709,59863545,0,231,42,-529,5,13,-18,0,0,0,1,59863545,0
25798,59963505,0,236,45,-527,5,13,-18,0,0,0,1,59963505,0
25889,60063465,0,232,41,-529,5,13,-18,0,0,0,1,60063465,0
25979,60163425,0,236,45,-527,5,13,-18,0,0,0,1,60163425,0
26068,60263385,0,232,42,-529,5,13,-18,0,0,0,1,60263385,0
26160,60363345,0,236,46,-527,5,13,-18,0,0,0,1,60363345,0
26250,60463305,0,232,42,-529,5,13,-18,0,0,0,1,60463305,0
26343,60563265,0,237,46,-526,5,13,-18,0,0,0,1,60563265,0
26432,60664058,0,240,44,-525,5,13,-18,0,0,0,1,60664058,0
26521,60764018,0,253,46,-519,5,13,-18,0,0,0,1,60764018,0
26611,60863978,0,249,41,-521,5,13,-18,0,0,0,1,60863978,0
26700,60963938,0,251,44,-520,5,13,-18,0,0,0,1,60963938,0
26791,61063898,0,242,42,-524,5,13,-18,0,0,0,1,61063898,0
26881,61163858,0,245,47,-523,5,13,-18,0,0,0,1,61163858,0
26970,61263818,0,237,44,-526,5,13,-18,0,0,0,1,61263818,0
27065,61363778,0,240,47,-525,5,13,-18,0,0,0,1,61363778,0
27155,61463738,0,234,45,-528,5,13,-18,0,0,0,1,61463738,0
27246,61563698,0,239,49,-525,5,13,-18,0,0,0,1,61563698,0
27335,61663658,0,231,45,-529,5,13,-18,0,0,0,1,61663658,0
27424,61763618,0,238,44,-526,5,13,-18,0,0,0,1,61763618,0
27514,61863578,0,233,41,-528,5,13,-18,0,0,0,1,61863578,0
27603,61963538,0,238,44,-526,5,13,-18,0,0,0,1,61963538,0
27694,62063498,0,230,45,-529,5,13,-18,0,0,0,1,62063498,0
27783,62163458,0,235,49,-527,5,13,-18,0,0,0,1,62163458,0
27873,62263418,0,229,47,-530,5,13,-18,0,0,0,1,62263418,0
27966,62363378,0,235,49,-527,5,13,-18,0,0,0,1,62363378,0
28056,62463338,0,228,47,-530,5,13,-18,0,0,0,1,62463338,0
28147,62563298,0,233,48,-528,5,13,-18,0,0,0,1,62563298,0
28236,62664091,0,227,47,-530,5,13,-18,0,0,0,1,62664091,0
28325,62764051,0,235,47,-527,5,13,-18,0,0,0,1,62764051,0
28415,62864011,0,227,45,-531,5,13,-18,0,0,0,1,62864011,0
28504,62963971,0,233,47,-528,5,13,-18,0,0,0,1,62963971,0
28595,63063931,0,227,46,-531,5,13,-18,0,0,0,1,63063931,0
28684,63163891,0,234,49,-527,5,13,-18,0,0,0,1,63163891,0
28774,63263851,0,228,47,-530,5,13,-18,0,0,0,1,63263851,0
28866,63363811,0,235,48,-527,5,13,-18,0,0,0,1,63363811,0
28956,63463771,0,228,47,-530,5,13,-18,0,0,0,1,63463771,0
29047,63563731,0,234,46,-528,5,13,-18,0,0,0,1,63563731,0
29136,63663691,0,229,46,-530,5,13,-18,0,0,0,1,63663691,0
29225,63763651,0,235,47,-527,5,13,-18,0,0,0,1,63763651,0
29315,63863611,0,227,46,-530,5,13,-18,0,0,0,1,63863611,0
29404,63963571,0,233,43,-528,5,13,-18,0,0,0,1,63963571,0
29495,64063531,0,228,44,-530,5,13,-18,0,0,0,1,64063531,0
29584,64163491,0,236,45,-527,5,13,-18,0,0,0,1,64163491,0
29674,64263451,0,230,45,-530,5,13,-18,0,0,0,1,64263451,0
29766,64363411,0,236,45,-527,5,13,-18,0,0,0,1,64363411,0
29856,64463371,0,229,45,-530,5,13,-18,0,0,0,1,64463371,0
29947,64563331,0,236,44,-527,5,13,-18,0,0,0,1,64563331,0
30036,64663291,0,230,45,-529,5,13,-18,0,0,0,1,64663291,0
30125,64764084,0,237,43,-526,5,13,-18,0,0,0,1,64764084,0
30215,64864044,0,230,44,-529,5,13,-18,0,0,0,1,64864044,0
30304,64964004,0,237,44,-527,5,13,-18,0,0,0,1,64964004,0
30395,65063964,0,231,43,-529,5,13,-18,0,0,0,1,65063964,0
30484,65163924,0,238,43,-526,5,13,-18,0,0,0,1,65163924,0
30574,65263884,0,233,44,-528,5,13,-18,0,0,0,1,65263884,0
30666,65363844,0,238,43,-526,5,13,-18,0,0,0,1,65363844,0
30756,65463804,0,231,43,-529,5,13,-18,0,0,0,1,65463804,0
30847,65563764,0,238,43,-526,5,13,-18,0,0,0,1,65563764,0
30936,65663724,0,231,44,-529,5,13,-18,0,0,0,1,65663724,0
31025,65763684,0,237,41,-526,5,13,-18,0,0,0,1,65763684,0
31115,65863644,0,233,45,-528,5,13,-18,0,0,0,1,65863644,0
31204,65963604,0,237,45,-526,5,13,-18,0,0,0,1,65963604,0
31295,66063564,0,230,49,-529,5,13,-18,0,0,0,1,66063564,0
31384,66163524,0,237,44,-526,5,13,-18,0,0,0,1,66163524,0
31474,66263484,0,231,45,-529,5,13,-18,0,0,0,1,66263484,0
31565,66363444,0,237,44,-526,5,13,-18,0,0,0,1,66363444,0
31657,66463404,0,231,45,-529,5,13,-18,0,0,0,1,66463404,0
31748,66563364,0,237,43,-526,5,13,-18,0,0,0,1,66563364,0
31837,66663324,0,231,44,-529,5,13,-18,0,0,0,1,66663324,0
31926,66763284,0,237,43,-527,5,13,-18,0,0,0,1,66763284,0
32015,66864077,0,231,45,-529,5,13,-18,0,0,0,1,66864077,0
32105,66964037,0,237,42,-526,5,13,-18,0,0,0,1,66964037,0
32196,67063997,0,231,46,-529,5,13,-18,0,0,0,1,67063997,0
32285,67163957,0,236,43,-527,5,13,-18,0,0,0,1,67163957,0
32375,67263917,0,230,45,-529,5,13,-18,0,0,0,1,67263917,0
32466,67363877,0,236,42,-527,5,13,-18,0,0,0,1,67363877,0
32557,67463837,0,231,46,-529,5,13,-18,0,0,0,1,67463837,0
32648,67563797,0,237,43,-526,5,13,-18,0,0,0,1,67563797,0
32737,67663757,0,232,46,-528,5,13,-18,0,0,0,1,67663757,0
32826,67763717,0,237,43,-526,5,13,-18,0,0,0,1,67763717,0
32915,67863677,0,231,46,-529,5,13,-18,0,0,0,1,67863677,0
33005,67963637,0,236,40,-527,5,13,-18,0,0,0,1,67963637,0
33096,68063597,0,235,46,-527,5,13,-18,0,0,0,1,68063597,0
33185,68163557,0,239,41,-526,5,13,-18,0,0,0,1,68163557,0
33275,68263517,0,231,46,-529,5,13,-18,0,0,0,1,68263517,0
33366,68363477,0,236,42,-527,5,13,-18,0,0,0,1,68363477,0
33457,68463437,0,231,46,-529,5,13,-18,0,0,0,1,68463437,0
33548,68563397,0,236,42,-527,5,13,-18,0,0,0,1,68563397,0
33637,68663357,0,231,47,-529,5,13,-18,0,0,0,1,68663357,0
33726,68763317,0,236,43,-527,5,13,-18,0,0,0,1,68763317,0
33815,68863277,0,232,47,-528,5,13,-18,0,0,0,1,68863277,0
