LineNo,TimeUS,TPD,PD,DVD,TVD,VD,DAD,TAD,AD,labels
4218,18463445,-0.02666617,-0.02666617,-0.01300659,-0.01300659,-0.01300659,-0.00179863,-0.00179863,-0.00179863,0
4297,18563405,-0.02631411,-0.02631411,-0.01275807,-0.01275807,-0.01275807,-0.00165653,-0.00165653,-0.00165653,0
4382,18663365,-0.02596638,-0.02596638,-0.01248868,-0.01248868,-0.01248868,-0.00174618,-0.00174618,-0.00174618,0
4463,18763325,-0.02562147,-0.02562147,-0.01224481,-0.01224481,-0.01224481,-0.00256443,-0.00256443,-0.00256443,0
4542,18863285,-0.02528277,-0.02528277,-0.01196439,-0.01196439,-0.01196439,-0.0007143,-0.0007143,-0.0007143,0
4622,18964078,-0.02494644,-0.02494644,-0.01175497,-0.01175497,-0.01175497,-0.00167847,-0.00167847,-0.00167847,0
4702,19064038,-0.02461762,-0.02461762,-0.01151977,-0.01151977,-0.01151977,-0.00195122,-0.00195122,-0.00195122,0
4781,19163998,-0.02429733,-0.02429733,-0.01134134,-0.01134134,-0.01134134,-0.00121975,-0.00121975,-0.00121975,0
4864,19263958,-0.02399549,-0.02399549,-0.01116523,-0.01116523,-0.01116523,-0.00136757,-0.00136757,-0.00136757,0
4944,19363918,-0.02369216,-0.02369216,-0.0109703,-0.0109703,-0.0109703,-0.00265122,-0.00265122,-0.00265122,0
5024,19463878,-0.02339608,-0.02339608,-0.01076091,-0.01076091,-0.01076091,-0.00182629,-0.00182629,-0.00182629,0
5103,19563838,-0.02310418,-0.02310418,-0.0105702,-0.0105702,-0.0105702,-0.00259399,-0.00259399,-0.00259399,0
5182,19663798,-0.02281938,-0.02281938,-0.01035909,-0.01035909,-0.01035909,-0.00249195,-0.00249195,-0.00249195,0
5263,19763758,-0.02253977,-0.02253977,-0.0101888,-0.0101888,-0.0101888,-0.00242519,-0.00242519,-0.00242519,0
5343,19863718,-0.02226573,-0.02226573,-0.01000198,-0.01000198,-0.01000198,-0.00245476,-0.00245476,-0.00245476,0
5423,19963678,-0.02199237,-0.02199237,-0.00974996,-0.00974996,-0.00974996,-0.00128078,-0.00128078,-0.00128078,0
5503,20063638,-0.0217175,-0.0217175,-0.00952111,-0.00952111,-0.00952111,-0.00108242,-0.00108242,-0.00108242,0
5582,20163598,-0.02144099,-0.02144099,-0.00927545,-0.00927545,-0.00927545,-0.00112915,-0.00112915,-0.00112915,0
5665,20263558,-0.02116803,-0.02116803,-0.00913127,-0.00913127,-0.00913127,-0.00094795,-0.00094795,-0.00094795,0
5745,20363518,-0.02089754,-0.02089754,-0.00895673,-0.00895673,-0.00895673,-0.00116062,-0.00116062,-0.00116062,0
5825,20463478,-0.02063077,-0.02063077,-0.00879341,-0.00879341,-0.00879341,-0.00142574,-0.00142574,-0.00142574,0
5904,20563438,-0.02036777,-0.02036777,-0.00866734,-0.00866734,-0.00866734,-0.00218487,-0.00218487,-0.00218487,0
5983,20663398,-0.02011272,-0.02011272,-0.00851474,-0.00851474,-0.00851474,-0.00116253,-0.00116253,-0.00116253,0
6064,20763358,-0.01986233,-0.01986233,-0.00838581,-0.00838581,-0.00838581,-0.00210381,-0.00210381,-0.00210381,0
6143,20863318,-0.01962161,-0.01962161,-0.00829933,-0.00829933,-0.00829933,-0.00097275,-0.00097275,-0.00097275,0
6223,20963278,-0.01938725,-0.01938725,-0.00811996,-0.00811996,-0.00811996,-0.00042534,-0.00042534,-0.00042534,0
6303,21064071,-0.01915547,-0.01915547,-0.00802341,-0.00802341,-0.00802341,-0.00066566,-0.00066566,-0.00066566,0
6382,21164031,-0.01893141,-0.01893141,-0.00792158,-0.00792158,-0.00792158,-0.00148392,-0.00148392,-0.00148392,0
6465,21263991,-0.01871012,-0.01871012,-0.00771486,-0.00771486,-0.00771486,0.0005827,0.0005827,0.0005827,0
6545,21363951,-0.01849629,-0.01849629,-0.00762751,-0.00762751,-0.00762751,-0.00198364,-0.00198364,-0.00198364,0
6625,21463911,-0.01828201,-0.01828201,-0.00750903,-0.00750903,-0.00750903,-0.00146866,-0.00146866,-0.00146866,0
6704,21563871,-0.01807014,-0.01807014,-0.00736138,-0.00736138,-0.00736138,-0.00020599,-0.00020599,-0.00020599,0
6783,21663831,-0.01786079,-0.01786079,-0.0072595,-0.0072595,-0.0072595,-0.00160027,-0.00160027,-0.00160027,0
6864,21763791,-0.01765634,-0.01765634,-0.00712748,-0.00712748,-0.00712748,-0.00039005,-0.00039005,-0.00039005,0
6943,21863751,-0.01745656,-0.01745656,-0.00707037,-0.00707037,-0.00707037,-0.00109291,-0.00109291,-0.00109291,0
7023,21963711,-0.01726629,-0.01726629,-0.00700562,-0.00700562,-0.00700562,-0.00104237,-0.00104237,-0.00104237,0
7102,22063671,-0.01708205,-0.01708205,-0.00692982,-0.00692982,-0.00692982,-0.00106144,-0.00106144,-0.00106144,0
7182,22163631,-0.01690294,-0.01690294,-0.00684609,-0.00684609,-0.00684609,-0.00189972,-0.00189972,-0.00189972,0
7265,22263591,-0.01672704,-0.01672704,-0.00670362,-0.00670362,-0.00670362,-0.0002737,-0.0002737,-0.0002737,0
7346,22363551,-0.01655252,-0.01655252,-0.00663129,-0.00663129,-0.00663129,-0.00170517,-0.00170517,-0.00170517,0
7426,22463511,-0.01638143,-0.01638143,-0.0065227,-0.0065227,-0.0065227,-0.00020885,-0.00020885,-0.00020885,0
7505,22563471,-0.01620822,-0.01620822,-0.00639284,-0.00639284,-0.00639284,-0.00118828,-0.00118828,-0.00118828,0
7584,22663431,-0.01604257,-0.01604257,-0.0062799,-0.0062799,-0.0062799,0.00001907,0.00001907,0.00001907,0
7665,22763391,-0.01587254,-0.01587254,-0.00615048,-0.00615048,-0.00615048,0.00007725,0.00007725,0.00007725,0
7744,22863351,-0.01573444,-0.01573444,-0.00604715,-0.00604715,-0.00604715,-0.00060081,-0.00060081,-0.00060081,0
7823,22963311,-0.01558573,-0.01558573,-0.00599115,-0.00599115,-0.00599115,-0.00002766,-0.00002766,-0.00002766,0
7903,23063271,-0.01543131,-0.01543131,-0.00590071,-0.00590071,-0.00590071,-0.00028896,-0.00028896,-0.00028896,0
7983,23164064,-0.01527303,-0.01527303,-0.00582557,-0.00582557,-0.00582557,0.00031853,0.00031853,0.00031853,0
8066,23264024,-0.01511132,-0.01511132,-0.00572989,-0.00572989,-0.00572989,0.00006676,0.00006676,0.00006676,0
8146,23363984,-0.01494822,-0.01494822,-0.00565484,-0.00565484,-0.00565484,-0.00070572,-0.00070572,-0.00070572,0
8225,23463944,-0.01478595,-0.01478595,-0.00552683,-0.00552683,-0.00552683,-0.00034142,-0.00034142,-0.00034142,0
8305,23563904,-0.0146204,-0.0146204,-0.00547829,-0.00547829,-0.00547829,-0.00140953,-0.00140953,-0.00140953,0
8384,23663864,-0.01445771,-0.01445771,-0.00541779,-0.00541779,-0.00541779,-0.00234604,-0.00234604,-0.00234604,0
8465,23763824,-0.01429893,-0.01429893,-0.00533517,-0.00533517,-0.00533517,-0.00057125,-0.00057125,-0.00057125,0
8544,23863784,-0.01414034,-0.01414034,-0.00522734,-0.00522734,-0.00522734,-0.0009594,-0.0009594,-0.0009594,0
8623,23963744,-0.01398336,-0.01398336,-0.00518646,-0.00518646,-0.00518646,-0.00145531,-0.00145531,-0.00145531,0
8703,24063704,-0.01383046,-0.01383046,-0.00512873,-0.00512873,-0.00512873,-0.00121307,-0.00121307,-0.00121307,0
8783,24163664,-0.01368039,-0.01368039,-0.00506937,-0.00506937,-0.00506937,-0.00139523,-0.00139523,-0.00139523,0
8866,24263624,-0.0135301,-0.0135301,-0.00492929,-0.00492929,-0.00492929,0.00013733,0.00013733,0.00013733,0
8946,24363584,-0.01338042,-0.01338042,-0.00488841,-0.00488841,-0.00488841,-0.00115776,-0.00115776,-0.00115776,0
9025,24463544,-0.01323169,-0.01323169,-0.00478644,-0.00478644,-0.00478644,-0.00101948,-0.00101948,-0.00101948,0
9105,24563504,-0.01308448,-0.01308448,-0.00473834,-0.00473834,-0.00473834,-0.0006218,-0.0006218,-0.0006218,0
9184,24663464,-0.01293865,-0.01293865,-0.00466081,-0.00466081,-0.00466081,-0.00033188,-0.00033188,-0.00033188,0
9265,24763424,-0.01279948,-0.01279948,-0.00464741,-0.00464741,-0.00464741,-0.00109005,-0.00109005,-0.00109005,0
9344,24863384,-0.01266349,-0.01266349,-0.00458785,-0.00458785,-0.00458785,-0.00069237,-0.00069237,-0.00069237,0
9424,24963344,-0.01252943,-0.01252943,-0.00456177,-0.00456177,-0.00456177,-0.00152492,-0.00152492,-0.00152492,0
9504,25063304,-0.01239667,-0.01239667,-0.00442934,-0.00442934,-0.00442934,0.00059032,0.00059032,0.00059032,0
9584,25163264,-0.01226206,-0.01226206,-0.00439112,-0.00439112,-0.00439112,-0.00028419,-0.00028419,-0.00028419,0
9667,25264057,-0.0121275,-0.0121275,-0.00433029,-0.00433029,-0.00433029,-0.00115776,-0.00115776,-0.00115776,0
9747,25364017,-0.01199628,-0.01199628,-0.00425711,-0.00425711,-0.00425711,0.00047016,0.00047016,0.00047016,0
9826,25463977,-0.01186302,-0.01186302,-0.00417097,-0.00417097,-0.00417097,-0.00054455,-0.00054455,-0.00054455,0
9906,25563937,-0.0117333,-0.0117333,-0.00411733,-0.00411733,-0.00411733,-0.0002203,-0.0002203,-0.0002203,0
9985,25663897,-0.01159807,-0.01159807,-0.00404113,-0.00404113,-0.00404113,-0.0009613,-0.0009613,-0.0009613,0
10066,25763857,-0.01146335,-0.01146335,-0.00394449,-0.00394449,-0.00394449,0.00041866,0.00041866,0.00041866,0
10145,25863817,-0.01132804,-0.01132804,-0.00389113,-0.00389113,-0.00389113,-0.00026226,-0.00026226,-0.00026226,0
10224,25963777,-0.01119112,-0.01119112,-0.00378869,-0.00378869,-0.00378869,-0.00029278,-0.00029278,-0.00029278,0
10304,26063737,-0.01105256,-0.01105256,-0.00371653,-0.00371653,-0.00371653,-0.00034809,-0.00034809,-0.00034809,0
10384,26163697,-0.01091383,-0.01091383,-0.00365164,-0.00365164,-0.00365164,-0.00019169,-0.00019169,-0.00019169,0
10467,26263657,-0.01077522,-0.01077522,-0.00359739,-0.00359739,-0.00359739,-0.00023174,-0.00023174,-0.00023174,0
10547,26363617,-0.01063768,-0.01063768,-0.0035195,-0.0035195,-0.0035195,0.00037098,0.00037098,0.00037098,0
10626,26463577,-0.01050017,-0.01050017,-0.00349873,-0.00349873,-0.00349873,-0.00079632,-0.00079632,-0.00079632,0
10706,26563537,-0.01036763,-0.01036763,-0.00347852,-0.00347852,-0.00347852,-0.00082397,-0.00082397,-0.00082397,0
10785,26663497,-0.01023619,-0.01023619,-0.00339973,-0.00339973,-0.00339973,0.00048923,0.00048923,0.00048923,0
10866,26763457,-0.01010583,-0.01010583,-0.00336478,-0.00336478,-0.00336478,-0.00071907,-0.00071907,-0.00071907,0
10945,26863417,-0.00997846,-0.00997846,-0.00329344,-0.00329344,-0.00329344,-0.00100803,-0.00100803,-0.00100803,0
11024,26963377,-0.00985042,-0.00985042,-0.00321989,-0.00321989,-0.00321989,-0.00011444,-0.00011444,-0.00011444,0
11104,27063337,-0.00971904,-0.00971904,-0.00312955,-0.00312955,-0.00312955,0.00123024,0.00123024,0.00123024,0
11184,27163297,-0.00958448,-0.00958448,-0.00306634,-0.00306634,-0.00306634,-0.00104713,-0.00104713,-0.00104713,0
11267,27264090,-0.00944839,-0.00944839,-0.00298183,-0.00298183,-0.00298183,0.00015736,0.00015736,0.00015736,0
11347,27364050,-0.00931015,-0.00931015,-0.00291938,-0.00291938,-0.00291938,-0.00056362,-0.00056362,-0.00056362,0
11426,27464010,-0.00916981,-0.00916981,-0.00280552,-0.00280552,-0.00280552,0.00034714,0.00034714,0.00034714,0
11506,27563970,-0.00902762,-0.00902762,-0.00272342,-0.00272342,-0.00272342,0.0004282,0.0004282,0.0004282,0
11585,27663930,-0.00888452,-0.00888452,-0.00267699,-0.00267699,-0.00267699,-0.00140953,-0.00140953,-0.00140953,0
11666,27763890,-0.00873861,-0.00873861,-0.00258874,-0.00258874,-0.00258874,-0.00038719,-0.00038719,-0.00038719,0
11745,27863850,-0.00859101,-0.00859101,-0.00249603,-0.00249603,-0.00249603,-0.00062656,-0.00062656,-0.00062656,0
11824,27963810,-0.00844396,-0.00844396,-0.0024548,-0.0024548,-0.0024548,-0.00038433,-0.00038433,-0.00038433,0
11904,28063770,-0.00830028,-0.00830028,-0.00242974,-0.00242974,-0.00242974,-0.00014114,-0.00014114,-0.00014114,0
11984,28163730,-0.00815867,-0.00815867,-0.00238058,-0.00238058,-0.00238058,0.00020409,0.00020409,0.00020409,0
12067,28263690,-0.00801827,-0.00801827,-0.00233347,-0.00233347,-0.00233347,-0.00019264,-0.00019264,-0.00019264,0
12147,28363650,-0.00787912,-0.00787912,-0.00227723,-0.00227723,-0.00227723,-0.00057125,-0.00057125,-0.00057125,0
12226,28463610,-0.00774285,-0.00774285,-0.00224877,-0.00224877,-0.00224877,-0.00030518,-0.00030518,-0.00030518,0
12306,28563570,-0.00760888,-0.00760888,-0.00220798,-0.00220798,-0.00220798,-0.0004797,-0.0004797,-0.0004797,0
12385,28663530,-0.00747501,-0.00747501,-0.00214077,-0.00214077,-0.00214077,-0.00011539,-0.00011539,-0.00011539,0
12466,28763490,-0.00734173,-0.00734173,-0.00208828,-0.00208828,-0.00208828,0.00002861,0.00002861,0.00002861,0
12545,28863450,-0.00720927,-0.00720927,-0.00203978,-0.00203978,-0.00203978,-0.0001955,-0.0001955,-0.0001955,0
12624,28963410,-0.00707748,-0.00707748,-0.00199475,-0.00199475,-0.00199475,0.00024223,0.00024223,0.00024223,0
12704,29063370,-0.00694909,-0.00694909,-0.0019624,-0.0019624,-0.0019624,0.00018311,0.00018311,0.00018311,0
12784,29163330,-0.00682194,-0.00682194,-0.0018854,-0.0018854,-0.0018854,0.00109577,0.00109577,0.00109577,0
12867,29263290,-0.0066935,-0.0066935,-0.00185194,-0.00185194,-0.00185194,0.00005436,0.00005436,0.00005436,0
12947,29364083,-0.00656576,-0.00656576,-0.00181927,-0.00181927,-0.00181927,-0.00140095,-0.00140095,-0.00140095,0
13026,29464043,-0.00644268,-0.00644268,-0.00181456,-0.00181456,-0.00181456,-0.00048256,-0.00048256,-0.00048256,0
13106,29564003,-0.00632426,-0.00632426,-0.00179866,-0.00179866,-0.00179866,-0.00073433,-0.00073433,-0.00073433,0
13185,29663963,-0.00620763,-0.00620763,-0.00171601,-0.00171601,-0.00171601,-0.00010395,-0.00010395,-0.00010395,0
13310,45963274,-0.00015068,-0.00015068,-0.00016817,-0.00016817,-0.00016817,0.00056362,0.00056362,0.00056362,0
13389,46064067,-0.00016033,-0.00016033,-0.00021007,-0.00021007,-0.00021007,-0.00146675,-0.00146675,-0.00146675,0
13473,46164027,-0.00017153,-0.00017153,-0.00021847,-0.00021847,-0.00021847,-0.00027084,-0.00027084,-0.00027084,0
13559,46263987,-0.00018403,-0.00018403,-0.00020042,-0.00020042,-0.00020042,0.00036716,0.00036716,0.00036716,0
13642,46363947,-0.00019415,-0.00019415,-0.00022773,-0.00022773,-0.00022773,-0.00034904,-0.00034904,-0.00034904,0
13728,46463907,-0.00021107,-0.00021107,-0.00028525,-0.00028525,-0.00028525,-0.00054455,-0.00054455,-0.00054455,0
13815,46563867,-0.00022794,-0.00022794,-0.00032285,-0.00032285,-0.00032285,-0.00077534,-0.00077534,-0.00077534,0
13900,46663827,-0.00025235,-0.00025235,-0.00035397,-0.00035397,-0.00035397,-0.00085163,-0.00085163,-0.00085163,0
13986,46763787,-0.0002726,-0.0002726,-0.00037724,-0.00037724,-0.00037724,-0.0002203,-0.0002203,-0.0002203,0
14071,46863747,-0.00029793,-0.00029793,-0.00039682,-0.00039682,-0.00039682,-0.00041103,-0.00041103,-0.00041103,0
14158,46963707,-0.00031604,-0.00031604,-0.000416,-0.000416,-0.000416,-0.00089264,-0.00089264,-0.00089264,0
14243,47063667,-0.00034256,-0.00034256,-0.00045277,-0.00045277,-0.00045277,-0.00026131,-0.00026131,-0.00026131,0
14329,47163627,-0.00036013,-0.00036013,-0.00044018,-0.00044018,-0.00044018,-0.00037193,-0.00037193,-0.00037193,0
14417,47263587,-0.00038306,-0.00038306,-0.00047223,-0.00047223,-0.00047223,-0.00121689,-0.00121689,-0.00121689,0
14502,47363547,-0.00039782,-0.00039782,-0.0004639,-0.0004639,-0.0004639,-0.00020218,-0.00020218,-0.00020218,0
14590,47463507,-0.0004152,-0.0004152,-0.00041812,-0.00041812,-0.00041812,0.00004292,0.00004292,0.00004292,0
14675,47563467,-0.00041976,-0.00041976,-0.0004189,-0.0004189,-0.0004189,-0.00012779,-0.00012779,-0.00012779,0
14760,47663427,-0.00043374,-0.00043374,-0.00042064,-0.00042064,-0.00042064,0.00018024,0.00018024,0.00018024,0
14846,47763387,-0.00043773,-0.00043773,-0.00039543,-0.00039543,-0.00039543,0.00032425,0.00032425,0.00032425,0
14931,47863347,-0.00044434,-0.00044434,-0.00034631,-0.00034631,-0.00034631,0.00036907,0.00036907,0.00036907,0
15019,47963307,-0.00044047,-0.00044047,-0.0003693,-0.0003693,-0.0003693,-0.00032806,-0.00032806,-0.00032806,0
15108,48063267,-0.00044558,-0.00044558,-0.00035057,-0.00035057,-0.00035057,0.00037193,0.00037193,0.00037193,0
15198,48164060,-0.00044188,-0.00044188,-0.00030874,-0.00030874,-0.00030874,-0.00049305,-0.00049305,-0.00049305,0
15290,48264020,-0.00044707,-0.00044707,-0.00037991,-0.00037991,-0.00037991,-0.00099277,-0.00099277,-0.00099277,0
15379,48363980,-0.00045331,-0.00045331,-0.00042218,-0.00042218,-0.00042218,-0.00057983,-0.00057983,-0.00057983,0
15472,48463940,-0.00053373,-0.00047105,-0.00007082,-0.0001335,-0.00043361,-0.00373813,-0.00212683,0.00117969,0
15561,48563900,-0.00060144,-0.0004799,-0.00190601,-0.00202755,-0.00044904,-0.04121734,-0.04485948,0.00027466,0
15650,48663860,-0.00109435,-0.00049658,-0.0095595,-0.01015727,-0.00045234,-0.122102,-0.1552708,0.0002203,0
15740,48763820,-0.00266376,-0.00050029,-0.02538409,-0.02754757,-0.00041265,-0.2156524,-0.3209789,-0.00019073,0
15829,48863780,-0.00596605,-0.00051412,-0.04898559,-0.05443753,-0.0004768,-0.3061191,-0.5307001,-0.00053883,0
15920,48963740,-0.0115207,-0.00051875,-0.0795244,-0.09052635,-0.00047521,-0.3934291,-0.7838964,-0.00087452,0
16009,49063700,-0.01971976,-0.00052959,-0.1162328,-0.135423,-0.00041934,-0.4777063,-1.078899,0.00034523,0
16099,49163660,-0.03084783,-0.00052532,-0.1584106,-0.1887331,-0.00041357,-0.5590696,-1.413691,-0.00070286,0
16191,49263620,-0.0450994,-0.00053385,-0.2054195,-0.249985,-0.00046655,-0.6376334,-1.785749,-0.00014782,0
16280,49363580,-0.06259362,-0.00053561,-0.2566778,-0.3187358,-0.00044642,-0.7135075,-2.193569,0.00020409,0
16372,49463540,-0.08338737,-0.00054973,-0.3116564,-0.394494,-0.00049678,-0.7867972,-2.634448,0.00005341,0
16461,49563500,-0.1074864,-0.00055356,-0.369874,-0.4768068,-0.00049999,-0.8576002,-3.106466,-0.00022984,0
16550,49663460,-0.1348536,-0.00056765,-0.430819,-0.5651049,-0.00048894,-0.9221357,-3.603176,0.00050354,0
16640,49763420,-0.1653976,-0.00056783,-0.4934517,-0.6582816,-0.00047372,-0.9686635,-4.108401,-0.00043392,0
16729,49863380,-0.1989423,-0.00104547,-0.5562567,-0.7541535,-0.02412911,-0.9927878,-4.55866,-0.6529083,0
16820,49963340,-0.2352286,-0.00795518,-0.6178989,-0.8451723,-0.1180198,-0.9996993,-4.643186,-0.9594278,0
16909,50063300,-0.2739532,-0.02461259,-0.6776766,-0.9270171,-0.2154947,-0.9999999,-4.581885,-0.925992,0
16999,50163260,-0.3148131,-0.04995512,-0.7355034,-1.000361,-0.3064306,-0.9999999,-4.493752,-0.8635072,0
17091,50264053,-0.3575971,-0.08400272,-0.7915387,-1.065133,-0.3900091,-0.9999999,-4.405242,-0.8102121,0
17180,50364013,-0.4023243,-0.1244588,-0.8461606,-1.124026,-0.5324945,-0.9999999,-4.214493,-3.264893,0
17272,50463973,-0.4495873,-0.2007912,-0.9002853,-1.149081,-1.03999,-0.9999999,-2.273456,-4.727391,0
17361,50563933,-0.5010459,-0.3195809,-0.9557357,-1.137201,-1.338971,-0.9999999,-0.3994419,-1.828599,0
17450,50663893,-0.5573471,-0.4546584,-1.012933,-1.115622,-1.395942,-0.9999999,0.2983965,-0.304841,0
17540,50763853,-0.6187187,-0.5784557,-1.07181,-1.112073,-1.351414,-0.9999999,0.2716728,0.5300484,0
17629,50863813,-0.685382,-0.7015134,-1.1323,-1.116168,-1.294735,-0.9999999,-0.01419197,0.45961,0
17720,50963773,-0.7575539,-0.824872,-1.194339,-1.127021,-1.264989,-0.9999999,-0.2569235,0.1497908,0
17810,51063733,-0.8354474,-0.9502872,-1.257869,-1.143029,-1.26493,-0.9999999,-0.3711684,-0.1196756,0
17900,51163693,-0.9192685,-1.081029,-1.322829,-1.161068,-1.284723,-0.9999999,-0.3828464,-0.196043,0
17992,51263653,-1.009218,-1.215316,-1.389163,-1.183065,-1.307554,-0.9999999,-0.3768533,-0.2441607,0
18081,51363613,-1.105491,-1.352849,-1.456818,-1.20946,-1.329586,-0.9999999,-0.3941368,-0.2468491,0
18173,51463573,-1.208276,-1.493096,-1.525743,-1.240922,-1.352977,-0.9999999,-0.4299495,-0.2552719,0
18262,51563533,-1.317757,-1.635888,-1.595886,-1.277755,-1.378031,-0.9999999,-0.479836,-0.2284851,0
18351,51663493,-1.43411,-1.781599,-1.667201,-1.319711,-1.40972,-0.9999999,-0.5392956,-0.3468208,0
18441,51763453,-1.557505,-1.930403,-1.739641,-1.366743,-1.443911,-0.9999999,-0.5959262,-0.3563328,0
18530,51863413,-1.688108,-2.083034,-1.813161,-1.418236,-1.484921,-0.9999999,-0.6487188,-0.3895931,0
18621,51963373,-1.826077,-2.239591,-1.887717,-1.474202,-1.529944,-0.9995133,-0.7013275,-0.4430647,0
18710,52063333,-1.971554,-2.40114,-1.96292,-1.533334,-1.581224,-0.9876199,-0.7325993,-0.4810591,0
18801,52163293,-2.124611,-2.567337,-2.037195,-1.594469,-1.634415,-0.9487618,-0.7378233,-0.5461807,0
18893,52264086,-2.285151,-2.739007,-2.108233,-1.654378,-1.687819,-0.8824464,-0.7047984,-0.5607748,0
18984,52364046,-2.452901,-2.915492,-2.174304,-1.711713,-1.739658,-0.8044434,-0.6515874,-0.4913568,0
19078,52464006,-2.627486,-3.097391,-2.23486,-1.764956,-1.790318,-0.7252699,-0.5897804,-0.541646,0
19167,52563966,-2.808489,-3.284846,-2.289676,-1.813319,-1.835135,-0.6452795,-0.5287531,-0.4195614,0
19256,52663926,-2.995455,-3.475369,-2.338536,-1.858622,-1.878847,-0.5645044,-0.461135,-0.4616852,0
19346,52763886,-3.187902,-3.66965,-2.381237,-1.899488,-1.918394,-0.4829744,-0.3862046,-0.3922405,0
19435,52863846,-3.385309,-3.867952,-2.41758,-1.934938,-1.951587,-0.4007205,-0.3133602,-0.3348932,0
19526,52963806,-3.587133,-4.069144,-2.44738,-1.965369,-1.980909,-0.31777,-0.2362084,-0.2643051,0
19615,53063766,-3.792794,-4.27345,-2.470456,-1.989799,-2.007021,-0.234151,-0.1521695,-0.2681398,0
19705,53163726,-4.001689,-4.479916,-2.486635,-2.008409,-2.025184,-0.1498897,-0.06437176,-0.1392822,0
19797,53263686,-4.213193,-4.688408,-2.495872,-2.020657,-2.039521,-0.07040265,0.02285994,-0.1030092,0
