LineNo,TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct,labels
16964,50163260,0,12.58798,12.58798,37.30694,6.894176,0.08678374,0,0,99,0
17054,50264053,0,12.58798,12.58798,39.96579,8.01323,0.1008704,0,0,99,0
17145,50364013,0,12.58798,12.58798,42.04301,9.180718,0.1155667,0,0,99,0
17235,50463973,0,12.58798,12.58798,29.82893,10.00904,0.1259935,0,0,99,0
17326,50563933,0,12.58798,12.60134,23.76344,10.66892,0.1343001,0,0.0005623,99,0
17415,50663893,0,12.58798,12.61471,26.00684,11.3911,0.1433909,0,0.00102773,99,0
17505,50763853,0,12.58798,12.61744,28.66569,12.18711,0.1534111,0,0.00102773,99,0
17594,50863813,0,12.58798,12.61786,29.08113,12.99467,0.1635766,0,0.00102773,99,0
17683,50963773,0,12.58798,12.61906,30.24438,13.83452,0.1741486,0,0.00102773,99,0
17774,51063733,0,12.58798,12.61863,29.82893,14.66284,0.1845754,0,0.00102773,99,0
17865,51163693,0,12.58798,12.61838,29.57967,15.48423,0.1949151,0,0.00102773,99,0
17955,51263653,0,12.58798,12.61846,29.66276,16.30793,0.2052839,0,0.00102773,99,0
18046,51363613,0,12.58798,12.61855,29.74585,17.13394,0.2156816,0,0.00102773,99,0
18136,51463573,0,12.58798,12.61872,29.91202,17.96457,0.2261375,0,0.00102773,99,0
18227,51563533,0,12.58798,12.61897,30.16129,18.80211,0.2366805,0,0.00102773,99,0
18316,51663493,0,12.58798,12.61906,30.24438,19.64196,0.2472526,0,0.00102773,99,0
18406,51763453,0,12.58798,12.6194,30.57673,20.49105,0.2579408,0,0.00102773,99,0
18495,51863413,0,12.58798,12.61966,30.826,21.34705,0.2687162,0,0.00102773,99,0
18584,51963373,0,12.58798,12.61974,30.90909,22.20536,0.2795206,0,0.00102773,99,0
18675,52063333,0,12.58798,12.61974,30.90909,23.06367,0.290325,0,0.00102773,99,0
18766,52163293,0,12.58798,12.62008,31.24145,23.93121,0.3012456,0,0.00102773,99,0
18856,52264086,0,12.58798,12.62008,31.24145,24.80598,0.3122571,0,0.00102773,99,0
18949,52364046,0,12.58798,12.62008,31.24145,25.67352,0.3231777,0,0.00102773,99,0
19041,52464006,0,12.58798,12.62,31.15836,26.53875,0.3340693,0,0.00102773,99,0
19132,52563966,0,12.58798,12.62008,31.24145,27.40629,0.3449898,0,0.00102773,99,0
19221,52663926,0,12.58798,12.62,31.15836,28.27153,0.3558814,0,0.00102773,99,0
19311,52763886,0,12.58798,12.61991,31.07527,29.13445,0.3667439,0,0.00102773,99,0
19400,52863846,0,12.58798,12.61983,30.99218,29.99507,0.3775773,0,0.00102773,99,0
19489,52963806,0,12.58798,12.61978,30.74291,30.84877,0.3883236,0,0.00103436,99,0
19580,53063766,0,12.58798,12.61985,30.65982,31.70016,0.3990409,0,0.00103968,99,0
19670,53163726,0,12.58798,12.6198,30.49364,32.54693,0.4097001,0,0.00104369,99,0
19760,53263686,0,12.58798,12.61972,30.32747,33.38909,0.4203012,0,0.00104663,99,0
19851,53363646,0,12.58798,12.6197,30.24438,34.22894,0.4308732,0,0.00104886,99,0
19941,53463606,0,12.58798,12.61976,30.24438,35.06879,0.4414453,0,0.00105072,99,0
20033,53563566,0,12.58798,12.6198,30.24438,35.90865,0.4520173,0,0.00105226,99,0
20122,53663526,0,12.58798,12.61984,30.24438,36.7485,0.4625894,0,0.00105355,99,0
20212,53763486,0,12.58798,12.61987,30.24438,37.58835,0.4731614,0,0.00105462,99,0
20301,53863446,0,12.58798,12.62,30.32747,38.43051,0.4837625,0,0.00105572,99,0
20390,53963406,0,12.58798,12.61993,30.24438,39.27036,0.4943345,0,0.00105643,99,0
20481,54063366,0,12.58798,12.62004,30.32747,40.11252,0.5049356,0,0.00105723,99,0
20571,54163326,0,12.58798,12.62006,30.32747,40.95468,0.5155367,0,0.00105789,99,0
20661,54263286,0,12.58798,12.62008,30.32747,41.79684,0.5261378,0,0.00105844,99,0
20752,54364079,0,12.58798,12.62009,30.32747,42.64602,0.5368273,0,0.0010589,98,0
20842,54464039,0,12.58798,12.62018,30.41056,43.49048,0.5474574,0,0.0010589,98,0
20934,54563999,0,12.58798,12.62027,30.49364,44.33726,0.5581166,0,0.0010589,98,0
21023,54663959,0,12.58798,12.62027,30.49364,45.18403,0.5687757,0,0.0010589,98,0
21112,54763919,0,12.58798,12.62027,30.49364,46.03081,0.5794349,0,0.0010589,98,0
21202,54863879,0,12.58798,12.62027,30.49364,46.87758,0.590094,0,0.0010589,98,0
21291,54963839,0,12.58798,12.62027,30.49364,47.72436,0.6007532,0,0.0010589,98,0
21382,55063799,0,12.58798,12.62036,30.57673,48.57344,0.6114414,0,0.0010589,98,0
21472,55163759,0,12.58798,12.62044,30.65982,49.42483,0.6221587,0,0.0010589,98,0
21561,55263719,0,12.58798,12.62036,30.57673,50.27391,0.632847,0,0.0010589,98,0
21653,55363679,0,12.58798,12.62027,30.49364,51.12069,0.6435061,0,0.00105895,98,0
21743,55463639,0,12.58798,12.62036,30.57673,51.96977,0.6541944,0,0.00105895,98,0
21835,55563599,0,12.58798,12.62044,30.65982,52.82116,0.6649116,0,0.00105895,98,0
21924,55663559,0,12.58798,12.62036,30.57673,53.67025,0.6755999,0,0.00105895,98,0
22013,55763519,0,12.58798,12.62044,30.65982,54.52164,0.6863171,0,0.00105895,98,0
22103,55863479,0,12.58798,12.62044,30.65982,55.37303,0.6970344,0,0.00105895,98,0
22192,55963439,0,12.58798,12.62036,30.57673,56.22211,0.7077227,0,0.00105896,98,0
22283,56063399,0,12.58798,12.62036,30.57673,57.07119,0.7184109,0,0.00105897,98,0
22373,56163359,0,12.58798,12.62036,30.57673,57.92028,0.7290992,0,0.00105898,98,0
22463,56263319,0,12.58798,12.62045,30.65982,58.77167,0.7398164,0,0.00105898,98,0
22555,56363279,0,12.58798,12.62036,30.57673,59.62075,0.7505047,0,0.00105895,98,0
22646,56464072,0,12.58798,12.62044,30.65982,60.47923,0.7613112,0,0.00105895,98,0
22737,56564032,0,12.58798,12.62044,30.65982,61.33062,0.7720285,0,0.00105895,98,0
22826,56663992,0,12.58798,12.62044,30.65982,62.18201,0.7827458,0,0.00105895,98,0
22915,56763952,0,12.58798,12.62035,30.57673,63.0311,0.793434,0,0.00105885,98,0
23005,56863912,0,12.58798,12.62035,30.57673,63.88018,0.8041223,0,0.00105877,98,0
23094,56963872,0,12.58798,12.62035,30.57673,64.72926,0.8148105,0,0.0010587,98,0
23185,57063832,0,12.58798,12.62052,30.74291,65.58296,0.8255568,0,0.0010587,98,0
23275,57163792,0,12.58798,12.62035,30.57673,66.43204,0.8362451,0,0.00105858,98,0
23364,57263752,0,12.58798,12.62043,30.65982,67.28343,0.8469623,0,0.00105858,98,0
23456,57363712,0,12.58798,12.62034,30.57673,68.13251,0.8576506,0,0.00105846,98,0
23547,57463672,0,12.58798,12.62034,30.57673,68.9816,0.8683388,0,0.00105837,98,0
23638,57563632,0,12.58798,12.62034,30.57673,69.83068,0.8790271,0,0.00105829,98,0
23727,57663592,0,12.58798,12.6206,30.826,70.68668,0.8898024,0,0.00105829,98,0
23816,57763552,0,12.58798,12.62042,30.65982,71.53807,0.9005197,0,0.00105829,98,0
23906,57863512,0,12.58798,12.62042,30.65982,72.38946,0.9112369,0,0.00105829,98,0
23995,57963472,0,12.58798,12.62042,30.65982,73.24084,0.9219542,0,0.00105829,98,0
24086,58063432,0,12.58798,12.62033,30.57673,74.08993,0.9326425,0,0.00105811,98,0
24176,58163392,0,12.58798,12.62033,30.57673,74.93901,0.9433307,0,0.00105797,98,0
24265,58263352,0,12.58798,12.62013,30.41056,75.78348,0.9539608,0,0.00105743,98,0
24357,58363312,0,12.58798,12.61993,30.24438,76.62333,0.9645329,0,0.00105656,98,0
24448,58463272,0,12.58798,12.61953,29.91202,77.45395,0.9749888,0,0.001055,98,0
24539,58564065,0,12.58798,12.61912,29.57967,78.28219,0.9854146,0,0.00105287,98,0
24628,58664025,0,12.58798,12.6187,29.24731,79.09435,0.9956381,0,0.00105028,98,0
24717,58763985,0,12.58798,12.61817,28.83187,79.89498,1.005716,0,0.00104708,98,0
24807,58863945,0,12.58798,12.61763,28.41642,80.68407,1.01565,0,0.00104338,98,0
24896,58963905,0,12.58798,12.61708,28.00098,81.46163,1.025437,0,0.00103928,98,0
24987,59063865,0,12.58798,12.61652,27.58553,82.22765,1.03508,0,0.00103485,98,0
25077,59163825,0,12.58798,12.61597,27.17009,82.98214,1.044577,0,0.00103015,98,0
25166,59263785,0,12.58798,12.61541,26.75464,83.72509,1.05393,0,0.00102524,98,0
25258,59363745,0,12.58798,12.61512,26.58846,84.46342,1.063224,0,0.00102076,97,0
25349,59463705,0,12.58798,12.61484,26.42229,85.19714,1.07246,0,0.00101664,97,0
25440,59563665,0,12.58798,12.61466,26.3392,85.92855,1.081667,0,0.00101301,97,0
25529,59663625,0,12.58798,12.61449,26.25611,86.65765,1.090845,0,0.00100981,97,0
25618,59763585,0,12.58798,12.61442,26.25611,87.38676,1.100023,0,0.00100714,97,0
25708,59863545,0,12.58798,12.6141,26.00684,88.10894,1.109113,0,0.00100433,97,0
25797,59963505,0,12.58798,12.61395,25.92375,88.82881,1.118175,0,0.0010018,97,0
25888,60063465,0,12.58798,12.61389,25.92375,89.54868,1.127237,0,0.0009997,97,0
25978,60163425,0,12.58798,12.61376,25.84066,90.26625,1.13627,0,0.00099775,97,0
26067,60263385,0,12.58798,12.61363,25.75758,90.98151,1.145273,0,0.00099593,97,0
26159,60363345,0,12.58798,12.61368,25.84066,91.69907,1.154306,0,0.00099462,97,0
26249,60463305,0,12.58798,12.61356,25.75758,92.41433,1.16331,0,0.00099333,97,0
26342,60563265,0,12.58798,12.61431,26.50537,93.15035,1.172575,0,0.00099333,97,0
26431,60664058,0,12.58798,12.61505,27.25318,93.91345,1.182181,0,0.00099333,97,0
26520,60764018,0,12.58798,12.61497,27.17009,94.66794,1.191678,0,0.00099333,97,0
26610,60863978,0,12.58798,12.61488,27.087,95.42011,1.201146,0,0.00099333,97,0
26699,60963938,0,12.58798,12.61497,27.17009,96.1746,1.210644,0,0.00099333,97,0
26790,61063898,0,12.58798,12.61488,27.087,96.92677,1.220112,0,0.00099333,97,0
26880,61163858,0,12.58798,12.61513,27.33627,97.68587,1.229668,0,0.00099333,97,0
26969,61263818,0,12.58798,12.61505,27.25318,98.44266,1.239194,0,0.00099333,97,0
27064,61363778,0,12.58798,12.61546,27.66862,99.21098,1.248866,0,0.00099333,97,0
27154,61463738,0,12.58798,12.61521,27.41936,99.97239,1.25845,0,0.00099333,97,0
27245,61563698,0,12.58798,12.6153,27.50244,100.7361,1.268064,0,0.00099333,97,0
27334,61663658,0,12.58798,12.61546,27.66862,101.5044,1.277736,0,0.00099333,97,0
27423,61763618,0,12.58798,12.61546,27.66862,102.2728,1.287407,0,0.00099333,97,0
27513,61863578,0,12.58798,12.61563,27.8348,103.0457,1.297137,0,0.00099333,97,0
27602,61963538,0,12.58798,12.61571,27.91789,103.8209,1.306896,0,0.00099333,97,0
27693,62063498,0,12.58798,12.61587,28.08407,104.6008,1.316713,0,0.00099333,97,0
27782,62163458,0,12.58798,12.61579,28.00098,105.3784,1.326501,0,0.00099333,97,0
27872,62263418,0,12.58798,12.61579,28.00098,106.1559,1.336288,0,0.00099333,97,0
27965,62363378,0,12.58798,12.61596,28.16715,106.9381,1.346134,0,0.00099333,97,0
28055,62463338,0,12.58798,12.61596,28.16715,107.7203,1.35598,0,0.00099333,97,0
28146,62563298,0,12.58798,12.61596,28.16715,108.5024,1.365826,0,0.00099333,97,0
28235,62664091,0,12.58798,12.61587,28.08407,109.2888,1.375725,0,0.00099333,97,0
28324,62764051,0,12.58798,12.61579,28.00098,110.0664,1.385513,0,0.00099333,97,0
28414,62864011,0,12.58798,12.61553,27.75171,110.837,1.395214,0,0.00099286,97,0
28503,62963971,0,12.58798,12.61586,28.08407,111.6169,1.40503,0,0.00099286,97,0
28594,63063931,0,12.58798,12.61603,28.25024,112.4013,1.414905,0,0.00099286,97,0
28683,63163891,0,12.58798,12.61569,27.91789,113.1766,1.424664,0,0.00099268,97,0
28773,63263851,0,12.58798,12.61542,27.66862,113.9449,1.434336,0,0.00099194,97,0
28865,63363811,0,12.58798,12.61523,27.50244,114.7086,1.44395,0,0.00099094,97,0
28955,63463771,0,12.58798,12.61589,28.16715,115.4908,1.453796,0,0.00099094,97,0
29046,63563731,0,12.58798,12.61605,28.33333,116.2776,1.4637,0,0.00099094,97,0
29135,63663691,0,12.58798,12.61581,28.08407,117.0574,1.473516,0,0.00099094,97,0
29224,63763651,0,12.58798,12.61581,28.08407,117.8373,1.483333,0,0.00099094,97,0
29314,63863611,0,12.58798,12.61581,28.08407,118.6172,1.49315,0,0.00099094,97,0
29403,63963571,0,12.58798,12.61589,28.16715,119.3993,1.502996,0,0.00099094,97,0
29494,64063531,0,12.58798,12.61589,28.16715,120.1815,1.512842,0,0.00099094,97,0
29583,64163491,0,12.58798,12.61581,28.08407,120.9614,1.522659,0,0.00099094,97,0
29673,64263451,0,12.58798,12.61581,28.08407,121.7412,1.532476,0,0.00099094,97,0
29765,64363411,0,12.58798,12.61589,28.16715,122.5234,1.542322,0,0.00099094,97,0
29855,64463371,0,12.58798,12.61597,28.25024,123.3079,1.552197,0,0.00099094,97,0
29946,64563331,0,12.58798,12.61589,28.16715,124.09,1.562043,0,0.00099094,97,0
30035,64663291,0,12.58798,12.6158,28.08407,124.8699,1.57186,0,0.00099085,97,0
30124,64764084,0,12.58798,12.61597,28.25024,125.6609,1.581817,0,0.00099085,97,0
30214,64864044,0,12.58798,12.6158,28.08407,126.4408,1.591634,0,0.00099072,96,0
30303,64964004,0,12.58798,12.61588,28.16715,127.223,1.60148,0,0.00099072,96,0
30394,65063964,0,12.58798,12.6158,28.08407,128.0028,1.611297,0,0.0009906,96,0
30483,65163924,0,12.58798,12.61588,28.16715,128.785,1.621143,0,0.0009906,96,0
30573,65263884,0,12.58798,12.61588,28.16715,129.5672,1.630989,0,0.0009906,96,0
30665,65363844,0,12.58798,12.61588,28.16715,130.3493,1.640835,0,0.0009906,96,0
30755,65463804,0,12.58798,12.61588,28.16715,131.1315,1.650681,0,0.0009906,96,0
30846,65563764,0,12.58798,12.61588,28.16715,131.9137,1.660527,0,0.0009906,96,0
30935,65663724,0,12.58798,12.61588,28.16715,132.6958,1.670373,0,0.0009906,96,0
31024,65763684,0,12.58798,12.61588,28.16715,133.478,1.680219,0,0.0009906,96,0
31114,65863644,0,12.58798,12.61579,28.08407,134.2578,1.690035,0,0.00099043,96,0
31203,65963604,0,12.58798,12.61579,28.08407,135.0377,1.699852,0,0.00099029,96,0
31294,66063564,0,12.58798,12.61587,28.16715,135.8199,1.709698,0,0.00099029,96,0
31383,66163524,0,12.58798,12.61587,28.16715,136.602,1.719544,0,0.00099029,96,0
31473,66263484,0,12.58798,12.61587,28.16715,137.3842,1.72939,0,0.00099029,96,0
31564,66363444,0,12.58798,12.61587,28.16715,138.1664,1.739236,0,0.00099029,96,0
31656,66463404,0,12.58798,12.61595,28.25024,138.9509,1.749111,0,0.00099029,96,0
31747,66563364,0,12.58798,12.61595,28.25024,139.7353,1.758986,0,0.00099029,96,0
31836,66663324,0,12.58798,12.61578,28.08407,140.5152,1.768803,0,0.00099006,96,0
31925,66763284,0,12.58798,12.61586,28.16715,141.2974,1.778649,0,0.00099006,96,0
32014,66864077,0,12.58798,12.61586,28.16715,142.0861,1.788577,0,0.00099006,96,0
32104,66964037,0,12.58798,12.61578,28.08407,142.8659,1.798394,0,0.00098987,96,0
32195,67063997,0,12.58798,12.61586,28.16715,143.6481,1.80824,0,0.00098987,96,0
32284,67163957,0,12.58798,12.61577,28.08407,144.4279,1.818057,0,0.00098971,96,0
32374,67263917,0,12.58798,12.61585,28.16715,145.2101,1.827903,0,0.00098971,96,0
32465,67363877,0,12.58798,12.61577,28.08407,145.99,1.83772,0,0.00098956,96,0
32556,67463837,0,12.58798,12.61576,28.08407,146.7698,1.847536,0,0.00098944,96,0
32647,67563797,0,12.58798,12.61576,28.08407,147.5497,1.857353,0,0.00098934,96,0
