LineNo,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF,lables
4841,19263958,0,0.03,0,0.01,3.6,3.6,0,0,3,0
4923,19363918,0,0.03,0,0.01,3.58,3.58,0,0,3,0
5003,19463878,0,0.03,0,0.01,3.57,3.57,0,0,3,0
5082,19563838,0,0.03,0,0.01,3.56,3.56,0,0,3,0
5161,19663798,0,0.03,0,0.01,3.55,3.55,0,0,3,0
5240,19763758,0,0.03,0,0.01,3.54,3.54,0,0,3,0
5321,19863718,0,0.03,0,0.01,3.53,3.53,0,0,3,0
5402,19963678,0,0.03,0,0.01,3.52,3.52,0,0,3,0
5482,20063638,0,0.03,0,0.01,3.51,3.51,0,0,3,0
5561,20163598,0,0.03,0,0.01,3.5,3.5,0,0,3,0
5642,20263558,0,0.03,0,0.01,3.49,3.49,0,0,3,0
5724,20363518,0,0.03,0,0.01,3.48,3.48,0,0,3,0
5804,20463478,0,0.03,0,0.01,3.47,3.47,0,0,3,0
5883,20563438,0,0.03,0,0.01,3.45,3.45,0,0,3,0
5962,20663398,0,0.03,0,0.01,3.44,3.44,0,0,3,0
6041,20763358,0,0.03,0,0.02,3.43,3.43,0,0,3,0
6122,20863318,0,0.03,0,0.02,3.42,3.42,0,0,3,0
6202,20963278,0,0.03,0,0.02,3.41,3.41,0,0,3,0
6282,21064071,0,0.03,0,0.02,3.4,3.4,0,0,3,0
6361,21164031,0,0.03,0,0.02,3.38,3.38,0,0,3,0
6442,21263991,0,0.03,0,0.02,3.37,3.37,0,0,3,0
6524,21363951,0,0.03,0,0.02,3.36,3.36,0,0,3,0
6604,21463911,0,0.03,0,0.02,3.35,3.35,0,0,3,0
6683,21563871,0,0.03,0,0.02,3.34,3.34,0,0,3,0
6762,21663831,0,0.03,0,0.02,3.32,3.32,0,0,3,0
6841,21763791,0,0.03,0,0.02,3.31,3.31,0,0,3,0
6922,21863751,0,0.03,0,0.02,3.3,3.3,0,0,3,0
7002,21963711,0,0.03,0,0.02,3.29,3.29,0,0,3,0
7081,22063671,0,0.04,0,0.02,3.28,3.28,0,0,3,0
7161,22163631,0,0.04,0,0.02,3.26,3.26,0,0,3,0
7242,22263591,0,0.04,0,0.02,3.25,3.25,0,0,3,0
7325,22363551,0,0.04,0,0.02,3.24,3.24,0,0,3,0
7405,22463511,0,0.04,0,0.02,3.23,3.23,0,0,3,0
7484,22563471,0,0.04,0,0.02,3.21,3.21,0,0,3,0
7563,22663431,0,0.04,0,0.02,3.2,3.2,0,0,3,0
7642,22763391,0,0.04,0,0.02,3.19,3.19,0,0,3,0
7723,22863351,0,0.04,0,0.02,3.18,3.18,0,0,3,0
7802,22963311,0,0.04,0,0.02,3.16,3.16,0,0,3,0
7882,23063271,0,0.04,0,0.02,3.15,3.15,0,0,3,0
7962,23164064,0,0.04,0,0.02,3.14,3.14,0,0,3,0
8043,23264024,0,0.04,0,0.02,3.13,3.13,0,0,3,0
8125,23363984,0,0.04,0,0.02,3.12,3.12,0,0,3,0
8204,23463944,0,0.04,0,0.02,3.11,3.11,0,0,3,0
8284,23563904,0,0.04,0,0.02,3.09,3.09,0,0,3,0
8363,23663864,0,0.04,0,0.02,3.08,3.08,0,0,3,0
8442,23763824,0,0.04,0,0.02,3.07,3.07,0,0,3,0
8523,23863784,0,0.04,0,0.02,3.06,3.06,0,0,3,0
8602,23963744,0,0.04,0,0.02,3.05,3.05,0,0,3,0
8682,24063704,0,0.04,0,0.02,3.03,3.03,0,0,3,0
8762,24163664,0,0.04,0,0.02,3.02,3.02,0,0,3,0
8843,24263624,0,0.04,0,0.02,3.01,3.01,0,0,3,0
8925,24363584,0,0.04,0,0.03,3,3,0,0,3,0
9004,24463544,0,0.04,0,0.03,2.99,2.99,0,0,3,0
9084,24563504,0,0.04,0,0.03,2.98,2.98,0,0,3,0
9163,24663464,0,0.04,0,0.03,2.96,2.96,0,0,3,0
9242,24763424,0,0.04,0,0.03,2.95,2.95,0,0,3,0
9323,24863384,0,0.04,0,0.03,2.94,2.94,0,0,3,0
9402,24963344,0,0.04,0,0.03,2.93,2.93,0,0,3,0
9483,25063304,0,0.04,0,0.03,2.92,2.92,0,0,3,0
9563,25163264,0,0.04,0,0.03,2.91,2.91,0,0,3,0
9644,25264057,0,0.04,0,0.03,2.9,2.9,0,0,3,0
9726,25364017,0,0.04,0,0.03,2.88,2.88,0,0,3,0
9805,25463977,0,0.04,0,0.03,2.87,2.87,0,0,3,0
9885,25563937,0,0.04,0,0.03,2.86,2.86,0,0,3,0
9964,25663897,0,0.04,0,0.03,2.85,2.85,0,0,3,0
10043,25763857,0,0.04,0,0.03,2.84,2.84,0,0,3,0
10124,25863817,0,0.04,0,0.03,2.83,2.83,0,0,3,0
10203,25963777,0,0.05,0,0.03,2.82,2.82,0,0,3,0
10283,26063737,0,0.05,0,0.03,2.81,2.81,0,0,3,0
10363,26163697,0,0.05,0,0.03,2.8,2.8,0,0,3,0
10444,26263657,0,0.05,0,0.03,2.79,2.79,0,0,3,0
10526,26363617,0,0.05,0,0.03,2.78,2.78,0,0,3,0
10605,26463577,0,0.05,0,0.03,2.76,2.76,0,0,3,0
10685,26563537,0,0.05,0,0.03,2.75,2.75,0,0,3,0
10764,26663497,0,0.05,0,0.03,2.74,2.74,0,0,3,0
10843,26763457,0,0.05,0,0.03,2.73,2.73,0,0,3,0
10924,26863417,0,0.05,0,0.03,2.72,2.72,0,0,3,0
11003,26963377,0,0.05,0,0.03,2.71,2.71,0,0,3,0
11083,27063337,0,0.05,0,0.03,2.7,2.7,0,0,3,0
11163,27163297,0,0.05,0,0.03,2.69,2.69,0,0,3,0
11244,27264090,0,0.05,0,0.03,2.68,2.68,0,0,3,0
11326,27364050,0,0.05,0,0.03,2.67,2.67,0,0,3,0
11405,27464010,0,0.05,0,0.03,2.66,2.66,0,0,3,0
11485,27563970,0,0.05,0,0.03,2.65,2.65,0,0,3,0
11564,27663930,0,0.05,0,0.03,2.64,2.64,0,0,3,0
11643,27763890,0,0.05,0,0.03,2.63,2.63,0,0,3,0
11724,27863850,0,0.05,0,0.03,2.62,2.62,0,0,3,0
11803,27963810,0,0.05,0,0.03,2.61,2.61,0,0,3,0
11883,28063770,0,0.05,0,0.03,2.6,2.6,0,0,3,0
11963,28163730,0,0.05,0,0.03,2.59,2.59,0,0,3,0
12044,28263690,0,0.05,0,0.04,2.58,2.58,0,0,3,0
12126,28363650,0,0.05,0,0.04,2.57,2.57,0,0,3,0
12205,28463610,0,0.05,0,0.04,2.57,2.57,0,0,3,0
12285,28563570,0,0.05,0,0.04,2.56,2.56,0,0,3,0
12364,28663530,0,0.05,0,0.04,2.55,2.55,0,0,3,0
12443,28763490,0,0.05,0,0.04,2.54,2.54,0,0,3,0
12524,28863450,0,0.05,0,0.04,2.53,2.53,0,0,3,0
12603,28963410,0,0.05,0,0.04,2.52,2.52,0,0,3,0
12683,29063370,0,0.05,0,0.04,2.51,2.51,0,0,3,0
12763,29163330,0,0.05,0,0.04,2.5,2.5,0,0,3,0
12844,29263290,0,0.05,0,0.04,2.49,2.49,0,0,3,0
12926,29364083,0,0.05,0,0.04,2.48,2.48,0,0,3,0
13005,29464043,0,0.05,0,0.04,2.47,2.47,0,0,3,0
13085,29564003,0,0.05,0,0.04,2.46,2.46,0,0,3,0
13164,29663963,0,0.05,0,0.04,2.46,2.46,0,0,3,0
13286,45963274,0,0.08,0,0.07,1.5,1.5,0,0,3,0
13368,46064067,0,0.08,0,0.07,1.5,1.5,0,0,3,0
13448,46164027,0,0.08,0,0.06,1.49,1.49,0,0,3,0
13534,46263987,0,0.07,0,0.06,1.49,1.49,0,0,3,0
13617,46363947,0,0.07,0,0.06,1.49,1.49,0,0,3,0
13701,46463907,0,0.07,0,0.06,1.48,1.48,0,0,3,0
13788,46563867,0,0.07,0,0.06,1.48,1.48,0,0,3,0
13873,46663827,0,0.07,0,0.06,1.48,1.48,0,0,3,0
13959,46763787,0,0.07,0,0.06,1.47,1.47,0,0,3,0
14044,46863747,0,0.07,0,0.06,1.47,1.47,0,0,3,0
14129,46963707,0,0.07,0,0.06,1.47,1.47,0,0,3,0
14216,47063667,0,0.07,0,0.06,1.46,1.46,0,0,3,0
14302,47163627,0,0.07,0,0.06,1.46,1.46,0,0,3,0
14390,47263587,0,0.07,0,0.06,1.46,1.46,0,0,3,0
14475,47363547,0,0.07,0,0.06,1.45,1.45,0,0,3,0
14561,47463507,0,0.08,0,0.06,1.45,1.45,0,0,3,0
14648,47563467,0,0.08,0,0.07,1.45,1.45,0,0,3,0
14733,47663427,0,0.08,0,0.07,1.44,1.44,0,0,3,0
14819,47763387,0,0.08,0,0.07,1.44,1.44,0,0,3,0
14904,47863347,0,0.08,0,0.07,1.44,1.44,0,0,3,0
14990,47963307,0,0.08,0,0.07,1.43,1.43,0,0,3,0
15081,48063267,0,0.08,0,0.07,1.43,1.43,0,0,3,0
15171,48164060,0,0.08,0,0.07,1.43,1.43,0,0,3,0
15263,48264020,0,0.09,0,0.08,1.42,1.42,0,0,3,0
15352,48363980,0,0.09,0,0.08,1.42,1.42,0,0,3,0
15443,48463940,0,0.09,0,0.08,1.42,1.42,0,0,3,0
15534,48563900,0.01,0.09,0.01,0.08,1.42,1.41,0,0,3,0
15623,48663860,0.02,0.09,0.02,0.08,1.42,1.41,0,0,3,0
15713,48763820,0.02,0.09,0.02,0.08,1.42,1.41,0,0,3,0
15802,48863780,0.02,0.1,0.02,0.08,1.42,1.4,0,0,3,0
15891,48963740,0.02,0.1,0.02,0.09,1.42,1.4,0,0,3,0
15982,49063700,0.02,0.1,0.02,0.09,1.42,1.4,0,0,3,0
16072,49163660,0.02,0.1,0.02,0.09,1.42,1.39,0,0,3,0
16164,49263620,0.01,0.1,0.01,0.09,1.42,1.39,0,0,3,0
16253,49363580,0,0.1,0,0.09,1.42,1.39,0,0,3,0
16343,49463540,0,0.11,0,0.09,1.42,1.38,0,0,3,0
16434,49563500,0.01,0.11,0,0.1,1.42,1.38,0,0,3,0
16523,49663460,0.01,0.11,0,0.1,1.42,1.38,0,0,3,0
16613,49763420,0.01,0.11,0,0.1,1.42,1.37,0,0,3,0
16702,49863380,-0.02,0.11,-0.03,0.1,1.42,1.37,0,0,3,0
16791,49963340,-0.06,0.11,-0.05,0.1,1.42,1.37,0,0,3,0
16882,50063300,-0.07,0.12,-0.04,0.1,1.42,1.36,0,0,3,0
16972,50163260,-0.09,0.12,-0.06,0.11,1.42,1.36,0,0,3,0
17064,50264053,-0.08,0.12,-0.09,0.11,1.42,1.35,0,0,3,0
17153,50364013,-0.07,0.09,-0.13,0.03,1.42,1.35,0,0,3,0
17243,50463973,-0.11,-0.04,-0.15,-0.06,1.42,1.35,0,0,3,0
17334,50563933,-0.07,-0.48,-0.09,-0.02,1.42,1.35,0,0,3,0
17423,50663893,0,0.48,-0.02,-1.77,1.42,1.28,0,0,3,0
17513,50763853,0.05,-1.29,0.11,1.05,1.42,1.08,0,0,3,0
17602,50863813,0.23,0.46,0.23,-1.55,1.42,0.9,0,0,3,0
17691,50963773,0.34,-0.6,0.3,1.71,1.42,0.7,0,0,3,0
17782,51063733,0.42,0.85,0.3,-1.56,1.42,0.55,0,0.01,3,0
17873,51163693,0.3,0.26,0.31,1.82,1.42,0.47,0,0.01,3,0
17965,51263653,0.25,0.2,0.31,-1.37,1.42,0.4,0,0.01,3,0
18054,51363613,0.24,-0.25,0.32,1.88,1.42,0.37,0,0.02,3,0
18144,51463573,0.34,0.15,0.3,-1.56,1.42,0.39,0,0.02,3,0
18235,51563533,0.38,-0.07,0.33,1.92,1.42,0.44,0,0.02,3,0
18324,51663493,0.38,0.78,0.33,-1.44,1.42,0.5,0,0.02,3,0
18414,51763453,0.3,-0.17,0.36,1.94,1.42,0.6,0,0.02,3,0
18503,51863413,0.26,0.57,0.32,-1.39,1.42,0.68,0,0.02,3,0
18592,51963373,0.25,-0.24,0.3,2.04,1.42,0.78,0,0.02,3,0
18683,52063333,0.28,0.55,0.27,-1.39,1.42,0.84,0,0.03,3,0
18774,52163293,0.27,-0.17,0.23,1.89,1.42,0.9,0,0.03,3,0
18866,52264086,0.29,0.35,0.22,-1.66,1.42,0.92,0,0.03,3,0
18957,52364046,0.26,-0.21,0.28,2.21,1.42,0.9,0,0.03,3,0
19049,52464006,0.87,0.78,0.26,-1.39,3.81,3.24,0,0.03,3,0
19140,52563966,0.56,-0.4,0.12,1.91,3.8,2.88,0,0.03,3,0
19229,52663926,0.46,0.58,0.08,-1.76,3.8,2.01,0,0.03,3,0
19319,52763886,0.39,-0.29,0.11,1.83,3.8,1.46,0,0.03,3,0
19408,52863846,0.33,0.59,0.12,-1.71,3.8,1.02,0,0.03,3,0
19497,52963806,0.27,-0.26,0.16,1.91,3.8,0.98,0,0.03,3,0
19588,53063766,0.32,0.39,0.17,-1.59,3.8,1.15,0,0.03,3,0
19678,53163726,0.35,0.37,0.2,1.83,3.8,1.64,0,0.03,3,0
19770,53263686,0.33,0.24,0.16,-1.46,3.8,2.18,0,0.03,3,0
19859,53363646,0.3,0.59,0.14,1.86,3.8,2.85,0,0.03,3,0
19949,53463606,0.37,-0.1,0.13,-1.65,3.8,3.42,0,0.04,3,0
20041,53563566,0.38,0.6,0.13,1.86,3.8,3.98,0,0.04,3,0
20130,53663526,0.35,0.44,0.16,-1.74,3.8,4.34,0,0.04,3,0
20220,53763486,0.3,0.13,0.2,1.99,3.8,4.62,0,0.04,3,0
20309,53863446,0.35,0.4,0.17,-1.41,3.8,4.7,0,0.04,3,0
20398,53963406,0.33,0.07,0.12,2.1,3.8,4.68,0,0.03,3,0
20489,54063366,0.4,0.42,0.01,-1.53,3.8,4.49,0,0.03,3,0
20579,54163326,0.39,0.33,-0.06,1.89,3.8,4.27,0,0.03,3,0
20671,54263286,0.4,0.43,-0.08,-1.79,3.8,3.92,0,0.03,3,0
20760,54364079,0.37,0.66,-0.01,1.94,3.8,3.6,0,0.03,3,0
20850,54464039,0.31,0.63,-0.03,-1.5,3.8,3.19,0,0.04,3,0
20942,54563999,0.19,0.23,-0.09,1.82,3.8,2.9,0,0.04,3,0
21031,54663959,0.15,0.31,-0.1,-1.9,3.8,2.62,0,0.04,3,0
21120,54763919,0.11,0.05,-0.04,1.58,3.8,2.47,0,0.04,3,0
21210,54863879,0.1,0.08,0.04,-1.78,3.8,2.39,0,0.04,3,0
21299,54963839,0.16,0.16,0.1,1.78,3.8,2.42,0,0.04,3,0
21390,55063799,0.19,0.22,0.14,-1.56,3.8,2.48,0,0.04,3,0
21480,55163759,0.11,0.33,0.14,1.72,3.8,2.63,0,0.04,3,0
21571,55263719,0.1,-0.2,0.18,-1.67,3.8,2.8,0,0.04,3,0
21661,55363679,0.1,0.81,0.22,1.89,3.8,3.01,0,0.04,3,0
21752,55463639,0.11,-0.72,0.14,-1.26,3.8,3.18,0,0.04,3,0
21843,55563599,0.15,0.81,0.09,1.85,3.8,3.32,0,0.05,3,0
21932,55663559,0.17,-0.46,0.03,-1.63,3.8,3.4,0,0.05,3,0
22021,55763519,0.18,0.43,0.05,1.74,3.8,3.48,0,0.05,3,0
22111,55863479,0.19,-0.28,0.09,-1.76,3.8,3.5,0,0.05,3,0
22200,55963439,0.2,0.54,0.15,1.91,3.8,3.52,0,0.05,3,0
22291,56063399,0.18,-0.07,0.11,-1.58,3.8,3.47,0,0.05,3,0
22381,56163359,0.14,0.57,0.12,1.91,3.8,3.44,0,0.05,3,0
22473,56263319,0.1,-0.16,0.07,-1.61,3.8,3.35,0,0.05,3,0
22563,56363279,0.04,0.68,0.08,1.69,3.8,3.29,0,0.05,3,0
22654,56464072,0.02,0.09,0.09,-1.74,3.8,3.17,0,0.05,3,0
22745,56564032,-0.09,0.67,0.14,1.69,3.8,3.12,0,0.05,3,0
22834,56663992,-0.16,-0.03,0.2,-1.85,3.8,3.03,0,0.05,3,0
22923,56763952,-0.19,0.17,0.26,1.86,3.8,2.98,0,0.05,3,0
23013,56863912,-0.1,-0.23,0.24,-1.51,3.8,2.96,0,0.05,3,0
23102,56963872,-0.1,0.27,0.2,1.96,3.8,2.95,0,0.05,3,0
23193,57063832,-0.04,-0.33,0.15,-1.64,3.8,2.96,0,0.05,3,0
23283,57163792,0,0.34,0.15,1.89,3.8,2.98,0,0.05,3,0
23374,57263752,0.05,-0.62,0.16,-1.49,3.8,3.03,0,0.05,3,0
23464,57363712,0.07,0.96,0.17,1.71,3.8,3.09,0,0.05,3,0
23555,57463672,0.05,-0.79,0.13,-1.22,3.8,3.12,0,0.05,3,0
23646,57563632,0.03,1.07,0.09,1.52,3.8,3.17,0,0.05,3,0
23735,57663592,0.07,-1.21,0.08,-1.72,3.8,3.18,0,0.06,3,0
23824,57763552,0.16,0.74,0.18,1.59,3.8,3.18,0,0.06,3,0
23914,57863512,0.24,-0.56,0.22,-1.63,3.8,3.18,0,0.06,3,0
24003,57963472,0.21,0.82,0.28,1.83,3.8,3.2,0,0.06,3,0
24094,58063432,0.19,-0.33,0.25,-1.42,3.8,3.19,0,0.06,3,0
24184,58163392,0.17,0.81,0.22,1.8,3.8,3.21,0,0.06,3,0
24275,58263352,0.18,-0.44,0.23,-1.43,3.8,3.19,0,0.06,3,0
24365,58363312,0.18,0.84,0.25,1.86,3.8,3.22,0,0.06,3,0
24456,58463272,0.22,-0.57,0.24,-1.33,3.8,3.22,0,0.06,3,0
24547,58564065,0.21,0.86,0.26,1.67,3.8,3.26,0,0.06,3,0
24636,58664025,0.23,-0.44,0.26,-1.45,3.8,3.27,0,0.06,3,0
24725,58763985,0.23,0.7,0.31,1.97,3.8,3.32,0,0.06,3,0
24815,58863945,0.25,-0.28,0.24,-1.2,3.8,3.34,0,0.06,3,0
24904,58963905,0.22,0.85,0.19,1.86,3.8,3.41,0,0.05,3,0
24995,59063865,0.24,-0.34,0.13,-1.26,3.8,3.42,0,0.05,3,0
25085,59163825,0.25,0.9,0.14,1.67,3.8,3.47,0,0.05,3,0
25176,59263785,0.21,-0.4,0.13,-1.19,3.8,3.47,0,0.05,3,0
25266,59363745,0.23,1.1,0.15,1.4,3.8,3.51,0,0.05,3,0
25357,59463705,0.22,-0.53,0.15,-1.03,3.8,3.49,0,0.05,3,0
25448,59563665,0.16,1.24,0.15,1.33,3.8,3.5,0,0.05,3,0
25537,59663625,0.19,-1.2,0.11,-0.93,3.8,3.47,0,0.05,3,0
25626,59763585,0.28,1.04,0.14,1.21,3.8,3.44,0,0.06,3,0
25716,59863545,0.37,-0.78,0.14,-1.07,3.8,3.39,0,0.06,3,0
25805,59963505,0.39,1.23,0.17,1.44,3.8,3.37,0,0.05,3,0
25896,60063465,0.37,-0.54,0.15,-1.1,3.8,3.32,0,0.05,3,0
25986,60163425,0.33,1.07,0.15,1.48,3.8,3.31,0,0.05,3,0
26077,60263385,0.31,-0.71,0.13,-1.05,3.8,3.29,0,0.05,3,0
26167,60363345,0.33,1.16,0.14,1.37,3.8,3.3,0,0.05,3,0
26259,60463305,0.34,-0.74,0.17,-0.99,3.8,3.3,0,0.05,3,0
26350,60563265,0.29,1.22,0.93,1.64,3.8,3.34,0,0.05,3,0
26439,60664058,0.25,-1.06,1.91,0.5,3.81,3.32,0,0.05,3,0
26528,60764018,0.27,1.32,2.17,3.46,3.81,3.31,0,0.06,3,0
26618,60863978,0.23,-0.48,1.92,0.64,3.81,3.28,0,0.06,3,0
26707,60963938,0.14,1.32,1.6,2.89,3.8,3.3,0,0.06,3,0
26798,61063898,0.11,-0.83,1.28,0.01,3.8,3.3,0,0.06,3,0
26888,61163858,0.09,1.08,1.05,2.17,3.8,3.33,0,0.06,3,0
26979,61263818,0.11,-1.07,0.85,-0.45,3.8,3.35,0,0.06,3,0
27072,61363778,0.11,1.28,0.71,1.59,3.8,3.38,0,0.06,3,0
27162,61463738,0.09,-1.41,0.59,-0.37,3.8,3.4,0,0.06,3,0
27253,61563698,0.13,1.24,0.48,1.04,3.8,3.42,0,0.06,3,0
27342,61663658,0.16,-1.27,0.37,-0.34,3.8,3.43,0,0.06,3,0
27431,61763618,0.12,1.92,0.29,0.99,3.8,3.43,0,0.06,3,0
27521,61863578,0.02,-1.04,0.16,-0.31,3.8,3.4,0,0.06,3,0
27610,61963538,-0.11,1.67,0.07,0.96,3.8,3.39,0,0.06,3,0
27701,62063498,-0.15,-1.51,-0.02,-0.8,3.8,3.37,0,0.06,3,0
27791,62163458,-0.12,1.16,-0.06,0.97,3.8,3.35,0,0.06,3,0
27882,62263418,-0.06,-1.5,-0.1,-0.88,3.8,3.34,0,0.06,3,0
27973,62363378,-0.01,1.36,-0.15,0.77,3.8,3.33,0,0.06,3,0
28063,62463338,0.02,-1.52,-0.19,-0.98,3.8,3.31,0,0.06,3,0
28154,62563298,0.04,1.5,-0.16,0.58,3.8,3.3,0,0.06,3,0
28243,62664091,0.03,-1.49,-0.16,-0.67,3.8,3.3,0,0.06,3,0
28332,62764051,0.01,1.68,-0.17,0.62,3.8,3.28,0,0.06,3,0
28422,62864011,0.01,-1.17,-0.18,-1.07,3.8,3.23,0,0.06,3,0
28511,62963971,0,1.54,-0.13,0.72,3.8,3.22,0,0.06,3,0
28602,63063931,0,-1.33,-0.1,-0.88,3.8,3.21,0,0.06,3,0
28691,63163891,0,1.43,-0.07,0.62,3.8,3.21,0,0.06,3,0
28783,63263851,0.01,-1.4,-0.07,-0.77,3.8,3.22,0,0.06,3,0
28873,63363811,0.06,1.48,-0.03,0.65,3.8,3.23,0,0.06,3,0
28963,63463771,0.13,-1.42,-0.04,-0.67,3.8,3.25,0,0.06,3,0
29054,63563731,0.18,1.78,-0.01,0.31,3.8,3.27,0,0.06,3,0
29143,63663691,0.17,-1.49,-0.01,-0.07,3.8,3.29,0,0.06,3,0
29232,63763651,0.21,1.59,0,-0.08,3.8,3.3,0,0.06,3,0
29322,63863611,0.27,-1.32,0,-0.24,3.8,3.31,0,0.05,3,0
29411,63963571,0.26,2.05,0.06,-0.06,3.8,3.32,0,0.05,3,0
29502,64063531,0.21,-1.33,0.12,-0.22,3.8,3.31,0,0.05,3,0
29591,64163491,0.21,1.77,0.13,0.46,3.8,3.3,0,0.05,3,0
29683,64263451,0.24,-1.32,0.15,-0.25,3.8,3.29,0,0.05,3,0
29773,64363411,0.28,1.77,0.16,0.44,3.8,3.28,0,0.05,3,0
29863,64463371,0.29,-1.28,0.15,-0.25,3.8,3.26,0,0.05,3,0
29954,64563331,0.34,1.85,0.2,0.45,3.8,3.25,0,0.05,3,0
30043,64663291,0.33,-1.21,0.23,-0.06,3.8,3.24,0,0.05,3,0
30132,64764084,0.35,2.06,0.26,0.33,3.8,3.24,0,0.05,3,0
30222,64864044,0.34,-1.27,0.23,-0.07,3.8,3.25,0,0.05,3,0
30311,64964004,0.33,1.95,0.28,0.46,3.8,3.26,0,0.05,3,0
30402,65063964,0.31,-1.25,0.34,-0.04,3.8,3.26,0,0.05,3,0
30491,65163924,0.3,1.91,0.36,0.61,3.8,3.28,0,0.05,3,0
30583,65263884,0.32,-1.29,0.28,0.19,3.8,3.28,0,0.05,3,0
30673,65363844,0.33,1.95,0.25,0.37,3.8,3.29,0,0.05,3,0
30763,65463804,0.31,-1.28,0.27,0.17,3.8,3.29,0,0.05,3,0
30854,65563764,0.29,1.81,0.26,0.22,3.8,3.29,0,0.05,3,0
30943,65663724,0.25,-1.21,0.24,0.39,3.8,3.29,0,0.05,3,0
31032,65763684,0.2,1.86,0.24,-0.1,3.8,3.28,0,0.05,3,0
31122,65863644,0.15,-1.37,0.2,0.93,3.8,3.29,0,0.05,3,0
31211,65963604,0.2,1.34,0.18,-0.39,3.8,3.27,0,0.04,3,0
31302,66063564,0.28,-1.62,0.18,0.53,3.8,3.26,0,0.04,3,0
31391,66163524,0.33,1.77,0.2,-0.14,3.8,3.23,0,0.04,3,0
31483,66263484,0.29,-1.46,0.18,0.42,3.8,3.22,0,0.04,3,0
31572,66363444,0.27,1.77,0.18,-0.02,3.8,3.2,0,0.04,3,0
31664,66463404,0.26,-1.43,0.17,0.43,3.8,3.2,0,0.04,3,0
31755,66563364,0.28,1.85,0.18,-0.12,3.8,3.19,0,0.04,3,0
31844,66663324,0.26,-1.35,0.18,0.45,3.8,3.2,0,0.04,3,0
31933,66763284,0.23,1.7,0.2,-0.23,3.8,3.21,0,0.04,3,0
32022,66864077,0.2,-1.42,0.21,0.59,3.8,3.23,0,0.04,3,0
32112,66964037,0.19,1.76,0.19,-0.07,3.8,3.22,0,0.04,3,0
32203,67063997,0.19,-1.49,0.16,0.29,3.8,3.22,0,0.04,3,0
32292,67163957,0.19,1.77,0.18,-0.17,3.8,3.21,0,0.04,3,0
32384,67263917,0.17,-1.43,0.22,0.31,3.8,3.22,0,0.04,3,0
32473,67363877,0.15,1.77,0.27,-0.18,3.8,3.23,0,0.04,3,0
32564,67463837,0.17,-1.5,0.26,0.52,3.8,3.24,0,0.04,3,0
