LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH,labels
295076,359763537,0,-0.99,8.2,329.1,0.3003725,0.2984862,-0.2599591,-0.4258181,155.1801,239.8972,2.251483,0.23,0.23,0.3,20.36,3
305390,371263935,0,-0.21,-0.21,321.13,0.04020555,-0.04047021,-0.01885949,-0.01811866,155.1346,239.8986,1.971732,0.19,0.23,0.3,20.36,3
237399,295663354,0,26.67,-16.54,124.28,4.060858,-0.4636305,-0.1034327,-1.40943,253.8766,184.1571,-19.70553,0.24,0.05,-0.18,20.36,2
216273,272163591,0,31.3,3.71,84.51,2.854265,3.899127,0.115476,-1.015994,254.9388,123.8544,-20.72552,0.2,0.14,0.07,20.36,2
62756,100963765,0,0.62,5.62,327.73,1.533599,-0.984755,-0.00935377,-0.00518018,54.8493,-33.90715,-20.05063,0.06,0.07,0.03,20.36,0
423240,502164054,0,-1.82,-0.58,207.89,-0.02983788,0.00983862,0.4766948,0.5031937,0.00687195,-0.01350098,-1.259577,0.09,0.1,0.1,20.36,4
137373,184463685,0,-0.33,-28.1,143.93,-8.052604,5.866071,0.01463727,-0.00518565,413.0522,-195.6984,-21.67284,0.09,0.16,0.1,20.36,0
219868,276163657,0,29.71,9.45,79.1,3.282446,3.839049,14.96079,9.874452,255.8455,137.5702,-12.28704,0.2,0.14,0.06,20.36,2
206739,261563666,0,-25.82,-12.31,65.5,-5.770224,3.634119,-0.3882878,-0.9657317,241.8079,99.31547,-23.98995,0.2,0.13,0.07,20.36,2
371578,444763690,0,3.3,-0.43,206.88,-0.04473925,-0.09011606,-0.00357007,0.00055537,2.574045,197.3303,-19.9444,0.14,0.15,0.16,20.36,0
12366,28663530,0,0.05,0.04,2.55,-0.01834957,0.01787548,-0.00214077,0.00133692,0.0,0.0,-0.00747501,0.0,0.01,-0.33,20.36,0
233175,290963568,0,23.71,21.3,94.38,1.865237,4.524573,3.294798,2.499849,255.5303,180.71,-19.06268,0.23,0.05,-0.18,20.36,2
376438,450164029,0,24.28,-11.94,204.37,-0.1501282,-8.753933,0.00337491,0.03678633,2.279065,175.8159,-19.89071,0.14,0.15,0.16,20.36,4
419550,498064028,0,-0.67,-1.64,207.86,-0.03005007,-0.00596767,0.4733395,0.4957528,0.00368292,0.00651287,-3.319579,0.09,0.1,0.11,20.36,4
388227,463263787,0,23.52,-10.11,205.33,-0.1482956,-9.939734,0.02037803,0.00367156,0.5927468,46.62322,-19.66752,0.11,0.14,0.15,20.36,4
47975,84563661,0,-1.67,-2.89,327.47,3.211464,-2.039637,0.00053136,-0.00502599,22.72244,-14.12159,-20.19676,0.04,0.04,0.0,20.36,0
284034,347463459,0,-1.04,-10.22,147.73,-3.194077,2.069261,-0.02126983,-0.01168237,164.0303,234.002,-18.70127,0.22,0.23,0.31,20.36,0
222931,279563963,0,25.07,12.15,93.79,3.58985,3.924841,0.5000162,-0.4712093,254.7534,147.1901,-18.73948,0.23,0.04,-0.15,20.36,2
176433,227863818,0,0.81,-23.0,90.28,-0.05717912,3.491354,-0.0292518,-0.0255516,250.1232,6.204088,-21.11788,0.16,0.18,0.15,20.36,0
133229,179863859,0,-0.7,-28.23,145.49,-8.194352,5.615595,0.00958524,-0.00942569,450.3722,-222.1091,-21.65578,0.08,0.16,0.11,20.36,0
390208,465463740,0,20.96,-10.6,205.28,-0.1686482,-9.702514,0.01865453,0.00172553,0.2953913,24.68483,-19.65729,0.11,0.14,0.15,20.36,4
405144,482063764,0,0.39,1.57,207.76,-0.03957174,0.0004261,1.448979,1.489889,0.01317869,0.02440745,-12.40084,0.1,0.12,0.13,20.36,4
329975,398563844,0,-24.62,20.73,248.96,-2.5255,2.216473,-1.860403,-1.799757,154.4217,240.427,0.9671636,0.17,0.18,0.24,20.36,0
44369,80563595,0,-1.37,1.62,327.21,2.113394,-1.355869,0.00795295,0.0058559,16.05119,-9.981293,-20.09984,0.04,0.04,-0.01,20.36,0
277278,339963960,0,-1.59,3.43,146.42,-0.7533195,0.6758208,-0.01270553,-0.00916356,176.0936,225.9279,-18.71457,0.23,0.25,0.29,20.36,0
266382,327863802,0,0.72,-3.25,151.59,-3.161071,1.882243,0.03092879,0.04968885,196.6365,212.3776,-19.00595,0.22,0.27,0.23,20.36,0
317455,384663573,0,-0.22,-0.11,307.51,0.01233699,-0.02880241,-0.01422562,0.0008185,155.122,239.9131,1.915101,0.18,0.2,0.28,20.36,3
341861,411763562,0,2.01,-11.22,197.28,-6.890728,-1.990284,-0.8469288,-0.8514168,62.20477,221.2372,-18.38127,0.17,0.18,0.2,20.36,0
70783,109863537,0,-2.0,2.46,327.62,2.583524,-1.651867,0.01365875,0.01474838,71.93594,-44.10875,-20.24998,0.06,0.07,0.05,20.36,1
358604,430363619,0,-0.4,-19.93,201.2,-1.843455,-0.7390624,-0.07392149,-0.05598276,20.74984,205.3921,-19.80844,0.16,0.17,0.18,20.36,0
83639,124263608,0,1.34,-27.96,330.39,5.570129,-2.805929,-0.04533847,-0.04846687,28.59288,-17.31732,-20.59779,0.07,0.08,0.07,20.36,1
281332,344463826,0,-1.56,4.35,147.82,-1.201926,0.9245762,-0.02332016,-0.00904825,168.1815,231.2985,-18.66263,0.23,0.24,0.3,20.36,0
422340,501163621,0,-1.67,0.24,207.85,-0.02538791,-0.00173252,0.4806063,0.504868,0.00650204,-0.01200903,-1.762008,0.09,0.1,0.1,20.36,4
275118,337564087,0,-0.95,-3.71,147.07,-3.009536,2.055032,0.01688414,0.02782258,180.4042,222.499,-18.70905,0.22,0.24,0.28,20.36,0
175983,227364018,0,-0.48,-16.98,89.85,-0.03617221,2.253482,-0.04000985,-0.03240531,250.1427,4.840695,-21.10289,0.16,0.19,0.15,20.36,0
157618,206963848,0,-12.12,-29.29,126.84,-5.645051,8.130198,-0.03311204,-0.04598577,250.8896,-42.38136,-21.68597,0.12,0.19,0.11,20.36,0
175264,226563505,0,-0.06,1.1,87.74,-0.01826528,0.8539413,-0.01978907,-0.01781935,250.1707,3.779577,-21.08101,0.16,0.19,0.15,20.36,0
382831,457263688,0,26.66,-11.76,204.45,-0.1457772,-9.896494,0.03356408,0.01850956,1.353885,106.5491,-19.66983,0.12,0.15,0.16,20.36,4
356351,427863786,0,1.28,2.96,207.37,-1.866743,-0.8582934,0.000961,0.01393548,23.4683,206.6808,-19.75758,0.16,0.17,0.18,20.36,0
271874,333963861,0,1.19,2.54,155.23,-1.703749,1.010722,-0.01317365,-0.00311008,185.3586,219.3831,-18.87655,0.23,0.26,0.27,20.36,0
29145,63663691,0,-1.49,-0.07,3.29,-0.04511068,-0.0204111,-0.05757901,-0.00803005,-0.2486912,-0.1234966,-20.22931,0.02,0.02,-0.05,20.36,0
387507,462463274,0,23.83,-9.15,205.92,-0.1441628,-9.943458,0.00384375,-0.01019106,0.6921971,54.62387,-19.6675,0.11,0.14,0.16,20.36,4
58430,96164019,0,-0.83,5.66,322.31,1.427378,-1.080353,-0.0136506,-0.00840413,45.7597,-27.98213,-20.09962,0.05,0.06,0.02,20.36,0
437475,519363838,0,-0.08,-0.16,207.44,-0.02753019,0.00454818,-0.01435541,-0.00067378,-0.00171807,0.01257813,-0.03286842,0.08,0.08,0.1,20.36,4
163644,213663667,0,0.7,-1.0,31.74,2.957626,2.039557,0.01368549,0.02293782,244.8571,-11.46114,-21.76368,0.13,0.19,0.13,20.36,0
238561,296963667,0,20.83,-20.16,224.11,-1.645169,3.077869,0.6466131,-0.472057,252.1867,189.1528,-19.94573,0.24,0.05,-0.18,20.36,2
196310,249963308,0,-31.55,0.46,90.52,-3.61821,4.186261,-0.4031647,-0.6077487,245.8966,58.2779,-20.19154,0.19,0.14,0.11,20.36,2
44277,80463635,0,0.79,4.28,327.25,2.22032,-1.423996,0.0090409,0.00622412,15.82513,-9.835037,-20.10046,0.04,0.04,-0.01,20.36,0
168148,218663333,0,1.46,-0.23,33.8,0.06449128,-0.02569946,-0.00135768,0.00874176,250.0734,-8.219544,-21.45271,0.15,0.19,0.14,20.36,0
340513,410263329,0,0.17,-12.86,193.28,-7.776478,-1.710912,-1.257705,-1.278154,73.50938,224.2495,-16.94646,0.17,0.18,0.2,20.36,0
10045,25763857,0,0.04,0.03,2.84,-0.01510881,0.01512953,-0.00394449,0.00138284,0.0,0.0,-0.01146335,0.0,0.0,-0.42,20.36,0
101253,144064018,0,-0.88,-31.09,329.01,-3.831749,3.2294,0.150328,0.02480708,11.31887,-5.170124,-21.15256,0.08,0.15,0.16,20.36,1
210519,265763652,0,-20.93,20.21,90.6,-2.342078,4.95926,-0.6127701,-1.546708,249.1172,112.3578,-22.20847,0.21,0.12,0.05,20.36,2
113084,157363696,0,3.51,-30.17,334.13,1.061484,-0.5379289,0.0399007,0.00741204,22.85208,-14.63791,-21.44487,0.08,0.24,0.12,20.36,1
401543,478063698,0,0.87,-1.19,207.62,-0.02711213,0.04762178,1.564089,1.58733,0.01844825,-0.00961956,-18.46121,0.1,0.13,0.14,20.36,4
419821,498363908,0,0.39,1.35,207.91,-0.02387466,-0.00565836,0.4744735,0.4976839,0.0038939,0.005823,-3.170296,0.09,0.1,0.11,20.36,4
232453,290163888,0,25.52,-12.07,89.18,1.198455,1.181071,1.660546,0.6752124,252.7716,176.9346,-21.24466,0.23,0.05,-0.18,20.36,2
90399,131863900,0,-0.82,-28.35,329.45,-0.2082522,1.949476,-0.224182,-0.01778422,28.44468,-13.67847,-20.34317,0.06,-0.04,0.1,20.36,1
366438,439063471,0,1.54,3.22,206.55,-0.7552088,-0.3299958,-0.02267777,-0.01464582,3.226079,197.7471,-19.7891,0.15,0.16,0.16,20.36,0
436654,518363405,0,-0.07,-0.16,207.49,-0.02761396,0.00420704,-0.01416285,-0.0008103,-0.00178596,0.01212356,-0.03177905,0.08,0.08,0.1,20.36,4
154466,203463582,0,1.28,-28.34,125.44,-6.029868,7.820462,0.02868272,0.01237613,271.6951,-70.28356,-21.70578,0.11,0.19,0.1,20.36,0
71773,110963930,0,1.76,2.38,327.31,1.441306,-0.942731,-0.00432336,-0.00144564,74.0969,-45.51479,-20.2466,0.06,0.07,0.05,20.36,1
195320,248863748,0,0.77,-10.41,88.93,-2.02122,4.800469,-0.03219802,-0.1644719,251.9625,54.43777,-19.35965,0.19,0.14,0.11,20.36,2
351226,422163567,0,1.07,1.51,195.4,-2.63565,-0.6375524,-0.01516101,0.00234125,34.17285,211.0899,-19.53576,0.16,0.17,0.19,20.36,0
206470,261263786,0,-25.97,-5.28,70.36,-6.486801,4.61734,-0.8146255,-1.400766,243.4048,98.92513,-23.76973,0.2,0.13,0.06,20.36,2
155278,204364055,0,-1.36,-31.35,128.1,-5.967793,7.941974,0.02782661,0.01505306,266.3093,-63.1619,-21.69476,0.12,0.19,0.11,20.36,0
269715,331563988,0,-0.32,-19.92,155.08,-1.663823,0.878316,0.0695379,0.08193302,191.367,216.1631,-18.93493,0.22,0.26,0.25,20.36,0
136564,183564045,0,1.65,-31.29,143.39,-8.057174,5.809635,0.02241651,0.00268026,420.306,-200.9989,-21.67254,0.09,0.16,0.1,20.36,0
119668,164764068,0,3.48,-29.75,334.71,1.221372,-0.7217456,-0.00297246,-0.02549088,25.16106,-16.12583,-21.48303,0.08,0.19,0.1,20.36,1
303314,368964022,0,-0.25,-0.19,322.89,0.01668373,-0.04983076,-0.0105975,-0.02577092,155.1048,239.8891,2.022731,0.2,0.23,0.3,20.36,3
333127,402063277,0,-5.66,-21.45,191.23,-4.767725,-2.428628,-1.447892,-1.472153,147.0106,240.3457,-5.694703,0.16,0.16,0.22,20.36,0
285655,349263572,0,1.13,2.39,147.29,-1.361752,1.010207,-0.01432144,-0.00072211,159.8727,236.9264,-18.69201,0.22,0.24,0.31,20.36,0
410187,487664023,0,0.13,-1.74,207.73,-0.03179558,-0.01455315,0.4924907,0.5027912,0.0167691,0.01272374,-8.527929,0.09,0.11,0.12,20.36,4
6924,21863751,0,0.03,0.02,3.3,-0.00996281,0.01013172,-0.00707037,0.0020209,0.0,0.0,-0.01745656,0.0,0.0,-0.63,20.36,0
373378,446763723,0,13.52,-5.25,206.49,-0.03093006,-2.297148,-0.00920084,0.00677862,2.562498,195.504,-19.95312,0.15,0.15,0.15,20.36,4
430615,510863906,0,-0.06,-0.16,207.78,-0.02709853,0.00101479,-0.00813843,6.742e-05,-0.00113725,0.01044735,-0.02153034,0.08,0.09,0.1,20.36,4
227331,284463669,0,28.44,9.71,121.47,7.167705,3.945896,0.3449807,-1.219322,263.3425,161.6879,-23.05715,0.22,0.06,-0.14,20.36,2
225448,282363676,0,-25.0,-16.13,100.89,-1.100849,0.5448862,0.654308,-0.8992928,247.3468,154.6386,-21.20149,0.23,0.04,-0.18,20.36,2
249545,309163785,0,9.56,12.67,181.2,-0.6052761,1.129238,0.2567777,-0.6138986,228.0408,193.777,-19.45694,0.25,0.08,-0.15,20.36,0
106235,149663444,0,-0.48,-30.24,331.39,-1.326424,1.186981,-0.0126663,-0.03050825,15.61201,-9.170321,-21.18995,0.08,0.23,0.15,20.36,1
86930,127963794,0,-0.39,-31.52,328.83,4.329027,-1.879318,0.09601907,0.07697622,38.78604,-22.21721,-20.67774,0.06,0.01,0.08,20.36,1
66005,104563991,0,1.25,0.11,329.05,3.304813,-1.945307,-0.02477114,-0.03090562,61.08979,-37.57189,-20.37379,0.06,0.06,0.04,20.36,0
361845,433963845,0,1.31,3.37,200.87,-0.8351477,-0.2742148,-0.00262177,0.0062144,12.58652,202.3319,-19.82671,0.15,0.16,0.17,20.36,0
148802,197163603,0,-4.25,-30.87,138.27,-7.206196,6.813049,0.00923524,-0.00888638,314.7332,-115.76,-21.6841,0.11,0.18,0.1,20.36,0
143578,191363424,0,1.01,-31.48,141.46,-7.819855,6.140985,0.01800246,-0.00759301,358.3601,-153.7548,-21.71102,0.1,0.17,0.1,20.36,0
171481,222363519,0,11.91,-10.77,43.12,0.00879146,1.707281,0.2335933,0.2304309,250.1355,-7.740976,-21.29987,0.15,0.18,0.15,20.36,0
349607,420363454,0,-1.68,-19.84,198.15,-1.857732,-0.6251076,0.04336656,0.0603532,39.46714,212.5262,-19.57579,0.16,0.17,0.19,20.36,0
44817,81063395,0,0.74,5.34,327.31,1.576139,-1.015071,-1.8e-06,-0.00249238,17.01328,-10.60674,-20.09943,0.04,0.05,-0.01,20.36,0
77587,117463829,0,1.3,-4.8,323.1,0.8015528,-0.4453994,-0.02080776,-0.02158466,84.71236,-53.36153,-20.2629,0.07,0.08,0.06,20.36,1
406946,484063797,0,-1.49,1.05,207.73,-0.03968519,-0.01139869,0.3868089,0.4186288,0.00785664,0.02336002,-10.24508,0.1,0.12,0.13,20.36,4
245856,305063759,0,17.59,8.08,197.14,-0.6307127,0.211099,-1.23286,-1.968912,234.925,187.9119,-19.9576,0.25,0.0,-0.29,20.36,0
203502,257963440,0,-25.83,-12.79,82.78,-1.245277,2.644516,0.1747883,-1.008967,246.6126,84.16684,-21.04461,0.2,0.13,0.08,20.36,2
18146,51463573,0,0.15,-1.56,0.39,0.01169738,-0.01024927,-1.352977,-1.427289,0.01420479,-0.01360226,-1.493096,0.01,0.02,-0.06,20.36,0
307192,373263968,0,-0.2,-0.2,319.21,0.04150593,-0.04092043,-0.0210328,-0.01140893,155.144,239.8998,1.942795,0.19,0.22,0.3,20.36,3
183099,235263357,0,-1.26,7.2,90.72,-0.4564522,3.685141,0.3485769,0.2643762,249.9567,29.89186,-22.98934,0.18,0.12,0.13,20.36,0
