LineNo,TimeUS,I,Alt,Press,CRt,SMS,Offset,GndTemp,Health,labels
5398,19963678,0,0,101080.3,29.86,0,19963,0,25.52884,0
5478,20063638,0,0,101080.3,29.88,0,20063,0,25.52884,0
5557,20163598,0,0,101080.3,29.89,0,20163,0,25.52884,0
5636,20263558,0,0,101080.3,29.91,0,20263,0,25.52884,0
5720,20363518,0,0,101080.3,29.93,0,20363,0,25.52884,0
5800,20463478,0,0,101080.3,29.94,0,20463,0,25.52884,0
5879,20563438,0,0,101080.3,29.96,0,20563,0,25.52884,0
5958,20663398,0,0,101080.3,29.98,0,20663,0,25.52884,0
6037,20763358,0,0,101080.3,29.99,0,20763,0,25.52884,0
6118,20863318,0,0,101080.3,30.01,0,20863,0,25.52884,0
6198,20963278,0,0,101080.3,30.03,0,20963,0,25.52884,0
6277,21064071,0,0,101080.3,30.04,0,21064,0,25.52884,0
6357,21164031,0,0,101080.3,30.06,0,21164,0,25.52884,0
6436,21263991,0,0,101080.3,30.08,0,21263,0,25.52884,0
6520,21363951,0,0,101080.3,30.09,0,21363,0,25.52884,0
6600,21463911,0,0,101080.3,30.11,0,21463,0,25.52884,0
6679,21563871,0,0,101080.3,30.13,0,21563,0,25.52884,0
6758,21663831,0,0,101080.3,30.14,0,21663,0,25.52884,0
6837,21763791,0,0,101080.3,30.16,0,21763,0,25.52884,0
6918,21863751,0,0,101080.3,30.17,0,21863,0,25.52884,0
6998,21963711,0,0,101080.3,30.19,0,21963,0,25.52884,0
7077,22063671,0,0,101080.3,30.21,0,22063,0,25.52884,0
7157,22163631,0,0,101080.3,30.22,0,22163,0,25.52884,0
7236,22263591,0,0,101080.3,30.24,0,22263,0,25.52884,0
7321,22363551,0,0,101080.3,30.25,0,22363,0,25.52884,0
7401,22463511,0,0,101080.3,30.27,0,22463,0,25.52884,0
7480,22563471,0,0,101080.3,30.29,0,22563,0,25.52884,0
7559,22663431,0,0,101080.3,30.3,0,22663,0,25.52884,0
7638,22763391,0,0,101080.3,30.32,0,22763,0,25.52884,0
7719,22863351,0,0,101080.3,30.33,0,22863,0,25.52884,0
7798,22963311,0,0,101080.3,30.35,0,22963,0,25.52884,0
7878,23063271,0,0,101080.3,30.36,0,23063,0,25.52884,0
7958,23164064,0,0,101080.3,30.38,0,23164,0,25.52884,0
8037,23264024,0,0,101080.3,30.39,0,23264,0,25.52884,0
8121,23363984,0,0,101080.3,30.41,0,23363,0,25.52884,0
8200,23463944,0,0,101080.3,30.43,0,23463,0,25.52884,0
8280,23563904,0,0,101080.3,30.44,0,23563,0,25.52884,0
8359,23663864,0,0,101080.3,30.46,0,23663,0,25.52884,0
8438,23763824,0,0,101080.3,30.47,0,23763,0,25.52884,0
8519,23863784,0,0,101080.3,30.49,0,23863,0,25.52884,0
8598,23963744,0,0,101080.3,30.5,0,23963,0,25.52884,0
8678,24063704,0,0,101080.3,30.52,0,24063,0,25.52884,0
8758,24163664,0,0,101080.3,30.53,0,24163,0,25.52884,0
8837,24263624,0,0,101080.3,30.55,0,24263,0,25.52884,0
8921,24363584,0,0,101080.3,30.56,0,24363,0,25.52884,0
9000,24463544,0,0,101080.3,30.58,0,24463,0,25.52884,0
9080,24563504,0,0,101080.3,30.59,0,24563,0,25.52884,0
9159,24663464,0,0,101080.3,30.6,0,24663,0,25.52884,0
9238,24763424,0,0,101080.3,30.62,0,24763,0,25.52884,0
9319,24863384,0,0,101080.3,30.63,0,24863,0,25.52884,0
9398,24963344,0,0,101080.3,30.65,0,24963,0,25.52884,0
9479,25063304,0,0,101080.3,30.66,0,25063,0,25.52884,0
9559,25163264,0,0,101080.3,30.68,0,25163,0,25.52884,0
9638,25264057,0,0,101080.3,30.69,0,25264,0,25.52884,0
9722,25364017,0,0,101080.3,30.71,0,25364,0,25.52884,0
9801,25463977,0,0,101080.3,30.72,0,25463,0,25.52884,0
9881,25563937,0,0,101080.3,30.73,0,25563,0,25.52884,0
9960,25663897,0,0,101080.3,30.75,0,25663,0,25.52884,0
10039,25763857,0,0,101080.3,30.76,0,25763,0,25.52884,0
10120,25863817,0,0,101080.3,30.78,0,25863,0,25.52884,0
10199,25963777,0,0,101080.3,30.79,0,25963,0,25.52884,0
10279,26063737,0,0,101080.3,30.8,0,26063,0,25.52884,0
10359,26163697,0,0,101080.3,30.82,0,26163,0,25.52884,0
10438,26263657,0,0,101080.3,30.83,0,26263,0,25.52884,0
10522,26363617,0,0,101080.3,30.85,0,26363,0,25.52884,0
10601,26463577,0,0,101080.3,30.86,0,26463,0,25.52884,0
10681,26563537,0,0,101080.3,30.87,0,26563,0,25.52884,0
10760,26663497,0,0,101080.3,30.89,0,26663,0,25.52884,0
10839,26763457,0,0,101080.3,30.9,0,26763,0,25.52884,0
10920,26863417,0,0,101080.3,30.92,0,26863,0,25.52884,0
10999,26963377,0,0,101080.3,30.93,0,26963,0,25.52884,0
11079,27063337,0,0,101080.3,30.94,0,27063,0,25.52884,0
11159,27163297,0,0,101080.3,30.96,0,27163,0,25.52884,0
11238,27264090,0,0,101080.3,30.97,0,27264,0,25.52884,0
11322,27364050,0,0,101080.3,30.98,0,27364,0,25.52884,0
11401,27464010,0,0,101080.3,31,0,27464,0,25.52884,0
11481,27563970,0,0,101080.3,31.01,0,27563,0,25.52884,0
11560,27663930,0,0,101080.3,31.02,0,27663,0,25.52884,0
11639,27763890,0,0,101080.3,31.04,0,27763,0,25.52884,0
11720,27863850,0,0,101080.3,31.05,0,27863,0,25.52884,0
11799,27963810,0,0,101080.3,31.06,0,27963,0,25.52884,0
11879,28063770,0,0,101080.3,31.08,0,28063,0,25.52884,0
11959,28163730,0,0,101080.3,31.09,0,28163,0,25.52884,0
12038,28263690,0,0,101080.3,31.1,0,28263,0,25.52884,0
12122,28363650,0,0,101080.3,31.11,0,28363,0,25.52884,0
12201,28463610,0,0,101080.3,31.13,0,28463,0,25.52884,0
12281,28563570,0,0,101080.3,31.14,0,28563,0,25.52884,0
12360,28663530,0,0,101080.3,31.15,0,28663,0,25.52884,0
12439,28763490,0,0,101080.3,31.17,0,28763,0,25.52884,0
12520,28863450,0,0,101080.3,31.18,0,28863,0,25.52884,0
12599,28963410,0,0,101080.3,31.19,0,28963,0,25.52884,0
12679,29063370,0,0,101080.3,31.2,0,29063,0,25.52884,0
12759,29163330,0,0,101080.3,31.22,0,29163,0,25.52884,0
12838,29263290,0,0,101080.3,31.23,0,29263,0,25.52884,0
12922,29364083,0,0,101080.3,31.24,0,29364,0,25.52884,0
13001,29464043,0,0,101080.3,31.25,0,29464,0,25.52884,0
13081,29564003,0,0,101080.3,31.27,0,29564,0,25.52884,0
13160,29663963,0,0,101080.3,31.28,0,29663,0,25.52884,0
13282,45963274,0,0,101080.3,32.84,0,45963,0,25.52884,0
13364,46064067,0,0,101080.3,32.85,0,46064,0,25.52884,0
13444,46164027,0,0,101080.3,32.85,0,46164,0,25.52884,0
13528,46263987,0,0,101080.3,32.86,0,46263,0,25.52884,0
13613,46363947,0,0,101080.3,32.87,0,46363,0,25.52884,0
13697,46463907,0,0,101080.3,32.87,0,46463,0,25.52884,0
13784,46563867,0,0,101080.3,32.88,0,46563,0,25.52884,0
13869,46663827,0,0,101080.3,32.89,0,46663,0,25.52884,0
13955,46763787,0,0,101080.3,32.9,0,46763,0,25.52884,0
14040,46863747,0,0,101080.3,32.9,0,46863,0,25.52884,0
14125,46963707,0,0,101080.3,32.91,0,46963,0,25.52884,0
14212,47063667,0,0,101080.3,32.92,0,47063,0,25.52884,0
14298,47163627,0,0,101080.3,32.92,0,47163,0,25.52884,0
14384,47263587,0,0,101080.3,32.93,0,47263,0,25.52884,0
14471,47363547,0,0,101080.3,32.94,0,47363,0,25.52884,0
14557,47463507,0,0,101080.3,32.94,0,47463,0,25.52884,0
14644,47563467,0,0,101080.3,32.95,0,47563,0,25.52884,0
14729,47663427,0,0,101080.3,32.96,0,47663,0,25.52884,0
14815,47763387,0,0,101080.3,32.96,0,47763,0,25.52884,0
14900,47863347,0,0,101080.3,32.97,0,47863,0,25.52884,0
14986,47963307,0,0,101080.3,32.98,0,47963,0,25.52884,0
15077,48063267,0,0,101080.3,32.99,0,48063,0,25.52884,0
15167,48164060,0,0,101080.3,32.99,0,48164,0,25.52884,0
15257,48264020,0,0,101080.3,33,0,48264,0,25.52884,0
15348,48363980,0,0,101080.3,33.01,0,48363,0,25.52884,0
15439,48463940,0,0,101080.3,33.01,0,48463,0,25.52884,0
15530,48563900,0,0,101080.3,33.02,0,48563,0,25.52884,0
15619,48663860,0,0,101080.3,33.02,0,48663,0,25.52884,0
15709,48763820,0,0,101080.3,33.03,0,48763,0,25.52884,0
15798,48863780,0,0,101080.3,33.04,0,48863,0,25.52884,0
15887,48963740,0,0,101080.3,33.04,0,48963,0,25.52884,0
15978,49063700,0,0,101080.3,33.05,0,49063,0,25.52884,0
16068,49163660,0,0,101080.3,33.06,0,49163,0,25.52884,0
16158,49263620,0,0,101080.3,33.06,0,49263,0,25.52884,0
16249,49363580,0,0,101080.3,33.07,0,49363,0,25.52884,0
16339,49463540,0,0,101080.3,33.08,0,49463,0,25.52884,0
16430,49563500,0,0,101080.3,33.08,0,49563,0,25.52884,0
16519,49663460,0,0,101080.3,33.09,0,49663,0,25.52884,0
16609,49763420,0,0,101080.3,33.1,0,49763,0,25.52884,0
16698,49863380,0,0,101080.3,33.1,0,49863,0,25.52884,0
16787,49963340,0,0,101080.3,33.11,0,49963,0,25.52884,0
16878,50063300,0,0.01917209,101080.1,33.12,0.00599128,50063,0,25.52884,0
16968,50163260,0,0.03834417,101079.9,33.12,0.03594766,50163,0,25.52884,0
17058,50264053,0,0.08216608,101079.4,33.13,0.1035208,50264,0,25.52884,0
17149,50364013,0,0.1205103,101078.9,33.13,0.199961,50364,0,25.52884,0
17239,50463973,0,0.2026763,101078,33.14,0.3115369,50463,0,25.52884,0
17330,50563933,0,0.3314032,101076.5,33.15,0.4606896,50563,0,25.52884,0
17419,50663893,0,0.4765633,101074.8,33.15,0.6985021,50663,0,25.52884,0
17509,50763853,0,0.6217234,101073.1,33.16,1.007714,50763,0,25.52884,0
17598,50863813,0,0.7531891,101071.6,33.16,1.26608,50863,0,25.52884,0
17687,50963773,0,0.8901326,101070,33.17,1.382675,50963,0,25.52884,0
17778,51063733,0,1.027076,101068.4,33.18,1.388265,51063,0,25.52884,0
17869,51163693,0,1.158542,101066.9,33.18,1.366011,51163,0,25.52884,0
17959,51263653,0,1.295485,101065.3,33.19,1.354885,51263,0,25.52884,0
18050,51363613,0,1.42969,101063.8,33.19,1.349749,51363,0,25.52884,0
18140,51463573,0,1.577589,101062.1,33.2,1.351461,51463,0,25.52884,0
18231,51563533,0,1.709055,101060.5,33.21,1.367723,51563,0,25.52884,0
18320,51663493,0,1.854215,101058.9,33.21,1.387409,51663,0,25.52884,0
18410,51763453,0,2.01033,101057,33.22,1.401103,51763,0,25.52884,0
18499,51863413,0,2.15549,101055.4,33.22,1.42678,51863,0,25.52884,0
18588,51963373,0,2.311606,101053.6,33.23,1.468719,51963,0,25.52884,0
18679,52063333,0,2.475938,101051.7,33.24,1.504667,52063,0,25.52884,0
18770,52163293,0,2.643009,101049.7,33.24,1.539758,52163,0,25.52884,0
18860,52264086,0,2.818297,101047.7,33.25,1.592323,52264,0,25.52884,0
18953,52364046,0,2.996323,101045.7,33.25,1.65187,52364,0,25.52884,0
19045,52464006,0,3.182566,101043.5,33.26,1.706464,52464,0,25.52884,0
19136,52563966,0,3.368809,101041.4,33.27,1.760766,52563,0,25.52884,0
19225,52663926,0,3.568747,101039.1,33.27,1.817924,52663,0,25.52884,0
19315,52763886,0,3.763207,101036.8,33.28,1.87541,52763,0,25.52884,0
19404,52863846,0,3.963144,101034.5,33.28,1.925808,52863,0,25.52884,0
19493,52963806,0,4.16856,101032.1,33.29,1.961349,52963,0,25.52884,0
19584,53063766,0,4.368497,101029.8,33.29,1.987155,53063,0,25.52884,0
19674,53163726,0,4.582129,101027.3,33.3,2.012213,53163,0,25.52884,0
19764,53263686,0,4.787544,101024.9,33.31,2.037889,53263,0,25.52884,0
19855,53363646,0,5.001176,101022.5,33.31,2.063566,53363,0,25.52884,0
19945,53463606,0,5.214808,101020,33.32,2.086676,53463,0,25.52884,0
20037,53563566,0,5.422962,101017.6,33.32,2.10465,53563,0,25.52884,0
20126,53663526,0,5.628377,101015.2,33.33,2.112354,53663,0,25.52884,0
20216,53763486,0,5.847486,101012.7,33.33,2.105506,53763,0,25.52884,0
20305,53863446,0,6.055641,101010.3,33.34,2.100371,53863,0,25.52884,0
20394,53963406,0,6.269272,101007.8,33.34,2.110642,53963,0,25.52884,0
20485,54063366,0,6.480165,101005.4,33.35,2.120912,54063,0,25.52884,0
20575,54163326,0,6.699275,101002.9,33.36,2.122624,54163,0,25.52884,0
20665,54263286,0,6.918385,101000.3,33.36,2.131183,54263,0,25.52884,0
20756,54364079,0,7.121061,100998,33.37,2.147639,54364,0,25.52884,0
20846,54464039,0,7.34017,100995.5,33.37,2.147545,54464,0,25.52884,0
20938,54563999,0,7.55928,100992.9,33.38,2.131214,54563,0,25.52884,0
21027,54663959,0,7.775651,100990.4,33.38,2.135607,54663,0,25.52884,0
21116,54763919,0,7.992021,100987.9,33.39,2.163723,54763,0,25.52884,0
21206,54863879,0,8.211131,100985.4,33.39,2.179269,54863,0,25.52884,0
21295,54963839,0,8.441195,100982.7,33.4,2.180819,54963,0,25.52884,0
21386,55063799,0,8.654828,100980.3,33.4,2.194349,55063,0,25.52884,0
21476,55163759,0,8.873938,100977.7,33.41,2.211637,55163,0,25.52884,0
21565,55263719,0,9.106741,100975.1,33.42,2.211638,55263,0,25.52884,0
21657,55363679,0,9.331328,100972.4,33.42,2.214206,55363,0,25.52884,0
21747,55463639,0,9.553177,100969.9,33.43,2.238169,55463,0,25.52884,0
21839,55563599,0,9.777764,100967.3,33.43,2.255287,55563,0,25.52884,0
21928,55663559,0,10.00509,100964.7,33.44,2.249296,55663,0,25.52884,0
22017,55763519,0,10.23516,100962,33.44,2.245874,55763,0,25.52884,0
22107,55863479,0,10.46248,100959.4,33.45,2.259567,55863,0,25.52884,0
22196,55963439,0,10.69255,100956.7,33.45,2.276685,55963,0,25.52884,0
22287,56063399,0,10.91987,100954.1,33.46,2.285244,56063,0,25.52884,0
22377,56163359,0,11.15815,100951.4,33.46,2.289525,56163,0,25.52884,0
22467,56263319,0,11.38822,100948.7,33.47,2.300652,56263,0,25.52884,0
22559,56363279,0,11.6265,100946,33.47,2.31948,56363,0,25.52884,0
22650,56464072,0,11.85109,100943.4,33.48,2.332452,56464,0,25.52884,0
22741,56564032,0,12.08937,100940.6,33.48,2.328689,56564,0,25.52884,0
22830,56663992,0,12.3167,100938,33.49,2.317258,56663,0,25.52884,0
22919,56763952,0,12.55498,100935.2,33.49,2.316737,56763,0,25.52884,0
23009,56863912,0,12.79326,100932.5,33.5,2.330838,56863,0,25.52884,0
23098,56963872,0,13.02332,100929.8,33.5,2.348341,56963,0,25.52884,0
23189,57063832,0,13.26161,100927.1,33.51,2.356523,57063,0,25.52884,0
23279,57163792,0,13.49989,100924.3,33.51,2.354453,57163,0,25.52884,0
23368,57263752,0,13.73817,100921.5,33.52,2.35714,57263,0,25.52884,0
23460,57363712,0,13.97645,100918.8,33.52,2.369977,57363,0,25.52884,0
23551,57463672,0,14.21473,100916,33.53,2.380248,57463,0,25.52884,0
23642,57563632,0,14.45301,100913.3,33.53,2.382817,57563,0,25.52884,0
23731,57663592,0,14.6913,100910.5,33.54,2.382817,57663,0,25.52884,0
23820,57763552,0,14.92958,100907.8,33.54,2.382816,57763,0,25.52884,0
23910,57863512,0,15.1706,100905,33.55,2.383672,57863,0,25.52884,0
23999,57963472,0,15.40888,100902.3,33.55,2.387096,57963,0,25.52884,0
24090,58063432,0,15.6499,100899.5,33.56,2.392232,58063,0,25.52884,0
24180,58163392,0,15.88818,100896.8,33.56,2.395656,58163,0,25.52884,0
24269,58263352,0,16.13468,100893.9,33.57,2.398222,58263,0,25.52884,0
24361,58363312,0,16.37296,100891.1,33.57,2.405068,58363,0,25.52884,0
24452,58463272,0,16.61124,100888.4,33.58,2.412771,58463,0,25.52884,0
24543,58564065,0,16.85226,100885.6,33.58,2.409454,58564,0,25.52884,0
24632,58664025,0,17.09055,100882.9,33.58,2.396183,58664,0,25.52884,0
24721,58763985,0,17.31787,100880.2,33.59,2.383816,58763,0,25.52884,0
24811,58863945,0,17.54794,100877.6,33.59,2.367963,58863,0,25.52884,0
24900,58963905,0,17.76157,100875.1,33.6,2.335973,58963,0,25.52884,0
24991,59063865,0,17.96972,100872.7,33.6,2.282269,59063,0,25.52884,0
25081,59163825,0,18.16418,100870.5,33.61,2.205661,59163,0,25.52884,0
25170,59263785,0,18.36412,100868.2,33.61,2.115586,59263,0,25.52884,0
25262,59363745,0,18.53941,100866.1,33.62,2.031044,59363,0,25.52884,0
25353,59463705,0,18.71469,100864.1,33.62,1.953158,59463,0,25.52884,0
25444,59563665,0,18.87081,100862.3,33.63,1.864143,59563,0,25.52884,0
25533,59663625,0,19.01597,100860.6,33.63,1.758011,59663,0,25.52884,0
25622,59763585,0,19.15291,100859,33.64,1.641609,59763,0,25.52884,0
25712,59863545,0,19.28986,100857.5,33.64,1.526918,59863,0,25.52884,0
25801,59963505,0,19.40215,100856.2,33.64,1.429346,59963,0,25.52884,0
25892,60063465,0,19.50349,100855,33.65,1.338623,60063,0,25.52884,0
25982,60163425,0,19.59661,100853.9,33.65,1.225646,60163,0,25.52884,0
26071,60263385,0,19.67878,100853,33.66,1.095549,60263,0,25.52884,0
26163,60363345,0,19.75273,100852.1,33.66,0.9774352,60363,0,25.52884,0
26253,60463305,0,19.81572,100851.4,33.67,0.8764392,60463,0,25.52884,0
26346,60563265,0,19.86776,100850.8,33.67,0.7797235,60563,0,25.52884,0
26435,60664058,0,19.9061,100850.4,33.68,0.6785177,60664,0,25.52884,0
26524,60764018,0,19.94993,100849.8,33.68,0.5734133,60764,0,25.52884,0
26614,60863978,0,19.99101,100849.4,33.68,0.4839748,60863,0,25.52884,0
26703,60963938,0,20.02387,100849,33.69,0.4315891,60963,0,25.52884,0
26794,61063898,0,20.04305,100848.8,33.69,0.3995141,61063,0,25.52884,0
26884,61163858,0,20.06222,100848.5,33.7,0.3485017,61163,0,25.52884,0
26973,61263818,0,20.08687,100848.3,33.7,0.2786114,61263,0,25.52884,0
27068,61363778,0,20.10604,100848,33.71,0.2286063,61363,0,25.52884,0
27158,61463738,0,20.117,100847.9,33.71,0.2105504,61463,0,25.52884,0
27249,61563698,0,20.12521,100847.8,33.72,0.1925766,61563,0,25.52884,0
27338,61663658,0,20.12521,100847.8,33.72,0.1514953,61663,0,25.52884,0
27427,61763618,0,20.13617,100847.7,33.72,0.1009983,61763,0,25.52884,0
27517,61863578,0,20.13617,100847.7,33.73,0.06590605,61863,0,25.52884,0
27606,61963538,0,20.13617,100847.7,33.73,0.05049944,61963,0,25.52884,0
27697,62063498,0,20.13617,100847.7,33.74,0.03680468,62063,0,25.52884,0
27786,62163458,0,20.13617,100847.7,33.74,0.01711845,62163,0,25.52884,0
27876,62263418,0,20.13617,100847.7,33.74,0.00342369,62263,0,25.52884,0
27969,62363378,0,20.13617,100847.7,33.75,0,62363,0,25.52884,0
28059,62463338,0,20.13617,100847.7,33.75,0,62463,0,25.52884,0
28150,62563298,0,20.13617,100847.7,33.76,0,62563,0,25.52884,0
28239,62664091,0,20.13617,100847.7,33.76,0,62664,0,25.52884,0
28328,62764051,0,20.13617,100847.7,33.77,0,62764,0,25.52884,0
28418,62864011,0,20.13617,100847.7,33.77,0,62864,0,25.52884,0
28507,62963971,0,20.13617,100847.7,33.77,0,62963,0,25.52884,0
28598,63063931,0,20.13617,100847.7,33.78,0,63063,0,25.52884,0
28687,63163891,0,20.13617,100847.7,33.78,0,63163,0,25.52884,0
28777,63263851,0,20.13617,100847.7,33.79,0,63263,0,25.52884,0
28869,63363811,0,20.13617,100847.7,33.79,0,63363,0,25.52884,0
28959,63463771,0,20.13617,100847.7,33.79,0,63463,0,25.52884,0
29050,63563731,0,20.13617,100847.7,33.8,0,63563,0,25.52884,0
29139,63663691,0,20.13617,100847.7,33.8,0,63663,0,25.52884,0
29228,63763651,0,20.13617,100847.7,33.81,0,63763,0,25.52884,0
29318,63863611,0,20.13617,100847.7,33.81,0,63863,0,25.52884,0
29407,63963571,0,20.13617,100847.7,33.81,0,63963,0,25.52884,0
29498,64063531,0,20.13617,100847.7,33.82,0,64063,0,25.52884,0
29587,64163491,0,20.13617,100847.7,33.82,0,64163,0,25.52884,0
29677,64263451,0,20.13617,100847.7,33.83,0,64263,0,25.52884,0
29769,64363411,0,20.14438,100847.6,33.83,0.00256717,64363,0,25.52884,0
29859,64463371,0,20.14438,100847.6,33.83,0.01283586,64463,0,25.52884,0
29950,64563331,0,20.14438,100847.6,33.84,0.02567172,64563,0,25.52884,0
30039,64663291,0,20.14438,100847.6,33.84,0.02567172,64663,0,25.52884,0
30128,64764084,0,20.14438,100847.6,33.85,0.01283159,64764,0,25.52884,0
30218,64864044,0,20.14438,100847.6,33.85,0.0025629,64864,0,25.52884,0
30307,64964004,0,20.14438,100847.6,33.85,0,64964,0,25.52884,0
30398,65063964,0,20.14438,100847.6,33.86,0,65063,0,25.52884,0
30487,65163924,0,20.15534,100847.5,33.86,0.00342369,65163,0,25.52884,0
30577,65263884,0,20.15534,100847.5,33.86,0.01715278,65263,0,25.52884,0
30669,65363844,0,20.15534,100847.5,33.87,0.03436297,65363,0,25.52884,0
30759,65463804,0,20.15534,100847.5,33.87,0.03427695,65463,0,25.52884,0
30850,65563764,0,20.15534,100847.5,33.88,0.01712417,65563,0,25.52884,0
30939,65663724,0,20.15534,100847.5,33.88,0.00342369,65663,0,25.52884,0
31028,65763684,0,20.16903,100847.3,33.88,0.00427961,65763,0,25.52884,0
31118,65863644,0,20.16903,100847.3,33.89,0.02139807,65863,0,25.52884,0
31207,65963604,0,20.16903,100847.3,33.89,0.04279613,65963,0,25.52884,0
31298,66063564,0,20.16903,100847.3,33.89,0.04279613,66063,0,25.52884,0
31387,66163524,0,20.16903,100847.3,33.9,0.02139807,66163,0,25.52884,0
31477,66263484,0,20.17999,100847.2,33.9,0.0077033,66263,0,25.52884,0
31568,66363444,0,20.17999,100847.2,33.91,0.01711845,66363,0,25.52884,0
31660,66463404,0,20.17999,100847.2,33.91,0.03423691,66463,0,25.52884,0
31751,66563364,0,20.17999,100847.2,33.91,0.03423691,66563,0,25.52884,0
31840,66663324,0,20.17999,100847.2,33.92,0.01711845,66663,0,25.52884,0
31929,66763284,0,20.18821,100847.1,33.92,0.00599146,66763,0,25.52884,0
32018,66864077,0,20.18821,100847.1,33.92,0.01283457,66864,0,25.52884,0
32108,66964037,0,20.18821,100847.1,33.93,0.0256478,66964,0,25.52884,0
32199,67063997,0,20.18821,100847.1,33.93,0.02558819,67063,0,25.52884,0
32288,67163957,0,20.18821,100847.1,33.93,0.01283884,67163,0,25.52884,0
32378,67263917,0,20.19916,100847,33.94,0.00599146,67263,0,25.52884,0
32469,67363877,0,20.19916,100847,33.94,0.01715278,67363,0,25.52884,0
32560,67463837,0,20.19916,100847,33.94,0.03427695,67463,0,25.52884,0
32651,67563797,0,20.19916,100847,33.95,0.03424263,67563,0,25.52884,0
32740,67663757,0,20.19916,100847,33.95,0.01711845,67663,0,25.52884,0
32829,67763717,0,20.21012,100846.8,33.96,0.00684679,67763,0,25.52884,0
32918,67863677,0,20.21012,100846.8,33.96,0.01711547,67863,0,25.52884,0
33008,67963637,0,20.21012,100846.8,33.96,0.03423095,67963,0,25.52884,0
33099,68063597,0,20.21012,100846.8,33.97,0.03423095,68063,0,25.52884,0
33188,68163557,0,20.21012,100846.8,33.97,0.01711547,68163,0,25.52884,0
33278,68263517,0,20.21012,100846.8,33.97,0.0034231,68263,0,25.52884,0
33369,68363477,0,20.21012,100846.8,33.98,0,68363,0,25.52884,0
33460,68463437,0,20.21833,100846.8,33.98,0.00256777,68463,0,25.52884,0
33551,68563397,0,20.21833,100846.8,33.98,0.01283884,68563,0,25.52884,0
33640,68663357,0,20.21833,100846.8,33.99,0.02567768,68663,0,25.52884,0
33729,68763317,0,20.21833,100846.8,33.99,0.02567768,68763,0,25.52884,0
33818,68863277,0,20.21833,100846.8,33.99,0.01283884,68863,0,25.52884,0
33908,68964070,0,20.21833,100846.8,34,0.0025635,68964,0,25.52884,0
33999,69064030,0,20.22929,100846.6,34,0.00341799,69064,0,25.52884,0
