LineNo,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,labels
19193,52603950,0,6,547702600,2232,10,1.21,-35.3632835,149.1630607,23.35,0.006,305.0687,-1.762,0,1,0
19372,52803870,0,6,547702800,2232,10,1.21,-35.3632835,149.1630606,23.71,0.009,245.9609,-1.853,0,1,0
19552,53003790,0,6,547703000,2232,10,1.21,-35.3632835,149.1630606,24.09,0.013,258.899,-1.93,0,1,0
19731,53203710,0,6,547703200,2232,10,1.21,-35.3632835,149.1630606,24.48,0.015,264.2819,-1.988,0,1,0
19913,53403630,0,6,547703400,2232,10,1.21,-35.3632835,149.1630605,24.89,0.015,255.9636,-2.027,0,1,0
20094,53603550,0,6,547703600,2232,10,1.21,-35.3632835,149.1630605,25.29,0.013,239.4768,-2.038,0,1,0
20273,53803470,0,6,547703800,2232,10,1.21,-35.3632835,149.1630605,25.7,0.01,216.6631,-2.041,0,1,0
20453,54003390,0,6,547704000,2232,10,1.21,-35.3632835,149.1630605,26.11,0.008,185.1157,-2.045,0,1,0
20632,54203310,0,6,547704200,2232,10,1.21,-35.3632835,149.1630605,26.52,0.016,170.3384,-2.053,0,1,0
20814,54404063,0,6,547704400,2232,10,1.21,-35.3632835,149.1630605,26.93,0.023,164.798,-2.063,0,1,0
20995,54603983,0,6,547704600,2232,10,1.21,-35.3632835,149.1630605,27.35,0.023,142.2587,-2.079,0,1,0
21174,54803903,0,6,547704800,2232,10,1.21,-35.3632835,149.1630605,27.76,0.034,131.3141,-2.097,0,1,0
21354,55003823,0,6,547705000,2232,10,1.21,-35.3632836,149.1630605,28.19,0.032,113.4774,-2.116,0,1,0
21533,55203743,0,6,547705200,2232,10,1.21,-35.3632836,149.1630605,28.61,0.024,100.6138,-2.136,0,1,0
21715,55403663,0,6,547705400,2232,10,1.21,-35.3632836,149.1630606,29.04,0.027,93.50745,-2.155,0,1,0
21896,55603583,0,6,547705600,2232,10,1.21,-35.3632836,149.1630606,29.47,0.024,89.11799,-2.174,0,1,0
22075,55803503,0,6,547705800,2232,10,1.21,-35.3632836,149.1630607,29.91,0.019,105.3448,-2.188,0,1,0
22255,56003423,0,6,547706000,2232,10,1.21,-35.3632836,149.1630607,30.35,0.015,98.6803,-2.207,0,1,0
22435,56203343,0,6,547706200,2232,10,1.21,-35.3632836,149.1630607,30.79,0.013,89.27119,-2.223,0,1,0
22617,56403263,0,6,547706400,2232,10,1.21,-35.3632836,149.1630607,31.24,0.013,94.43909,-2.237,0,1,0
22798,56604016,0,6,547706600,2232,10,1.21,-35.3632836,149.1630607,31.69,0.013,79.35561,-2.25,0,1,0
22977,56803936,0,6,547706800,2232,10,1.21,-35.3632836,149.1630607,32.14,0.024,68.22059,-2.259,0,1,0
23157,57003856,0,6,547707000,2232,10,1.21,-35.3632836,149.1630607,32.59,0.022,53.59215,-2.27,0,1,0
23336,57203776,0,6,547707200,2232,10,1.21,-35.3632836,149.1630609,33.05,0.015,45.54475,-2.277,0,1,0
23518,57403696,0,6,547707400,2232,10,1.21,-35.3632836,149.1630609,33.5,0.01,23.78085,-2.286,0,1,0
23699,57603616,0,6,547707600,2232,10,1.21,-35.3632836,149.1630609,33.96,0.008,351.3448,-2.294,0,1,0
23878,57803536,0,6,547707800,2232,10,1.21,-35.3632836,149.1630609,34.42,0.009,324.527,-2.302,0,1,0
24058,58003456,0,6,547708000,2232,10,1.21,-35.3632836,149.1630609,34.88,0.023,312.0075,-2.312,0,1,0
24237,58203376,0,6,547708200,2232,10,1.21,-35.3632836,149.1630609,35.34,0.024,315.5909,-2.319,0,1,0
24419,58403296,0,6,547708400,2232,10,1.21,-35.3632836,149.1630607,35.81,0.022,315.7594,-2.326,0,1,0
24600,58604049,0,6,547708600,2232,10,1.21,-35.3632836,149.1630607,36.27,0.023,311.4456,-2.312,0,1,0
24779,58803969,0,6,547708800,2232,10,1.21,-35.3632835,149.1630607,36.73,0.022,310.8462,-2.262,0,1,0
24959,59003889,0,6,547709000,2232,10,1.21,-35.3632835,149.1630607,37.18,0.02,307.3734,-2.174,0,1,0
25138,59203809,0,6,547709200,2232,10,1.21,-35.3632835,149.1630607,37.6,0.015,296.112,-2.038,0,1,0
25320,59403729,0,6,547709400,2232,10,1.21,-35.3632835,149.1630606,37.99,0.011,294.9299,-1.861,0,1,0
25501,59603649,0,6,547709600,2232,10,1.21,-35.3632835,149.1630606,38.34,0.012,313.0836,-1.652,0,1,0
25679,59803569,0,6,547709800,2232,10,1.21,-35.3632835,149.1630606,38.65,0.01,312.3613,-1.436,0,1,0
25860,60003489,0,6,547710000,2232,10,1.21,-35.3632835,149.1630606,38.91,0.017,301.7521,-1.223,0,1,0
26039,60203409,0,6,547710200,2232,10,1.21,-35.3632835,149.1630605,39.14,0.017,308.668,-1.013,0,1,0
26220,60403329,0,6,547710400,2232,10,1.21,-35.3632835,149.1630605,39.32,0.013,315.1963,-0.809,0,1,0
26403,60604082,0,6,547710600,2232,10,1.21,-35.3632835,149.1630605,39.46,0.014,322.4264,-0.61,0,1,0
26581,60804002,0,6,547710800,2232,10,1.21,-35.3632835,149.1630605,39.57,0.011,298.3301,-0.443,0,1,0
26762,61003922,0,6,547711000,2232,10,1.21,-35.3632835,149.1630604,39.64,0.051,194.1679,-0.35,0,1,0
26941,61203842,0,6,547711200,2232,10,1.21,-35.3632835,149.1630604,39.71,0.101,184.8386,-0.262,0,1,0
27125,61403762,0,6,547711400,2232,10,1.21,-35.3632838,149.1630604,39.75,0.127,185.3757,-0.182,0,1,0
27306,61603682,0,6,547711600,2232,10,1.21,-35.363284,149.1630602,39.78,0.136,186.8463,-0.116,0,1,0
27484,61803602,0,6,547711800,2232,10,1.21,-35.3632842,149.1630602,39.8,0.14,191.4362,-0.06500001,0,1,0
27665,62003522,0,6,547712000,2232,10,1.21,-35.3632845,149.1630602,39.81,0.136,191.2493,-0.029,0,1,0
27844,62203442,0,6,547712200,2232,10,1.21,-35.3632847,149.1630602,39.81,0.131,188.3381,-0.009,0,1,0
28026,62403362,0,6,547712400,2232,10,1.21,-35.363285,149.1630601,39.81,0.12,193.5662,0.002,0,1,0
28207,62603282,0,6,547712600,2232,10,1.21,-35.3632852,149.1630601,39.81,0.113,200.4844,0.005,0,1,0
28385,62804035,0,6,547712800,2232,10,1.21,-35.3632853,149.16306,39.81,0.1,206.9174,0.005,0,1,0
28566,63003955,0,6,547713000,2232,10,1.21,-35.3632856,149.1630598,39.81,0.089,210.9913,0.003,0,1,0
28745,63203875,0,6,547713200,2232,10,1.21,-35.3632857,149.1630597,39.81,0.07300001,216.7713,0,0,1,0
28926,63403795,0,6,547713400,2232,10,1.21,-35.3632858,149.1630597,39.81,0.062,224.9696,0,0,1,0
29107,63603715,0,6,547713600,2232,10,1.21,-35.3632859,149.1630596,39.81,0.059,236.9446,-0.001,0,1,0
29285,63803635,0,6,547713800,2232,10,1.21,-35.3632859,149.1630593,39.81,0.055,246.3845,-0.004,0,1,0
29466,64003555,0,6,547714000,2232,10,1.21,-35.3632859,149.1630592,39.81,0.055,255.7016,-0.006,0,1,0
29645,64203475,0,6,547714200,2232,10,1.21,-35.3632859,149.1630592,39.81,0.044,267.7803,-0.008,0,1,0
29826,64403395,0,6,547714400,2232,10,1.21,-35.3632859,149.1630591,39.81,0.037,276.8445,-0.01,0,1,0
30007,64603315,0,6,547714600,2232,10,1.21,-35.3632859,149.1630591,39.82,0.034,279.7475,-0.01,0,1,0
30185,64804068,0,6,547714800,2232,10,1.21,-35.3632859,149.163059,39.82,0.032,287.7923,-0.011,0,1,0
30366,65003988,0,6,547715000,2232,10,1.21,-35.3632859,149.1630588,39.82,0.025,291.1138,-0.014,0,1,0
30545,65203908,0,6,547715200,2232,10,1.21,-35.3632859,149.1630588,39.82,0.019,307.7281,-0.015,0,1,0
30726,65403828,0,6,547715400,2232,10,1.21,-35.3632859,149.1630588,39.83,0.01,303.603,-0.017,0,1,0
30907,65603748,0,6,547715600,2232,10,1.21,-35.3632859,149.1630588,39.83,0.003,301.2434,-0.016,0,1,0
31085,65803668,0,6,547715800,2232,10,1.21,-35.3632859,149.1630588,39.83,0.003,141.4843,-0.017,0,1,0
31266,66003588,0,6,547716000,2232,10,1.21,-35.3632859,149.1630588,39.84,0.011,126.344,-0.018,0,1,0
31445,66203508,0,6,547716200,2232,10,1.21,-35.3632859,149.1630588,39.84,0.006,157.9303,-0.019,0,1,0
31627,66403428,0,6,547716400,2232,10,1.21,-35.3632859,149.1630588,39.84,0.005,169.688,-0.019,0,1,0
31808,66603348,0,6,547716600,2232,10,1.21,-35.3632859,149.1630588,39.85,0.005,166.8137,-0.019,0,1,0
31986,66803268,0,6,547716800,2232,10,1.21,-35.3632859,149.1630588,39.85,0.005,156.7771,-0.019,0,1,0
32167,67004021,0,6,547717000,2232,10,1.21,-35.3632859,149.1630588,39.86,0.006,114.1629,-0.019,0,1,0
32346,67203941,0,6,547717200,2232,10,1.21,-35.3632859,149.1630588,39.86,0.009,128.718,-0.021,0,1,0
32527,67403861,0,6,547717400,2232,10,1.21,-35.3632859,149.1630588,39.86,0.009,112.9154,-0.02,0,1,0
32708,67603781,0,6,547717600,2232,10,1.21,-35.3632859,149.1630588,39.87,0.008,106.8501,-0.019,0,1,0
32886,67803701,0,6,547717800,2232,10,1.21,-35.363286,149.1630588,39.87,0.009,127.7548,-0.017,0,1,0
33067,68003621,0,6,547718000,2232,10,1.21,-35.363286,149.1630588,39.88,0.009,144.3336,-0.016,0,1,0
33246,68203541,0,6,547718200,2232,10,1.21,-35.363286,149.1630588,39.88,0.014,134.2945,-0.014,0,1,0
33427,68403461,0,6,547718400,2232,10,1.21,-35.363286,149.163059,39.88,0.024,151.3746,-0.016,0,1,0
33608,68603381,0,6,547718600,2232,10,1.21,-35.3632862,149.163059,39.89,0.02,148.8108,-0.016,0,1,0
33786,68803301,0,6,547718800,2232,10,1.21,-35.3632862,149.163059,39.89,0.017,137.7679,-0.016,0,1,0
33967,69004054,0,6,547719000,2232,10,1.21,-35.3632862,149.1630591,39.89,0.011,141.2096,-0.017,0,1,0
34146,69203974,0,6,547719200,2232,10,1.21,-35.3632862,149.1630591,39.9,0.007,141.9204,-0.017,0,1,0
34327,69403894,0,6,547719400,2232,10,1.21,-35.3632862,149.1630591,39.9,0.005,166.6123,-0.017,0,1,0
34508,69603814,0,6,547719600,2232,10,1.21,-35.3632863,149.1630591,39.9,0.001,288.5524,-0.017,0,1,0
34686,69803734,0,6,547719800,2232,10,1.21,-35.3632862,149.1630591,39.91,0.008,338.1296,-0.015,0,1,0
34867,70003654,0,6,547720000,2232,10,1.21,-35.3632862,149.1630591,39.91,0.009,312.9073,-0.013,0,1,0
35046,70203574,0,6,547720200,2232,10,1.21,-35.3632862,149.1630591,39.91,0.012,308.1148,-0.01,0,1,0
35227,70403494,0,6,547720400,2232,10,1.21,-35.3632862,149.1630591,39.91,0.013,327.3718,-0.01,0,1,0
35408,70603414,0,6,547720600,2232,10,1.21,-35.3632862,149.1630591,39.92,0.013,342.7102,-0.011,0,1,0
35586,70803334,0,6,547720800,2232,10,1.21,-35.3632862,149.1630591,39.92,0.006,337.5567,-0.01,0,1,0
35767,71004087,0,6,547721000,2232,10,1.21,-35.3632862,149.1630591,39.92,0.007,308.9926,-0.01,0,1,0
35946,71204007,0,6,547721200,2232,10,1.21,-35.3632862,149.1630591,39.92,0.01,303.8559,-0.009,0,1,0
36126,71403927,0,6,547721400,2232,10,1.21,-35.3632862,149.1630591,39.92,0.009,303.0409,-0.011,0,1,0
36309,71603847,0,6,547721600,2232,10,1.21,-35.3632862,149.1630591,39.93,0.011,286.5512,-0.011,0,1,0
36487,71803767,0,6,547721800,2232,10,1.21,-35.3632862,149.1630591,39.93,0.014,288.9345,-0.013,0,1,0
36668,72003687,0,6,547722000,2232,10,1.21,-35.3632862,149.1630591,39.93,0.016,283.806,-0.01,0,1,0
36847,72203607,0,6,547722200,2232,10,1.21,-35.3632862,149.1630591,39.93,0.01,290.0256,-0.012,0,1,0
37029,72403527,0,6,547722400,2232,10,1.21,-35.3632862,149.163059,39.94,0.016,297.9862,-0.009,0,1,0
37211,72603447,0,6,547722600,2232,10,1.21,-35.3632862,149.163059,39.94,0.025,303.8013,-0.009,0,1,0
37389,72803367,0,6,547722800,2232,10,1.21,-35.363286,149.163059,39.94,0.059,330.3831,0.043,0,1,0
37570,73003287,0,6,547723000,2232,10,1.21,-35.3632859,149.1630587,39.92,0.27,332.5269,0.103,0,1,0
37749,73204040,0,6,547723200,2232,10,1.21,-35.3632852,149.1630583,39.9,0.707,330.1319,0.13,0,1,0
37929,73403960,0,6,547723400,2232,10,1.21,-35.3632836,149.1630572,39.87,1.25,328.8152,0.132,0,1,0
38111,73603880,0,6,547723600,2232,10,1.21,-35.3632813,149.1630554,39.84,1.792,328.902,0.121,0,1,0
38289,73803800,0,6,547723800,2232,10,1.21,-35.363278,149.1630532,39.82,2.321,329.2339,0.103,0,1,0
38470,74003720,0,6,547724000,2232,10,1.21,-35.3632742,149.1630502,39.8,2.835,329.6361,0.083,0,1,0
38650,74203640,0,6,547724200,2232,10,1.21,-35.3632693,149.1630468,39.79,3.35,330.1379,0.07,0,1,0
38830,74403560,0,6,547724400,2232,10,1.21,-35.3632637,149.1630429,39.77,3.814,330.3778,0.057,0,1,0
39012,74603480,0,6,547724600,2232,10,1.21,-35.3632574,149.1630386,39.76,4.086,330.4446,0.045,0,1,0
39191,74803400,0,6,547724800,2232,10,1.21,-35.3632511,149.1630342,39.76,4.128,330.544,0.035,0,1,0
39372,75003320,0,6,547725000,2232,10,1.21,-35.3632446,149.1630298,39.75,3.957,330.5142,0.031,0,1,0
39551,75204073,0,6,547725200,2232,10,1.21,-35.3632386,149.1630256,39.74,3.672,330.3701,0.025,0,1,0
39731,75403993,0,6,547725400,2232,10,1.21,-35.3632331,149.1630218,39.74,3.376,330.1117,0.016,0,1,0
39914,75603913,0,6,547725600,2232,10,1.21,-35.3632282,149.1630181,39.74,3.074,329.65,0.004,0,1,0
40092,75803833,0,6,547725800,2232,10,1.21,-35.3632237,149.163015,39.74,2.776,329.2301,-0.006,0,1,0
40273,76003753,0,6,547726000,2232,10,1.21,-35.3632197,149.1630119,39.74,2.476,328.8747,-0.015,0,1,0
40452,76203673,0,6,547726200,2232,10,1.21,-35.363216,149.1630093,39.74,2.191,328.6342,-0.021,0,1,0
40632,76403593,0,6,547726400,2232,10,1.21,-35.3632129,149.163007,39.75,1.915,328.2536,-0.023,0,1,0
40816,76603513,0,6,547726600,2232,10,1.21,-35.3632102,149.1630049,39.75,1.659,328.3349,-0.021,0,1,0
40994,76803433,0,6,547726800,2232,10,1.21,-35.3632078,149.1630031,39.76,1.42,328.4149,-0.021,0,1,0
41175,77003353,0,6,547727000,2232,10,1.21,-35.3632057,149.1630016,39.76,1.207,328.4329,-0.019,0,1,0
41354,77203273,0,6,547727200,2232,10,1.21,-35.3632041,149.1630003,39.77,1.018,328.3552,-0.017,0,1,0
41535,77404026,0,6,547727400,2232,10,1.21,-35.3632026,149.1629993,39.77,0.844,328.195,-0.014,0,1,0
41717,77603946,0,6,547727600,2232,10,1.21,-35.3632014,149.1629984,39.77,0.689,328.6957,-0.012,0,1,0
41895,77803866,0,6,547727800,2232,10,1.21,-35.3632005,149.1629977,39.77,0.613,330.5809,-0.013,0,1,0
42076,78003786,0,6,547728000,2232,10,1.21,-35.3631995,149.162997,39.78,0.7460001,330.8498,-0.014,0,1,0
42255,78203706,0,6,547728200,2232,10,1.21,-35.3631981,149.162996,39.78,1.102,330.0703,-0.014,0,1,0
42435,78403626,0,6,547728400,2232,10,1.21,-35.3631959,149.1629945,39.78,1.62,329.0702,-0.014,0,1,0
42618,78603546,0,6,547728600,2232,10,1.21,-35.363193,149.1629922,39.79,2.154,328.575,-0.014,0,1,0
42796,78803466,0,6,547728800,2232,10,1.21,-35.3631893,149.1629894,39.79,2.685,328.5126,-0.012,0,1,0
42977,79003386,0,6,547729000,2232,10,1.21,-35.3631848,149.1629862,39.79,3.206,328.424,-0.01,0,1,0
43155,79203306,0,6,547729200,2232,10,1.21,-35.3631795,149.1629821,39.79,3.679,328.1072,-0.01,0,1,0
43336,79404059,0,6,547729400,2232,10,1.21,-35.3631737,149.1629776,39.79,3.965,327.729,-0.007,0,1,0
43519,79603979,0,6,547729600,2232,10,1.21,-35.3631676,149.1629729,39.79,4.034,327.5456,0,0,1,0
