LineNo,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip,labels,labels
428659,508364073,0,0.00291224,0.00300671,0.00288398,0,4,0
425880,505063727,0,0.00949225,0.01120962,0.1379179,0,4,0
414083,491963969,0,0.1277876,0.1274754,0.1614783,0,4,0
382139,456464008,0,0.1356345,0.1581843,0.2304104,0,4,0
343960,414063475,0,0.1201416,0.1146905,0.1842093,0,0,0
130196,176463553,0,0.1895861,0.1233698,0.2802047,0,0,0
22501,56263319,0,0.1316416,0.1160609,0.200095,0,0,0
126412,172263567,0,0.1463488,0.1427295,0.2377208,0,0,0
291716,355963391,0,0.2796489,0.4402626,0.9730779,0,3,0
86957,127963794,0,0.1744379,0.1432268,0.2524471,0,1,0
342970,412963915,0,0.1436693,0.114252,0.1836934,0,0,0
433721,514764012,0,0.00269499,0.00259107,0.00274128,0,4,0
241201,299863340,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
2697,16563372,0,0.00278614,0.00287125,0.00290265,0,0,0
138210,185363325,0,0.1549186,0.1255403,0.2481599,0,0,0
359980,431863852,0,0.1071347,0.1126771,0.1524587,0,0,0
13311,45963274,0,0.00259845,0.00282601,0.00310877,0,0,0
90604,132063820,0,0.2293885,0.1508549,0.3635528,0,1,0
136049,182963452,0,0.1642637,0.1228031,0.2713071,0,0,0
166103,216363420,0,0.1104239,0.1243446,0.1938455,0,0,0
418587,496963635,0,0.1105517,0.1124709,0.1446718,0,4,0
119336,164363395,0,0.1473983,0.1224469,0.250282,0,1,0
174208,225363985,0,0.1342914,0.1253587,0.1786006,0,0,0
73874,113263843,0,0.1420605,0.1250736,0.2051905,0,1,0
19798,53263686,0,0.1268627,0.1341921,0.1418088,0,0,0
392214,467663693,0,0.1124548,0.1273827,0.1582227,0,4,0
152331,201063709,0,0.1585709,0.1184639,0.228235,0,0,0
198043,251863381,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
227448,284563629,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
237959,296263947,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
94339,136263806,0,0.2536893,0.1497939,0.3878663,0,1,0
306766,372763335,0,0.07652628,0.07840855,0.00286453,0,3,0
123261,168763301,0,0.1632643,0.1458054,0.3652676,0,0,0
310728,377164074,0,0.07854915,0.07763098,0.00261412,0,3,0
398778,474963272,0,0.1250857,0.1164743,0.1561936,0,4,0
197143,250863781,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
273072,335263341,0,0.1172601,0.1087483,0.1591277,0,0,0
6466,21263991,0,0.00276038,0.00281468,0.00274636,0,0,0
260471,321263943,0,0.1172164,0.1130602,0.1782089,0,0,0
343330,413363755,0,0.124221,0.1007523,0.1454286,0,0,0
306855,372863295,0,0.07029137,0.07737328,0.00284797,0,3,0
278478,341263440,0,0.1294486,0.1242937,0.2078779,0,0,0
245519,304663919,0,6.00E-07,6.00E-07,6.00E-07,0,0,0
155665,204763895,0,0.1610629,0.1321268,0.2713571,0,0,0
231759,289363375,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
358900,430663499,0,0.1347299,0.1319332,0.2283331,0,0,0
155215,204263262,0,0.1528405,0.1210228,0.2398719,0,0,0
344322,414463315,0,0.1225854,0.1192643,0.1906169,0,0,0
436430,518063525,0,0.00258449,0.00306606,0.00298761,0,4,0
401031,477463938,0,0.1033176,0.09290022,0.1314904,0,4,0
309108,375363961,0,0.07803743,0.07946029,0.00300078,0,3,0
342878,412863955,0,0.1211584,0.1093905,0.1764145,0,0,0
350714,421563807,0,0.1108445,0.1149259,0.1706468,0,0,0
20069,53563566,0,0.1174903,0.120718,0.1859334,0,0,0
87222,128263674,0,0.1632214,0.1340504,0.2263348,0,1,0
366555,439163431,0,0.1285156,0.1191832,0.183137,0,0,0
375294,448863716,0,0.1268549,0.1211757,0.2003716,0,4,0
182585,234663597,0,6.00E-07,6.00E-07,6.00E-07,0,0,0
51516,88463767,0,0.1336201,0.1290867,0.1997705,0,0,0
251013,310763978,0,0.1097511,0.1165592,0.2017097,0,0,0
262091,323064056,0,0.1209526,0.1076102,0.1667461,0,0,0
363405,435663998,0,0.1244689,0.1253465,0.19952,0,0,0
47367,83863941,0,0.1265496,0.1284523,0.1890746,0,0,0
20788,54364079,0,0.1240892,0.1288467,0.1644137,0,0,0
272711,334863501,0,0.1254313,0.1132802,0.1949525,0,0,0
345401,415663668,0,0.1141106,0.1165317,0.1585212,0,0,0
31961,66763284,0,0.1090855,0.1215841,0.1473705,0,0,0
383754,458263288,0,0.1321834,0.1453112,0.2408502,0,4,0
76011,115663716,0,0.1105041,0.1098517,0.1285581,0,1,0
381239,455463575,0,0.1359629,0.1435359,0.2903695,0,4,0
132447,178963386,0,0.1593724,0.124269,0.254574,0,0,0
255696,315963564,0,0.1219816,0.1172318,0.1807306,0,0,0
143787,191563344,0,0.1812659,0.1301249,0.28648,0,0,0
27100,61363778,0,0.1027581,0.1119814,0.1424594,0,0,0
152070,200763829,0,0.1596168,0.1279437,0.2659005,0,0,0
15199,48164060,0,0.00261697,0.00282913,0.00300716,0,0,0
415073,493063529,0,0.1002919,0.1166589,0.1560026,0,4,0
28093,62463338,0,0.1225061,0.1073333,0.164334,0,0,0
352426,423463880,0,0.114312,0.1269441,0.165574,0,0,0
274604,336963494,0,0.1422997,0.128778,0.2083129,0,0,0
258847,319463830,0,0.1102868,0.1252385,0.166216,0,0,0
397157,473163992,0,0.1179171,0.1167878,0.1927219,0,4,0
349814,420563374,0,0.1287839,0.1216003,0.2006492,0,0,0
409853,487263350,0,0.1216988,0.1347489,0.1385323,0,4,0
273432,335664014,0,0.1176641,0.1146516,0.1994378,0,0,0
371063,444163930,0,0.1147424,0.1134802,0.1742737,0,0,0
99587,142163945,0,0.1871358,0.1371253,0.3406109,0,1,0
211446,266764085,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
216473,272363511,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
186625,239163463,0,6.00E-07,6.00E-07,6.00E-07,0,0,0
187893,240563736,0,6.00E-07,6.00E-07,6.00E-07,0,0,0
397968,474063632,0,0.1048961,0.1186032,0.1400932,0,4,0
105547,148863764,0,0.1543941,0.1336834,0.2477157,0,1,0
97631,139963992,0,0.221194,0.1310812,0.3492559,0,1,0
175109,226363585,0,0.11646,0.1112903,0.1717535,0,0,0
420207,498763748,0,0.1169983,0.109998,0.1482864,0,4,0
435037,516363372,0,0.00290462,0.00306236,0.00286345,0,4,0
163400,213363787,0,0.1040237,0.1245461,0.1738487,0,0,0
210726,265963572,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
145137,193063577,0,0.1712611,0.1408109,0.2809635,0,0,0
2136,15863652,0,0.00300009,0.00281038,0.00293165,0,0,0
70900,109963497,0,0.119815,0.1198247,0.1758415,0,1,0
340539,410263329,0,0.1325195,0.1099822,0.2274142,0,0,0
98697,141163512,0,0.2044308,0.1418164,0.3321325,0,1,0
173489,224563472,0,0.1163391,0.1126781,0.1931898,0,0,0
267939,329563955,0,0.1208958,0.1127783,0.183385,0,0,0
103501,146563851,0,0.1407093,0.1319854,0.2612501,0,1,0
174749,225963745,0,0.1090574,0.114591,0.1287446,0,0,0
356468,427963746,0,0.1234022,0.117158,0.1483374,0,0,0
313427,380163707,0,0.07384875,0.08341067,0.00294578,0,3,0
82773,123264008,0,0.1422336,0.1307149,0.248781,0,1,0
306407,372363495,0,0.07983963,0.08264789,0.00286374,0,3,0
432295,512963899,0,0.00291182,0.00257008,0.00272285,0,4,0
232930,290663688,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
10548,26363617,0,0.00280527,0.00262684,0.00271349,0,0,0
150089,198563876,0,0.1717995,0.1413539,0.2664606,0,0,0
139013,186263798,0,0.1427502,0.1214873,0.2665738,0,0,0
54578,91864073,0,0.1212585,0.1123805,0.1608454,0,0,0
278926,341764073,0,0.12148,0.1167684,0.2168994,0,0,0
299748,364963956,0,0.08083394,0.07520202,0.0030879,0,3,0
262181,323164016,0,0.1242517,0.1041184,0.1937305,0,0,0
425700,504863807,0,0.02531802,0.03213334,0.3231317,0,4,0
310099,376463521,0,0.08369551,0.07772118,0.00305914,0,3,0
430792,511063826,0,0.00276534,0.00304493,0.00302929,0,4,0
366195,438763591,0,0.1173124,0.1157768,0.1690752,0,0,0
294299,358863897,0,4.269823,1.755507,1.564766,0,3,0
135957,182863492,0,0.1769937,0.132575,0.2945865,0,0,0
436022,517563725,0,0.00282414,0.00283187,0.00282456,0,4,0
286219,349863332,0,0.1174625,0.1117788,0.1537861,0,0,0
43583,79663955,0,0.116306,0.1126075,0.1736705,0,0,0
39436,75063296,0,0.1218931,0.1128527,0.1794353,0,0,0
267850,329463995,0,0.1151209,0.1140931,0.2038461,0,0,0
407242,484363677,0,0.1143291,0.1185324,0.1556356,0,4,0
258126,318663317,0,0.1093455,0.1127527,0.1572922,0,0,0
191751,244863682,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
224751,281563996,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
409671,487063430,0,0.1204897,0.1127482,0.1676512,0,4,0
300109,365363796,0,0.08131669,0.08212158,0.00321106,0,3,0
309378,375663841,0,0.0799251,0.08280161,0.00278597,0,3,0
296528,361363730,0,0.07323496,0.07879499,0.00336525,0,3,0
418139,496463835,0,0.1238973,0.1260461,0.1526457,0,4,0
3498,17563805,0,0.00287375,0.00287799,0.00262256,0,0,0
426963,506264080,0,0.00324349,0.00299422,0.00298439,0,4,0
211086,266363412,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
113466,157763536,0,0.1326776,0.1292607,0.2607633,0,1,0
201641,255863447,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
124701,170363494,0,0.1350283,0.1188031,0.2205283,0,0,0
257136,317563757,0,0.1204173,0.1110447,0.1681571,0,0,0
64318,102663918,0,0.1206772,0.1169764,0.1935973,0,0,0
58998,96763779,0,0.1108891,0.1182355,0.1570776,0,0,0
11105,27063337,0,0.00279158,0.00263189,0.00274081,0,0,0
419217,497663355,0,0.1227282,0.1162792,0.1666442,0,4,0
240572,299163620,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
116578,161263802,0,0.1583871,0.1426163,0.2737189,0,1,0
61523,99563492,0,0.1102533,0.1055201,0.1740942,0,0,0
39525,75164089,0,0.1185448,0.1062371,0.1648758,0,0,0
410753,488263783,0,0.1088891,0.1189446,0.1474496,0,4,0
24212,58163392,0,0.1289148,0.1256682,0.2036474,0,0,0
11427,27464010,0,0.00265049,0.0028205,0.00267499,0,0,0
122541,167963621,0,0.1939307,0.130923,0.2615983,0,1,0
248673,308163352,0,0.1195975,0.123046,0.1821969,0,0,0
359169,430963379,0,0.1152985,0.1198659,0.2018225,0,0,0
145406,193363457,0,0.1608807,0.1462197,0.2934764,0,0,0
291892,356163311,0,10.90132,2.97731,3.266761,0,3,0
297424,362363330,0,0.08712297,0.08303511,0.00280767,0,3,0
42321,78263682,0,0.1267273,0.1161148,0.1933861,0,0,0
262630,323663816,0,0.1142364,0.1202194,0.1748024,0,0,0
125782,171563847,0,0.1314975,0.1312675,0.2015124,0,0,0
283251,346563819,0,0.1152213,0.1351843,0.2031507,0,0,0
389063,464163427,0,0.1282997,0.165981,0.2429575,0,4,0
349363,420063574,0,0.1392661,0.1064756,0.2105344,0,0,0
149728,198164036,0,0.1636406,0.1384073,0.2676202,0,0,0
102434,145363498,0,0.1793629,0.1413079,0.2990283,0,1,0
136408,183363292,0,0.1567596,0.1278684,0.2431585,0,0,0
327118,395363458,0,0.09983073,0.1061157,0.00280198,0,3,0
407961,485163357,0,0.1226898,0.1224561,0.1599593,0,4,0
365115,437564071,0,0.1095259,0.1183393,0.1805017,0,0,0
111865,155963423,0,0.149724,0.1233929,0.2518302,0,1,0
210276,265463772,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
307666,373763768,0,0.07492236,0.07343155,0.0027544,0,3,0
63415,101663485,0,0.1108683,0.1166012,0.1791085,0,0,0
221068,277463970,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
85265,126063721,0,0.1669304,0.1312969,0.2061096,0,1,0
279918,342863633,0,0.1183794,0.1130463,0.1662871,0,0,0
370525,443563337,0,0.1107666,0.1128515,0.1895068,0,0,0
368356,441163464,0,0.1235469,0.1121776,0.1505151,0,0,0
150359,198863756,0,0.169887,0.1309733,0.2368905,0,0,0
369438,442363817,0,0.1165688,0.128023,0.1878438,0,0,0
44305,80463635,0,0.1135081,0.1167091,0.1442221,0,0,0
104303,147463491,0,0.1538783,0.1272355,0.2878884,0,1,0
79392,119463862,0,0.1054994,0.12719,0.1958883,0,1,0
282618,345863266,0,0.1275351,0.1179694,0.1613537,0,0,0
170965,221763759,0,0.109149,0.1117263,0.1636018,0,0,0
365294,437763991,0,0.1185516,0.120941,0.1579948,0,0,0
261820,322763343,0,0.1138761,0.1151282,0.1575809,0,0,0
402111,478663458,0,0.1134958,0.1159899,0.1987702,0,4,0
234546,292463801,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
118359,163263835,0,0.1527266,0.1339253,0.270964,0,1,0
235354,293363441,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
8226,23463944,0,0.00274246,0.00304726,0.00245643,0,0,0
68738,107563624,0,0.1092254,0.1062175,0.1435173,0,1,0
143515,191263464,0,0.1579594,0.1371659,0.2822038,0,0,0
282260,345463426,0,0.1247216,0.1152854,0.146704,0,0,0
401569,478063698,0,0.115892,0.1157697,0.1410085,0,4,0
361693,433763925,0,0.113782,0.1078496,0.1693396,0,0,0
342789,412763995,0,0.1227931,0.1174444,0.215129,0,0,0
58366,96064059,0,0.1230114,0.1111534,0.1652955,0,0,0
75122,114663283,0,0.1110672,0.1017235,0.1696609,0,1,0
329731,398263964,0,0.220798,0.2220762,1.396817,0,3,0
312438,379063314,0,0.08521659,0.08299141,0.00282146,0,3,0
418407,496763715,0,0.1078921,0.1106893,0.1360895,0,4,0
202538,256863880,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
59900,97763379,0,0.1246026,0.1126908,0.200796,0,0,0
49983,86763614,0,0.1097229,0.1240373,0.1584046,0,0,0
437004,518764078,0,0.0027776,0.00263623,0.00273438,0,4,0
90514,131963860,0,0.2281117,0.1548776,0.3893887,0,1,0
290459,354563951,0,8.14411,4.270887,5.090238,0,3,0
169435,220063606,0,0.13007,0.1200912,0.1414648,0,0,0
207850,262764019,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
177359,228863418,0,0.1140683,0.113644,0.1890819,0,0,0
40067,75763849,0,0.1220118,0.1063517,0.1970231,0,0,0
353145,424263560,0,0.1350902,0.1048173,0.1830342,0,0,0
117112,161863562,0,0.1450232,0.1428091,0.2671499,0,1,0
162950,212863987,0,0.1199944,0.1257364,0.223634,0,0,0
351163,422063607,0,0.1128011,0.1250375,0.1586845,0,0,0
308655,374863328,0,0.06951122,0.07605363,0.00296486,0,3,0
379528,453563502,0,0.1385966,0.145103,0.2451875,0,4,0
106971,150463957,0,0.1641826,0.1342916,0.2703405,0,1,0
331713,400463917,0,0.1191891,0.142833,0.3165064,0,0,0
432615,513363739,0,0.00288612,0.00264103,0.00286479,0,4,0
309199,375463921,0,0.09114435,0.08185936,0.00280842,0,3,0
67292,105963431,0,0.1138391,0.1114105,0.1865385,0,0,0
49440,86163854,0,0.1208044,0.1169832,0.1816992,0,0,0
392484,467963573,0,0.1176887,0.1178853,0.1987482,0,4,0
167004,217363853,0,0.1166296,0.1089344,0.1784554,0,0,0
51064,87963967,0,0.1182148,0.1152924,0.2292239,0,0,0
212705,268163525,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
144956,192863657,0,0.1489554,0.1253939,0.2313545,0,0,0
12868,29263290,0,0.00289101,0.00260683,0.00256973,0,0,0
217733,273763784,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
299208,364363363,0,0.08319127,0.07904574,0.00289709,0,3,0
251733,311563658,0,0.1203085,0.1208773,0.1424275,0,0,0
134787,181564012,0,0.1656231,0.1102739,0.2623507,0,0,0
228978,286263782,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
