LineNo,abTimeUS,abI,abGyrX,abGyrY,abGyrZ,abAccX,abAccY,abAccZ,abEG,abEA,abT,abGH,abAH,abGHz,abAHz,labels
107506,151063717,0,-2.299804,1.147885,0.04529959,-4.752115,-0.1976535,-8.517857,0,0,32.84198,1,1,1000,1000,1
134541,181303283,0,-1.142104,-2.269822,0.04834643,-4.804814,-0.04793457,-8.315039,0,0,34.00777,1,1,1000,1000,0
121230,166503372,0,1.017733,-2.466907,0.05781791,-4.771632,-0.2656192,-8.466221,0,0,33.45189,1,1,1000,1000,1
223583,280263683,0,2.211053,0.656918,0.06294991,1.000002,1.000001,1.000002,0,0,37.09637,1,1,1000,1000,2
389280,464423323,0,1.843704,1.797529,0.04284691,-1.849592,-4.212692,-8.771068,0,0,40.72213,1,1,999,999,4
438494,520583350,0,0.00115283,0.00111943,0.00113619,-0.00042364,-0.00129338,-9.818162,0,0,41.45246,1,1,999,999,4
370999,444103954,0,1.14564,-2.040774,0.04394174,0.01489911,0.07045967,-9.784557,0,0,40.42234,1,1,999,999,0
329553,398064044,0,-3.384738,-0.4880267,-0.356594,0.02983506,-0.00910596,-13.71807,0,0,39.66304,1,1,1000,1000,3
347148,417623717,0,-2.367823,-0.2375157,0.04077865,-1.208552,-0.01945512,-9.79837,0,0,39.99991,1,1,999,999,0
42425,78383634,0,-1.081129,2.05563,0.00849057,-0.6341859,0.02080404,-10.3095,0,0,29.50906,1,1,1000,1000,0
53860,91063560,0,1.362933,-1.995941,0.03140263,-0.54613,-0.03814555,-9.933908,0,0,30.15016,1,1,1000,1000,0
191258,244343890,0,-0.880738,-1.959415,0.06572994,1.000002,1.000001,1.000002,0,0,36.09106,1,1,999,999,2
419220,497663355,0,-1.959122,-1.263014,0.02794789,-0.00150274,-0.00278568,-9.788418,0,0,41.1708,1,1,999,999,4
69950,108943905,0,-0.2186855,2.920404,0.06390029,-1.43625,-0.05187603,-9.835058,0,0,31.00935,1,1,1000,1000,1
226279,283263316,0,-2.510031,2.461298,0.2234352,1.000002,1.000001,1.000002,0,0,37.17501,1,1,1000,1000,2
291493,355743479,0,2.483709,0.5961406,-0.1043998,0.289764,-2.168197,-7.059494,0,0,38.85449,1,1,999,999,3
153956,202863822,0,1.732072,2.015252,-0.1109668,-4.882502,-0.1441899,-8.735874,0,0,34.77002,1,1,1000,1000,0
55768,93183545,0,2.570042,-0.06884706,-0.2731121,-0.5325557,0.03860725,-10.18607,0,0,30.25473,1,1,1000,1000,0
360728,432703516,0,0.3005176,-2.285883,0.03587693,-0.6339588,0.00767016,-9.8693,0,0,40.24504,1,1,999,999,0
329476,397984076,0,-0.09691856,0.01268979,-0.00943306,0.01901085,-0.00184754,-10.79718,0,0,39.66162,1,1,1000,1000,3
353610,424783352,0,0.8028247,-2.912365,0.1941777,-0.143867,0.00280374,-10.09763,0,0,40.11784,1,1,999,999,0
115458,160023465,0,2.574345,0.5092221,0.04156503,-4.736614,-0.3270274,-8.838581,0,0,33.19973,1,1,1000,1000,1
286083,349743380,0,-1.397482,-1.933225,0.03155638,-0.3233728,-0.02383711,-9.810241,0,0,38.73034,1,1,999,999,0
245465,304623935,0,1.053196,2.121735,0.05707938,1.000002,1.000001,1.000002,0,0,37.71278,1,1,999,999,0
380520,454663895,0,-2.663833,-0.108416,0.05152434,-1.63378,-4.187127,-8.898358,0,0,40.58067,1,1,999,999,4
81276,121583847,0,-0.8769478,0.762761,0.04083527,-0.3615428,-0.00238311,-9.771927,0,0,31.58658,1,1,1000,1000,1
125817,171623823,0,2.176847,-1.499685,0.3296179,-2.34888,0.4458487,-9.69783,0,0,33.6473,1,1,1000,1000,0
72357,111583682,0,-2.220172,-0.7520064,0.03708263,-0.3355571,-0.0077941,-9.81843,0,0,31.13193,1,1,1000,1000,1
6577,21423927,0,0.00028038,0.00025549,0.00028278,-0.00135814,-0.00053668,-9.817061,0,0,26.27008,1,1,999,999,0
345985,416343396,0,-2.183651,-1.431845,0.1489377,-0.9222832,-0.01694557,-10.23006,0,0,39.97853,1,1,1000,1000,0
353069,424183592,0,-0.00215558,-2.397707,0.03473157,-0.1409809,-0.00945657,-9.816232,0,0,40.10806,1,1,999,999,0
374759,448263956,0,1.285445,-2.399079,0.06394445,-0.7835442,-1.845363,-9.724253,0,0,40.48537,1,1,1000,1000,4
104328,147503475,0,1.622387,-2.188116,0.1439434,-5.15801,-0.09160601,-8.405576,0,0,32.69685,1,1,1000,1000,1
240429,299023676,0,-2.60642,0.3712082,1.157218,1.000002,1.000001,1.000002,0,0,37.57547,1,1,999,999,2
120775,165983580,0,-2.344087,-1.363275,0.04547656,-4.647493,-0.299621,-8.327004,0,0,33.43185,1,1,1000,1000,1
112134,156263303,0,-2.394392,0.9808421,0.05795713,-4.594172,-0.2629362,-8.655128,0,0,33.0509,1,1,1000,1000,1
251286,311063858,0,1.069818,1.39044,0.05203664,-0.1002097,0.04988106,-9.404034,0,0,37.86755,1,1,999,999,0
343985,414103459,0,2.33669,-0.3000156,0.03806668,-0.7472377,0.00404761,-9.878433,0,0,39.9409,1,1,999,999,0
109822,153663510,0,-2.38143,1.127952,0.02725979,-4.704945,-0.2323533,-8.617837,0,0,32.9469,1,1,1000,1000,1
402416,479023314,0,-2.332287,0.2235099,0.04419659,0.01315349,-0.04784873,-9.964232,0,0,40.92533,1,1,1000,1000,4
300044,365303820,0,0.00339838,0.00339052,-0.00451118,-0.0010259,0.03523328,-9.818533,0,0,39.04724,1,1,999,999,3
57672,95303530,0,1.314519,2.097255,-0.02648322,-1.06849,0.02449708,-9.926653,0,0,30.35856,1,1,1000,1000,0
205439,260103417,0,-1.709226,3.098621,0.2917485,1.000002,1.000001,1.000002,0,0,36.54699,1,1,1000,1000,2
25066,59143833,0,-2.066184,0.9207063,0.04379479,-0.04879327,-0.00966999,-8.901272,0,0,28.48302,1,1,1000,1000,0
135724,182623588,0,1.514336,-2.251561,0.01904122,-4.886552,-0.01115712,-8.509912,0,0,34.05603,1,1,999,999,0
116523,161223818,0,2.596557,0.5832652,0.05130777,-4.807529,-0.2831194,-8.771442,0,0,33.24684,1,1,1000,1000,1
61795,99863372,0,-1.203077,-1.950387,0.04247913,-1.198369,-0.03650712,-9.862284,0,0,30.57943,1,1,1000,1000,0
10471,26263657,0,0.00033556,0.00040481,0.00038799,-0.00127407,-3.07E-05,-9.817192,0,0,26.56983,1,1,999,999,0
296010,360783962,0,0.0034868,0.00338264,-0.00308055,-0.01787179,-0.06469008,-9.761785,0,0,38.95687,1,1,999,999,3
84935,125703865,0,-2.622436,-0.6065826,0.06374818,-4.237676,-0.06506316,-8.557805,0,0,31.76953,1,1,1000,1000,1
192654,245863282,0,0.9820473,-1.779489,0.6740862,1.000002,1.000001,1.000002,0,0,36.13608,1,1,1000,1000,2
401793,478343586,0,-1.68747,-1.589094,0.02473328,0.04062446,-0.00190469,-9.889238,0,0,40.91609,1,1,1000,1000,4
127980,174023696,0,1.872207,-1.87171,-0.00615806,-4.38154,0.08382379,-8.807121,0,0,33.73776,1,1,1000,1000,0
424905,503983326,0,-1.507263,1.827968,0.05115102,0.01220056,-0.01664406,-9.810537,0,0,41.25063,1,1,1000,1000,4
68050,106823920,0,1.717559,1.550606,0.03047398,-0.3089796,-0.0254698,-9.81282,0,0,30.91014,1,1,1000,1000,0
303656,369343870,0,0.00330766,0.00331064,-0.00782962,0.02249098,0.02007114,-9.817309,0,0,39.12686,1,1,999,999,3
342365,412303346,0,0.8475537,-2.037121,0.01728447,-2.82981,-0.00128637,-9.434797,0,0,39.91045,1,1,999,999,0
281942,345143554,0,0.5175536,2.343047,0.03727917,-0.2488374,0.04540242,-9.848295,0,0,38.63346,1,1,999,999,0
277961,340703664,0,-1.788824,1.069173,0.05012338,-0.09951627,-0.06198406,-9.644398,0,0,38.53854,1,1,999,999,0
435467,516903989,0,0.00121484,0.00113292,0.00123036,-0.00117793,-0.00069587,-9.816092,0,0,41.40867,1,1,1000,1000,4
31075,65783676,0,-1.922075,-1.316104,0.0354057,0.03101705,-0.04629605,-9.807761,0,0,28.84458,1,1,1000,1000,0
196172,249783380,0,2.251593,1.578488,-0.02316386,1.000002,1.000001,1.000002,0,0,36.25115,1,1,999,999,2
418622,497023611,0,1.623489,1.588211,0.0337381,-0.03603317,0.02452014,-9.825313,0,0,41.16262,1,1,1000,1000,4
399975,476303569,0,2.18363,0.8246535,0.03314874,-0.02830627,-0.0010763,-9.663116,0,0,40.88822,1,1,1000,1000,4
412579,490303800,0,-0.8764237,2.107184,0.03830657,-0.01488549,-0.02391563,-9.78175,0,0,41.0757,1,1,999,999,4
292516,356863864,0,3.252913,-7.999796,-7.524367,0.5997308,-0.9069111,-6.860539,0,0,38.87739,1,1,1000,1000,3
230102,287543270,0,-3.262795,0.8162419,0.00048233,1.000002,1.000001,1.000002,0,0,37.28586,1,1,999,999,2
234490,292423817,0,-1.562512,2.179981,-0.09956951,1.000002,1.000001,1.000002,0,0,37.41032,1,1,999,999,2
209023,264063499,0,1.783229,4.391173,-0.5816729,1.000002,1.000001,1.000002,0,0,36.65784,1,1,999,999,2
51721,88703671,0,-0.6491836,2.346146,0.05779883,-1.058762,-0.02271186,-10.15128,0,0,30.03288,1,1,1000,1000,0
283726,347103603,0,2.421046,0.5310577,0.05133526,-1.224799,-0.03581974,-9.972302,0,0,38.67492,1,1,999,999,0
105218,148503908,0,1.823969,-1.922551,0.01245196,-5.098681,-0.09089017,-8.389267,0,0,32.73779,1,1,1000,1000,1
60394,98343980,0,-2.478364,-0.2949248,0.1456329,-0.6897292,-0.02467103,-10.2932,0,0,30.50618,1,1,1000,1000,0
195271,248783780,0,0.3575462,0.8435993,0.3020809,1.000002,1.000001,1.000002,0,0,36.22194,1,1,1000,1000,2
53602,90783672,0,2.245875,0.7388334,0.03769512,-0.6785964,-0.02197413,-9.899549,0,0,30.1363,1,1,1000,1000,0
215172,270944079,0,3.291595,1.565256,0.1063269,1.000002,1.000001,1.000002,0,0,36.84698,1,1,999,999,2
22142,55863479,0,-1.385068,-2.185174,0.04187183,0.006748,-0.00091486,-9.909842,0,0,28.30145,1,1,1000,1000,0
122673,168143549,0,1.01936,3.044863,0.5630671,-3.690426,0.1962776,-10.87352,0,0,33.51484,1,1,1000,1000,0
400672,477063265,0,-0.2737856,-2.030547,0.0287198,0.01553006,-0.05204586,-8.626101,0,0,40.89862,1,1,999,999,4
363070,435303309,0,2.451626,0.08545372,0.2022581,-0.5242462,-0.02574903,-10.15175,0,0,40.28607,1,1,999,999,0
234005,291864041,0,-1.406434,-2.803128,-0.1244226,1.000002,1.000001,1.000002,0,0,37.39614,1,1,999,999,2
72916,112223426,0,2.300543,-0.7300366,0.03826844,-0.2814441,-0.0025745,-9.876007,0,0,31.16149,1,1,1000,1000,1
15055,48023283,0,0.0006184,0.00059178,0.00073334,-0.00075905,0.00012912,-9.818194,0,0,27.8593,1,1,1000,1000,0
76943,116743284,0,2.231242,0.6900735,0.0344248,-0.3779807,0.04340328,-9.869259,0,0,31.36842,1,1,1000,1000,1
245104,304223262,0,1.696458,1.870054,-0.02305374,1.000002,1.000001,1.000002,0,0,37.70306,1,1,999,999,0
135883,182783524,0,-2.621592,0.6561716,0.01890829,-4.789711,-0.1176327,-8.4569,0,0,34.06186,1,1,999,999,0
143619,191383416,0,-2.254878,1.463319,0.05932936,-4.801332,-0.07555921,-8.512555,0,0,34.37097,1,1,1000,1000,0
169539,220183558,0,2.314,0.6143695,0.03965314,-0.03752505,0.02748916,-9.857596,0,0,35.34391,1,1,1000,1000,0
342001,411903506,0,0.4176963,-2.138439,0.03248248,-3.260391,0.01022477,-9.355214,0,0,39.90366,1,1,1000,1000,0
272534,334663581,0,-2.072354,1.090099,0.03531369,-0.38078,-0.03216039,-9.836918,0,0,38.40713,1,1,999,999,0
194634,248064068,0,1.474159,-2.675051,0.08016794,1.000002,1.000001,1.000002,0,0,36.20084,1,1,1000,1000,2
287347,351143653,0,5.044407,-9.278691,-14.80426,1.10165,-0.9795687,-6.123345,0,0,38.75953,1,1,1000,1000,3
429374,509263713,0,0.0013595,0.00125667,0.00137327,-0.00135699,-0.00101823,-9.817743,0,0,41.31604,1,1,999,999,4
246967,306263279,0,-0.3523683,-2.650423,-0.01309386,-0.226804,0.0348379,-8.581055,0,0,37.75251,1,1,999,999,0
217029,272983263,0,-4.221883,-0.5101562,0.1755116,1.000002,1.000001,1.000002,0,0,36.90223,1,1,1000,1000,2
121765,167103965,0,1.335176,-2.285121,0.08750127,-4.799109,-0.2301033,-8.526827,0,0,33.47496,1,1,999,999,1
430795,511063826,0,0.00133297,0.00109941,0.00135271,-0.00097403,-0.00092592,-9.816957,0,0,41.33807,1,1,1000,1000,4
105138,148423940,0,2.398656,1.197917,-0.00289886,-5.202386,-0.06388733,-8.61981,0,0,32.73452,1,1,1000,1000,1
21461,55143767,0,-2.515067,0.3183428,0.07478485,0.0682792,-0.03282394,-9.90703,0,0,28.26132,1,1,1000,1000,0
2957,16904069,0,0.00016976,0.00021712,0.00028091,-0.00194673,-0.00074627,-9.817307,0,0,25.98574,1,1,999,999,0
196791,250463941,0,2.929577,-1.635625,0.00131228,1.000002,1.000001,1.000002,0,0,36.27096,1,1,1000,1000,2
388998,464103451,0,2.065948,-1.72715,0.06928451,-1.789292,-4.063912,-8.589716,0,0,40.71756,1,1,999,999,4
54783,92103977,0,-0.2488973,2.338525,0.05219769,-0.2676094,-0.01575723,-9.795954,0,0,30.20155,1,1,1000,1000,0
428620,508344081,0,0.00137459,0.001342,0.0012885,-5.93E-05,-0.00044476,-9.817506,0,0,41.30472,1,1,1000,1000,4
47135,83624037,0,-1.433825,-2.142163,0.04624017,-0.8337362,-0.01272343,-10.02519,0,0,29.77728,1,1,1000,1000,0
346125,416463348,0,0.7533507,-2.423655,0.1230312,-1.025624,0.0098046,-10.02455,0,0,39.98054,1,1,1000,1000,0
402235,478823394,0,-2.245795,0.6071513,0.04889686,0.00489879,-0.01623545,-9.996143,0,0,40.92262,1,1,1000,1000,4
39101,74703440,0,-1.1004,-1.522364,0.5881379,-1.536885,-0.112823,-9.707083,0,0,29.31786,1,1,1000,1000,0
178665,230343659,0,-0.4406801,-0.7351429,0.4320242,1.000002,1.000001,1.000002,0,0,35.66545,1,1,1000,1000,0
213894,269503822,0,-1.643631,-3.741661,-0.3999757,1.000002,1.000001,1.000002,0,0,36.80775,1,1,999,999,2
228261,285463269,0,-1.167888,-3.596797,-0.248956,1.000002,1.000001,1.000002,0,0,37.23219,1,1,1000,1000,2
10967,26903401,0,0.00041501,0.00031608,0.00037082,-0.00058497,-0.00157372,-9.817867,0,0,26.60911,1,1,999,999,0
9277,24783416,0,0.00035851,0.00026635,0.00029879,-0.00143213,6.31E-05,-9.81802,0,0,26.47868,1,1,1000,1000,0
333560,402543918,0,2.706518,1.016832,0.03168242,-2.263327,-0.5789921,-9.872478,0,0,39.74215,1,1,999,999,0
305160,370984047,0,0.00333213,0.00329023,-0.01018789,0.0108139,-0.00518623,-9.818117,0,0,39.15888,1,1,1000,1000,3
430041,510143361,0,0.00128652,0.00130707,0.00129555,-0.0016919,-0.00127936,-9.817163,0,0,41.32683,1,1,999,999,4
202564,256903864,0,2.310104,-1.649365,-0.3042552,1.000002,1.000001,1.000002,0,0,36.45634,1,1,999,999,2
94819,136823582,0,2.25928,-2.145145,0.06959823,-6.179739,0.5300923,-7.809741,0,0,32.25097,1,1,1000,1000,1
413479,491303400,0,-1.800866,1.417823,0.0471314,-0.0106441,0.00927721,-9.850148,0,0,41.08876,1,1,1000,1000,4
425022,504143262,0,2.27926,-0.3139777,0.03941315,0.06094987,0.05677602,-9.803843,0,0,41.25262,1,1,999,999,4
67950,106703968,0,2.038378,-1.109455,0.04423599,-0.3244848,-0.007162,-9.94451,0,0,30.9045,1,1,1000,1000,0
302575,368143517,0,0.00336425,0.00332731,-0.00674171,-0.03176567,0.00902618,-9.817949,0,0,39.10332,1,1,1000,1000,3
169460,220103590,0,0.2818919,2.39481,0.04062121,0.01462951,0.02534883,-9.796243,0,0,35.34133,1,1,1000,1000,0
182087,234143805,0,2.36296,-0.4250589,0.0601239,1.000002,1.000001,1.000002,0,0,35.78294,1,1,999,999,0
85290,126103705,0,-2.582321,0.05972047,0.07580028,-4.352394,-0.03920357,-8.475286,0,0,31.78716,1,1,1000,1000,1
293967,358504041,0,4.447278,-5.429409,-5.126738,0.3122736,-1.401572,-6.272067,0,0,38.91077,1,1,1000,1000,3
415361,493383401,0,-1.940471,1.292945,0.05437359,-0.02740982,-0.09285085,-9.828172,0,0,41.11578,1,1,1000,1000,4
374881,448423892,0,-2.281668,0.9310119,0.06070025,-0.8222789,-2.094279,-9.834798,0,0,40.48778,1,1,1000,1000,4
98910,141423408,0,2.864479,0.3309153,0.05178238,-6.017166,0.07615019,-8.113083,0,0,32.44496,1,1,1000,1000,1
277681,340383792,0,1.111576,2.043451,0.0253087,-0.159182,0.05478777,-9.809937,0,0,38.53164,1,1,999,999,0
371440,444583762,0,-0.77835,-2.257025,0.03143412,-0.02631515,-0.01486425,-9.940181,0,0,40.42965,1,1,999,999,0
97230,139543327,0,1.369915,2.625717,0.03959034,-6.055381,0.1388554,-8.002558,0,0,32.36604,1,1,1000,1000,1
291846,356143319,0,4.787603,-11.23886,-6.984087,0.9067653,-0.3791066,-6.088042,0,0,38.86267,1,1,1000,1000,3
143639,191423400,0,0.8733971,-2.501699,0.05473119,-4.888746,-0.04917161,-8.429722,0,0,34.37239,1,1,1000,1000,0
155520,204623951,0,-0.2238448,-2.577489,0.00870256,-4.840958,0.03327953,-8.406454,0,0,34.82986,1,1,999,999,0
400134,476463505,0,-1.01608,-1.952672,0.03428001,0.01149874,-0.03394663,-9.100423,0,0,40.89042,1,1,1000,1000,4
191060,244103986,0,-0.4307139,2.44615,0.1756293,1.000002,1.000001,1.000002,0,0,36.08393,1,1,999,999,2
292360,356703928,0,3.26061,-4.055593,-4.427629,-1.291873,-2.144531,-8.038471,0,0,38.87412,1,1,1000,1000,3
217825,273863744,0,-1.263811,2.25109,-0.07117676,1.000002,1.000001,1.000002,0,0,36.92595,1,1,1000,1000,2
86733,127743882,0,2.413241,-1.107046,0.07876593,-4.976127,0.1161901,-8.497075,0,0,31.8592,1,1,1000,1000,1
314823,381743908,0,0.00318839,0.00312658,-0.01311299,0.00604984,0.02484442,-9.817146,0,0,39.36467,1,1,1000,1000,3
62998,101223661,0,0.8545973,2.145049,0.01910244,-0.5113358,-0.0289695,-9.836005,0,0,30.64466,1,1,1000,1000,0
415199,493223465,0,0.5306441,-2.343285,0.04046419,-0.00076473,-0.03150285,-9.852027,0,0,41.11371,1,1,1000,1000,4
181147,233063404,0,2.223473,1.167387,0.00175472,1.000002,1.000001,1.000002,0,0,35.7497,1,1,1000,1000,0
