LineNO,TimeUS,RDes,R,Rout,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut,labels
233526,291363408,-26.27393,30.93056,-0.8349512,1.401271,162.2244,-0.6297678,-9.50886,-1.972797,-0.00815881,924.7263,-1034.96,0.4144383,2
413335,491163456,6.772951,-134.7741,0.7127895,3.499215,19.34731,-0.5335302,2.216828,2.517236,-2.17E-05,1.912865,1.162434,0.3374203,4
178597,230263691,15.58674,54.72657,0.1446278,55.88022,-57.46202,0.8353597,16.0421,25.61892,0.00048079,-1435.704,-1104.281,0.3366461,0
240545,299163620,-1.328287,-111.7366,0.2644958,-4.389565,75.2502,-0.7546555,131.4058,84.3565,0.09067379,-797.9921,-1011.552,0.3188304,2
256659,317063957,-6.768853,0.379742,0.3976237,8.07435,-150.7766,0.7866706,-4.62043,3.157156,-0.0138523,2.529462,-10.22997,0.3599755,0
196581,250264021,-9.997479,126.7971,-0.3945192,6.182999,-92.39788,0.9034487,5.417924,-2.766043,0.01023301,-221.6389,-1026.446,0.3853297,2
238741,297163587,15.72931,85.06868,-0.7678808,4.402475,135.6407,-0.4000962,-77.98318,28.11006,-0.1298849,-265.3172,-1136.78,0.3583428,2
412254,489963936,7.833106,-96.77821,0.2382294,-1.091623,92.63781,-0.7835526,2.256422,2.816133,7.57E-05,-1.658285,-4.693699,0.3372809,4
361036,433063372,7.957972,-106.2758,0.3228318,-0.1424811,79.8565,-0.8056544,3.693385,3.539398,0.00154637,4.857807,-6.896687,0.3433544,0
285292,348863732,-2.852331,18.39459,0.3466849,8.330886,-132.8263,0.8155892,2.663039,2.499729,0.00024381,4.870767,6.480789,0.3414729,0
110860,154863863,-0.4943374,-145.5238,0.6471236,0.09601897,39.09893,-0.6638108,0.9290377,3.445455,-0.00330462,-1.178796,-3.792667,0.4143986,1
297216,362163410,-3.967332,-0.02826036,-0.07163293,46.4517,-0.02007869,0.6094057,134.4962,-0.389039,0.2615359,1601.565,0.02880096,1,3
367069,439764024,7.98554,-137.6966,0.851239,3.281061,-18.40974,-0.3399284,2.062165,2.671635,-0.00073105,13.21557,18.05782,0.3492007,0
61315,99363572,-0.3639264,80.80801,-0.8066601,22.66525,138.0933,-0.3382679,2.821921,-0.6907153,0.00388513,-0.6180488,-5.332375,0.3747403,0
155007,204063342,-10.80359,117.3171,-1.002044,-6.726901,97.51879,-0.1522125,-0.9542415,4.721235,-0.00850505,0.6270335,20.1808,0.4215323,0
78919,118964062,1.357449,-48.70041,0.665081,34.87502,-93.53175,0.5107665,-0.6950673,-3.82548,0.00062339,-4.330088,-7.522392,0.3754241,1
56719,94263946,-3.75364,63.49482,0.03811263,33.40399,-92.38023,0.861028,0.8449782,9.552686,-0.0089885,0.7515697,5.493546,0.3809735,0
171298,222163599,9.440947,-9.961795,-0.4106138,-11.05779,132.7331,-0.828768,107.7663,26.13565,0.1218267,10.66014,1.050949,0.3853049,0
71683,110863970,9.392948,-116.3726,0.4387612,-0.1610024,61.36124,-0.7116179,2.809844,2.890177,0.000879,-1.377465,0.2382278,0.3751864,1
21572,55263719,0.8104259,-80.43813,0.8190938,8.841693,-117.025,0.3846803,4.533266,3.862286,0.00116758,12.14639,10.39362,0.4104989,0
417569,495864075,6.102367,-117.3399,0.4330102,1.611121,60.79752,-0.7067878,2.060353,2.363476,-5.82E-05,-1.899546,-4.590797,0.3369242,4
266651,328163682,5.025304,-55.07597,-0.09379251,1.878098,131.3418,-0.8186623,-1.378259,1.938785,-0.00566714,9.432376,-0.7501602,0.3427444,0
13789,46563867,-0.3423309,0.02110457,-0.00086925,-0.295975,0.01404738,-0.00073196,0.00020248,0.1301956,-0.00020534,0.07753372,0.07753372,0,0
184986,237363350,40.25436,204.0669,-1.125661,-126.388,-16.73786,0.1997745,-14.20564,-1.615346,-0.01749951,-467.6751,-1056.33,0.453758,0
327629,395964051,-46.58204,-0.00950629,-0.4191948,7.084955,-0.02882266,0.5166429,-134.4763,-1.183208,-0.2094114,1591.592,0.1125336,1,3
207734,262664059,2.465542,63.70272,-0.721714,-19.07559,107.8637,-0.5290956,50.23188,24.49198,0.05771964,193.6931,-1050.412,0.3458771,2
115130,159663609,-1.722928,-110.5812,0.2605466,-2.854815,102.3628,-0.9512036,1.529534,3.55328,-0.00236119,0.5463383,6.593704,0.4148448,1
59602,97463499,-2.575291,-27.62324,0.5939487,-29.72914,-163.6937,0.6250285,13.16806,2.288332,0.01226402,-10.43379,-8.765125,0.3722337,0
191188,244263922,-4.149217,95.63923,-0.2524911,6.447446,-78.84566,0.7579356,-8.896263,6.625829,-0.02172402,-259.3922,-1129.549,0.3112375,2
108277,151963357,-14.42682,143.5721,-0.6192733,0.4125586,-49.48205,0.7577511,11.98429,3.596051,0.00891835,11.17055,19.98291,0.4182794,1
28244,62664091,6.523367,-133.1609,0.7228317,2.761496,5.640605,-0.447047,2.313288,2.165763,0.00045791,6.918555,2.093506,0.3758269,0
156266,205463615,-14.62426,148.7968,-1.017149,-5.261829,55.09455,0.1722642,4.359152,2.878417,0.00258974,0.7654676,21.93003,0.4210078,0
197478,251263621,-1.752146,105.1675,-0.1204194,23.26361,-98.22092,0.9654738,-10.91957,-15.86387,-0.00117026,-168.6624,-1127.916,0.3730969,2
367247,439963944,5.25667,-131.9989,0.857103,2.599204,-36.22109,-0.2382855,1.785377,2.296198,-0.00093891,-7.299179,0.70858,0.3443038,0
136111,183063412,-4.324409,-24.98373,-0.3811745,-6.817697,149.6584,-0.9251487,3.873233,1.744985,0.00339193,-0.02294641,13.30185,0.4214161,0
285202,348763772,5.18315,-11.23907,-0.3813438,-2.666253,138.1622,-0.8121475,2.95459,2.348237,0.00067313,5.302813,-7.192326,0.3412327,0
103385,146463891,-0.9760897,-153.8535,0.7117023,2.341393,28.6232,-0.6260505,2.113234,2.836487,-0.00068631,-1.273966,-13.85832,0.4291569,1
132149,178663506,-4.174961,-35.12559,-0.325721,-2.647399,153.2278,-0.9630235,3.580766,3.559883,0.00090663,1.074532,16.59012,0.4228067,0
34185,69263950,6.377975,-88.5051,0.171114,-2.725146,100.047,-0.826842,2.080718,3.040778,-0.0006976,-0.8435128,0.4451752,0.37591,0
301423,366864029,-8.324765,-0.01058707,-0.148199,46.14457,-0.01506626,0.6087577,134.4855,-0.5480644,0.2617931,1600.516,0.1811028,1,3
392365,467863613,-16.12356,84.51581,-0.1851049,7.885322,-91.30247,0.8425485,2.348334,2.291309,0.0004952,14.33698,9.447289,0.3427043,4
140337,187764031,-8.291174,-6.228359,0.5097747,8.361933,-151.3567,0.7879483,1.756337,-0.1198849,0.00142116,-1.46093,-16.05911,0.4186499,0
44546,80763515,5.205192,-102.4634,0.8757205,9.591106,-84.2851,0.136951,3.388833,1.825005,0.00195038,2.594544,7.572269,0.3768061,0
274847,337263374,-1.532551,-63.18523,0.7266518,36.03743,-99.68667,0.4745142,8.419212,7.504323,0.00450597,8.621795,1.902199,0.35267,0
400194,476563465,1.978655,46.0435,-0.6315023,-5.978763,114.7148,-0.4804358,1.905243,1.82819,-0.00041465,-148.9778,-87.18452,0.300765,4
178508,230163731,0.9018121,-63.39044,-0.3987299,67.61405,205.554,-1.020903,28.14188,24.39994,0.02016498,-1226.349,-1108.325,0.4856239,0
76786,116563356,-2.700055,12.83978,0.3770452,6.388915,-134.6439,0.7803128,1.924881,2.200121,-0.00063508,-1.113452,6.152534,0.3761959,1
176792,228263658,-2.865334,-66.2735,0.7388183,29.70847,-104.5925,0.4830676,1.866259,0.7641543,0.00021062,-7.060623,-15.11221,0.3960582,0
357612,429264059,-2.106991,134.9667,-0.8296942,-5.231861,17.28415,0.3336392,3.257142,3.512969,0.00048204,-0.7571747,3.461456,0.3423387,0
383639,458163328,2.995821,-110.4168,0.2424975,-9.639157,112.0474,-0.9386014,2.668946,3.910057,-0.00033178,1.633199,16.99228,0.3829173,4
2034,15763692,-0.07983949,0.01186255,-0.0002296,-0.03453669,0.01064557,-0.0001255,2.65E-06,1.310079,-0.00207322,0.4595757,0.4595757,0,0
7963,23164064,-0.1983382,0.01586849,-0.00054518,-0.12379,0.01122363,-0.00033552,4.60E-05,0.5681159,-0.00090143,-0.03185272,-0.03185272,0,0
366619,439263391,-5.35219,133.9635,-0.7388253,-2.738801,-5.805636,0.4753512,2.999814,3.003946,0.00083571,-2.405848,3.340816,0.3423588,0
283854,347263539,1.695994,-99.96368,0.8811383,36.34072,-63.88994,0.1766243,2.407306,2.417412,-0.00108894,-6.671161,-7.787132,0.3495552,0
306918,372964088,-18.67977,-0.00912272,-0.3336337,43.55077,-0.02817865,0.6028888,134.4879,-0.9508567,0.2623966,1594.114,0.05931854,1,3
77942,117863669,0.4119051,57.79605,-0.7075965,-13.94237,114.9755,-0.497487,14.41476,19.16227,0.00069053,-4.203444,5.213928,0.3895332,1
354460,425763793,-4.914186,36.59543,-0.6664994,-17.47772,131.9486,-0.6116599,-15.30615,5.497249,-0.03539668,-20.84785,-10.73961,0.356811,0
23103,56963872,-0.9141796,72.82088,-0.7961957,-8.411769,124.1105,-0.4412706,3.860445,2.213362,0.00176956,4.527735,1.118851,0.4104914,0
387954,462963907,-13.45123,102.6117,-0.2202207,-4.507955,-106.4174,0.9191197,2.974591,3.073632,5.45E-05,-0.41923,-25.39244,0.3789099,4
406225,483263284,2.571579,-5.709878,-0.4534536,-6.813315,146.2788,-0.8563288,3.053841,2.014005,0.00109401,144.8082,104.6864,0.3678706,4
77853,117763709,1.058863,-41.70674,0.6418314,-14.01871,-155.5479,0.5944029,21.13411,18.00379,0.01273576,-2.434654,-3.568172,0.3872985,1
158698,208163368,10.56863,-104.8884,0.8731452,16.27301,-65.20403,0.05030267,-0.9090641,-13.31591,0.01586318,-5.492514,-21.06304,0.3753426,0
342851,412863955,6.989262,-129.6118,0.6417311,15.26834,24.70938,-0.4950035,4.108056,2.70139,0.00222523,-72.59941,-48.37132,0.3244798,0
235776,293864074,-6.193316,-50.044,0.7818685,0.6264308,-190.2343,0.7831078,-0.2231636,-0.9944569,-0.00158561,621.6898,-1022.789,0.4378454,2
124855,170563414,-7.623408,70.73079,0.00839916,3.384236,-125.6273,0.9370688,53.42501,57.05639,-0.00995502,15.58573,-6.281376,0.3989208,0
60324,98264012,-5.89045,-37.43044,0.6195014,-0.2989258,-143.4744,0.615032,1.870792,9.02,-0.00988026,1.509835,-14.13364,0.3930146,0
141597,189163471,-11.23468,-21.72167,0.5976038,8.53353,-152.6315,0.7762424,1.781825,2.954563,-0.00266018,-1.217881,-21.01574,0.4193549,0
42655,78663522,-7.28651,77.83541,-0.8472943,-15.74448,116.2754,-0.4153996,7.228699,2.914537,0.00725114,-4.618936,7.636833,0.39536,0
343033,413063875,6.279188,-129.8329,0.6916484,14.03574,5.358469,-0.3901003,3.339761,3.040078,0.00057797,-89.58427,-59.51281,0.3142562,0
43375,79464035,0.7798217,69.30204,-0.7378761,25.90609,145.7099,-0.3840074,0.1345576,2.865503,-0.00495109,-4.084013,-1.743889,0.3745365,0
402443,479063298,-5.983707,100.735,-0.2864322,1.851658,-82.53407,0.8052525,1.984163,2.606379,-0.00024123,20.27344,12.61683,0.3308487,4
75539,115163916,-3.195596,57.06657,0.0814756,6.385634,-120.8946,0.8445401,2.643551,1.235163,0.00215188,5.949859,10.39267,0.3774717,1
46802,83263348,-6.618451,134.8202,-0.9209808,-11.02202,47.8825,0.1421875,2.582969,2.759955,-0.00028994,-9.418812,-0.7914543,0.3916128,0
332945,401863357,-14.59125,42.82919,-0.7850856,-17.93286,141.8363,-0.6578921,-16.66375,-9.914765,-0.02110941,4.608688,25.69132,0.3896987,0
96361,138563719,-18.49664,86.68137,-0.05925117,10.28928,-140.0187,1.074561,3.442756,4.03056,0.00012372,-23.51511,-4.93679,0.4726037,1
407934,485163357,-7.095088,125.0191,-0.5543569,-0.2713394,-43.94314,0.6605961,2.236028,2.47052,0.00057675,-9.652069,-6.838989,0.3353492,4
60952,98963732,0.2115645,61.3411,-0.7212068,21.10968,148.0499,-0.4677327,-2.3903,-0.05344545,-0.00577677,-2.194348,10.44588,0.3900437,0
114774,159263769,-0.2608571,-131.8775,0.5097393,-1.524863,61.86675,-0.7629189,3.025647,3.80701,-5.40E-05,1.040131,3.535271,0.4134391,1
69431,108363304,-11.41611,133.2892,-0.6176215,-8.038354,-44.35728,0.6670309,4.626929,1.748017,0.00488644,8.359844,0.5299568,0.3938978,1
430060,510163353,-0.7699916,-0.01961421,-0.00238198,0.6714337,-0.02063827,0.00404865,-0.00081847,-0.0298962,0.00068265,0.1602173,0.4070282,0,4
6362,21164031,-0.1704916,0.01610656,-0.0004578,-0.09922436,0.00801183,-0.00025399,3.23E-05,0.7012638,-0.00110818,0.1483917,0.1483917,0,0
361487,433564005,-6.484405,127.6739,-0.5597055,-0.5038576,-48.81528,0.6906707,1.691893,3.306141,-0.00144766,-0.8889256,-3.278828,0.3427585,0
68711,107563624,-10.37956,115.831,-0.468379,-37.37013,-94.1554,0.7116085,-1.331743,1.198279,-0.00502711,-14.41208,-26.08328,0.3694134,1
379321,453363582,-11.05169,102.5256,-0.2154032,-4.196918,-115.4235,0.8942462,3.07079,3.569103,2.34E-05,2.368788,-20.17412,0.3767027,4
102141,145063618,1.446422,-132.9294,0.391958,0.257384,94.06195,-0.9466321,2.211531,3.069241,-0.00044279,-2.768493,-5.258369,0.4357414,1
106410,149863364,-0.359528,-143.3013,0.6145424,1.254808,47.42289,-0.744544,1.260743,3.817816,-0.00295162,-1.696863,-9.629631,0.4206762,1
2597,16463412,-0.1116569,0.00763247,-0.00028175,-0.05380171,0.00388671,-0.00012523,6.58E-06,1.207245,-0.00191127,0.3354073,0.3354073,0,0
138365,185564078,-10.94946,-5.610722,0.4923061,8.772898,-157.9195,0.8126215,2.702142,2.575784,-0.00064865,0.2224644,-14.46161,0.4191695,0
43734,79863875,-1.711738,64.67413,-0.7227035,-2.026134,120.1155,-0.4146824,0.2876861,0.7148048,-0.00227839,5.747324,-0.8710861,0.3756516,0
432195,512863939,-0.7699916,-0.01819339,-0.00239807,0.6714337,-0.01330776,0.00400004,-0.00081847,-0.02717421,0.00068464,0.1602173,0.358963,0,4
213039,268563365,-11.53699,-5.737947,0.5757016,32.89017,-154.0812,1.006678,22.82998,-2.309739,0.04700308,939.4656,-1102.39,0.4505903,2
238652,297063627,15.52091,-73.79844,0.8507437,18.03369,-100.1386,0.3008694,-35.18526,40.0241,-0.07812019,-257.6434,-1139.076,0.3620209,2
366079,438663631,-6.598199,125.9328,-0.5128377,-1.676883,-55.23925,0.7256403,2.968653,2.141273,0.00194789,0.7090522,9.026909,0.3442768,0
375808,449463476,-10.41398,143.902,-0.6332989,-9.480831,-58.41988,0.7742611,3.653669,3.833038,0.00076889,2.376255,-18.46714,0.3831361,4
254047,314163451,-6.344328,135.9802,-0.675554,-0.2347632,-24.75611,0.5931749,1.636201,2.96967,-0.00121046,61.42001,13.82561,0.3464231,0
355901,427363986,6.752119,-76.80386,0.0676385,1.62179,113.8557,-0.8877673,3.771636,6.529147,-0.00197095,5.388831,-11.27605,0.340481,0
419549,498064028,3.81286,-93.88776,0.8139091,6.513132,-92.11284,0.1916687,2.096221,2.120173,-0.00028195,-0.3777172,-5.176735,0.3366749,4
146551,194663770,-7.883365,57.68615,-0.7686347,-7.913507,138.4962,-0.5771878,1.111327,1.388862,-0.00132544,-0.04548666,15.67163,0.4215531,0
222930,279563963,-4.707532,-171.1065,0.5266239,34.82126,136.486,-1.010044,18.70917,-11.26761,0.04877394,807.2577,-1098.244,0.4798932,2
375447,449063636,-6.418015,130.2875,-0.442664,-7.137188,-85.39211,0.7983007,3.742616,3.425709,0.00134874,3.036493,-22.9516,0.3807705,4
60231,98164052,-1.538373,51.69948,-0.694675,-14.77023,130.2431,-0.5691912,4.149251,9.965249,-0.00640586,1.357547,9.923935,0.3919719,0
377878,451763389,-3.959737,-48.23144,0.7287029,1.096872,-143.097,0.6468443,2.959199,2.301804,8.59E-05,0.3978215,-16.42513,0.3765431,4
371036,444163930,-6.705695,130.1472,-0.563285,-1.827698,-47.53856,0.6124209,1.972759,2.485435,-0.00028608,0.2033441,2.375603,0.3424405,0
253865,313963531,-6.593868,130.5963,-0.5882201,1.338401,-40.60967,0.667317,1.852637,3.313355,-0.00110467,64.04955,13.74769,0.3458753,0
113885,158263336,0.4557477,-135.3841,0.530906,-1.048744,59.50406,-0.7928063,0.4106303,1.556188,-0.00195977,1.448095,-0.9284973,0.4127313,1
94402,136363766,-13.25038,61.10501,0.1845849,13.4996,-168.9941,1.114105,3.488462,3.928541,-0.00031088,-27.84403,-4.379368,0.4954433,1
128096,174163640,-11.82825,0.6991742,0.4384232,6.92288,-148.8373,0.8185842,-5.991712,-3.341237,-0.00900353,-1.973902,-12.012,0.4175998,0
375629,449263556,-7.508853,146.7009,-0.5989516,-8.87816,-61.88752,0.7057199,3.846291,3.468774,0.00127322,1.958577,-17.98201,0.3815096,4
327091,395363458,-46.58942,-0.00845481,-0.418371,7.512565,-0.01537089,0.5176873,-134.4238,-1.187589,-0.2092995,1591.489,0.09012222,1,3
36165,71463903,5.769773,-50.47819,-0.1177328,-5.585299,125.4458,-0.8335949,2.60444,2.743545,8.13E-05,-0.3137539,-0.1441956,0.3758842,0
298200,363263803,-4.697119,-0.02198402,-0.08375525,46.17961,-0.01640201,0.6090004,134.5042,-0.4100561,0.2616041,1602.557,0.0535965,1,3
366890,439563271,6.761113,-140.7751,0.8314789,4.496863,-16.17217,-0.3782805,2.410529,2.962379,-0.0002457,44.71788,31.67696,0.353487,0
258188,318763277,7.426256,-115.5539,0.3932467,1.073954,75.54254,-0.7913033,2.127372,4.499702,-0.00209325,35.54682,4.020405,0.3435105,0
217076,273064064,-108.9405,-196.6806,0.09702355,16.12884,121.3086,-0.824433,-3.666395,9.290599,-0.01631953,-125.2629,-1060.656,0.3261702,2
15264,48264020,-0.4102853,0.01613604,-0.00100943,-0.3623815,0.01806183,-0.00091032,0.00029074,0.121807,-0.00019412,0.0992775,0.0992775,0,0
136472,183464085,-6.027954,-0.2817234,-0.4923662,-7.08729,154.9338,-0.8459101,4.031956,3.357828,0.00175844,1.337946,21.9841,0.4225093,0
346815,417263861,-8.438953,106.2646,-0.295596,12.85588,-66.70101,0.7732931,2.917109,-0.8636653,0.00538858,-4.905484,-2.901268,0.3391113,0
151863,200563909,-7.689909,-79.92319,0.817893,8.574195,-128.1525,0.4379346,2.993562,2.985889,-0.0010592,-1.001403,-26.85814,0.4198547,0
155548,204663935,-11.15001,105.9667,-0.9353591,-7.596532,114.1436,-0.2847048,-0.3821287,-0.00587552,-0.00262748,-0.5364833,16.6357,0.4199284,0
91378,132963460,-0.2876815,-53.95549,0.891921,12.27061,-174.6365,0.7857273,4.310443,3.149886,0.00078252,10.77942,-9.784794,0.5099434,1
359051,430863419,-2.167064,43.96615,-0.7079496,9.544605,146.6819,-0.5721987,10.30355,3.190839,0.01305736,-10.85934,5.800438,0.3587683,0
41301,77163289,-0.04000997,-33.33461,0.6141706,5.911369,-128.8943,0.5994023,-3.257087,5.578873,-0.01327139,-2.37838,-2.043629,0.3759766,0
149342,197763363,-6.845693,-79.9384,0.8523281,8.824543,-131.1546,0.4690315,2.936583,-2.369665,0.00543705,-0.2176002,-26.74208,0.4186234,0
7643,22763391,-0.1842992,0.00864743,-0.0004465,-0.1132469,0.00482212,-0.0002659,4.40E-05,0.594286,-0.00093887,-0.00772476,-0.00772476,0,0
123144,168663341,23.85916,-106.8198,0.3428446,4.627792,103.2369,-0.941503,37.32995,33.33344,-0.00243301,12.85239,-14.32838,0.4190889,0
283402,346763739,-9.13847,130.7579,-0.937767,-15.10021,49.757,0.1164408,2.72007,2.286651,0.00050635,-4.089664,-2.65274,0.357458,0
345641,415963548,3.979343,-10.87663,-0.3890069,-15.30028,138.9687,-0.8081552,8.811501,14.88319,-0.00407239,2.175351,15.24382,0.3602308,0
90578,132063820,-9.200797,67.86113,-0.9244785,-6.023948,166.1451,-0.6776275,3.395633,4.032308,-0.00125354,53.00188,27.54879,0.5092629,1
136742,183763965,-13.17481,35.82981,0.2473219,6.72933,-151.6954,0.9403074,3.063024,3.872998,-0.00070421,0.6510132,-11.27396,0.4192895,0
232633,290363808,1.978439,30.28679,-0.5256379,34.65532,163.8437,-0.5986475,-1.248968,-18.97852,0.02127165,175.4412,-1119.915,0.3033461,2
229130,286463702,-8.114813,-121.6214,0.9344705,-2.745891,-107.196,0.2546065,39.48059,1.580724,0.06144048,484.9604,-1108.075,0.381894,2
4924,19363918,-0.1335242,0.00826563,-0.00032158,-0.07334592,0.00355877,-0.00017873,1.85E-05,0.8531575,-0.00134829,0.2651215,0.2651215,0,0
4682,19064038,-0.1332252,0.00901744,-0.00034563,-0.07390461,0.0047094,-0.00018561,2.23E-05,0.8813621,-0.00140029,0.1951218,0.1951218,0,0
186336,238863583,3.754618,-28.26068,0.5966031,8.603245,-124.4809,0.6435732,8.908178,6.436551,0.00823767,-695.6476,-1139.242,0.316847,0
80875,121164015,1.66044,-84.21175,0.7849292,7.197161,-106.9547,0.3078558,2.470098,0.5553376,0.00173437,-0.8207281,-1.498413,0.3756151,1
32385,67263917,6.708702,-113.7859,0.3999923,0.574287,67.93579,-0.7286494,2.647961,2.9685,0.00042067,-1.155996,2.333069,0.3759374,0
73938,113363803,-11.38315,82.14233,-0.1093032,-2.519078,-116.0074,0.8746229,7.943215,0.4312216,0.01216186,-3.817593,-13.03854,0.3911706,1
364997,437463278,-3.008204,55.17752,0.105959,7.966883,-121.357,0.8972201,2.001354,3.903288,-0.0019686,4.138595,7.710075,0.3432253,0
233616,291463368,-21.44435,-90.87247,0.8732681,16.00647,-143.114,0.6311797,-7.921665,-3.016819,-0.01048949,883.3231,-1037.724,0.4206342,2
163912,213963547,7.836127,-132.0615,0.7577481,9.390492,2.049507,-0.4331346,-5.695337,19.74308,-0.03183762,7.95115,4.236412,0.3757192,0
314752,381663940,-36.21336,-0.01421321,-0.3764163,28.55803,-0.01920921,0.5658335,65.85152,-0.9642484,0.1852445,1591.444,0.09536743,1,3
317003,384163773,-42.95606,-0.0257085,-0.3909848,19.81292,-0.02218569,0.5467581,-134.4688,-1.182507,-0.1983594,1591.376,0.05578995,1,3
149252,197663403,-9.113667,80.86515,-0.8956182,-6.404371,131.6754,-0.4668671,0.6525465,-2.85114,0.00299812,-0.2830851,17.86098,0.4208382,0
12286,28563570,-0.2467059,0.01356383,-0.00060954,-0.1824156,0.01710948,-0.00047086,6.42E-05,0.3603296,-0.00056536,0.04796982,0.04796982,0,0
382649,457063768,-8.481438,8.867084,0.4262366,-0.3853236,-152.5756,0.8074156,2.920012,3.076342,-0.00016186,3.533736,-27.98805,0.3807219,4
278630,341463360,-6.120233,134.3175,-0.9006359,-13.04744,56.36348,0.08690301,3.052736,6.315409,-0.0038045,4.805815,3.393555,0.356213,0
209529,264664092,-26.6869,7.250673,-0.7847257,2.318404,189.3201,-0.8840966,33.79152,-0.953027,0.06027703,7226.62,-1100.957,1,2
176163,227563938,-1.667028,-0.372414,-0.4449781,-15.78039,136.3545,-0.7870029,-0.9515527,3.743924,-0.00730565,-6.369952,11.03363,0.3941855,0
51397,88363807,3.450103,-133.7007,0.585291,-8.178419,40.19975,-0.6761914,-1.693956,11.03497,-0.01695058,-10.19898,11.52534,0.3932329,0
409105,486463670,5.361155,-127.4627,0.8638494,5.313676,-45.27349,-0.1598706,2.135888,1.939422,-0.00010505,-0.5773191,-4.367924,0.3368781,4
94758,136763606,-15.37019,28.67758,0.4197907,13.62763,-178.107,1.082559,3.468284,3.229512,-0.00017764,-29.44846,-15.42616,0.4890632,1
61945,100063292,2.108731,-74.74596,0.7881774,12.08784,-107.5859,0.374388,4.256388,3.08151,0.00191132,6.542161,5.82943,0.3764029,0
25987,60163425,-3.235869,103.0733,-0.8012224,-6.038465,68.81788,-0.04155357,2.291762,1.333543,0.00099651,-117.1159,-99.2815,0.3461725,0
45626,81963868,2.926278,-103.2381,0.8347993,5.243309,-87.41237,0.1498201,1.864224,1.45911,-0.00012428,-1.862357,0.8676529,0.3760538,0
291242,355463591,-46.42225,-10.81089,-0.1057901,19.11775,-107.3832,0.348032,79.34677,3.489454,0.1225875,1544.918,1005.045,0.9572161,3
282412,345663346,5.064207,-130.1812,0.6259539,-26.10965,3.212827,-0.5882077,1.747796,2.634756,1.78E-05,5.556684,3.369236,0.3431831,0
84527,125264041,-8.672283,118.259,-0.9679363,-6.844987,101.4271,-0.182652,2.922026,1.889256,0.00116706,-8.214363,3.622627,0.4189965,1
55726,93163553,3.611562,-38.67215,-0.2397819,-11.27771,134.2497,-0.9089351,-0.5022366,-15.89016,0.01683448,9.274349,19.31038,0.3929201,0
400912,477363978,1.9417,12.21415,-0.4441807,-4.909345,117.0355,-0.6269185,1.330535,0.9393544,-0.00017888,-130.5763,-110.5276,0.2880339,4
350865,421763727,-7.638387,63.30912,0.03783368,10.45104,-115.0571,0.8732177,-2.821259,5.301097,-0.01160426,5.949758,3.71933,0.3428599,0
317814,385063413,-43.28788,-0.01138893,-0.3918728,19.08652,-0.02425868,0.5450013,-134.4686,-1.184033,-0.2094111,1591.404,0.08487701,1,3
329342,397863291,-46.77897,-0.01454868,-0.4231754,5.431745,-0.01688395,0.5128154,-134.4773,-0.8112867,-0.2096622,1434.404,496.862,1,3
29503,64063531,6.293097,-132.0646,0.6057562,2.215705,38.51435,-0.6367405,2.2473,2.687299,-0.0002534,0.535169,5.978107,0.3766187,0
253507,313563691,-6.534172,117.864,-0.4240737,5.015133,-67.0434,0.7851526,2.959327,3.807672,0.00052336,61.378,13.56726,0.343938,0
